1 -> 31 fr=516 (0.4128), cf=0.936, gamma=1.111, delta=0.041, M=-3.761e+001
15 27 -> 31 fr=929 (0.7432), cf=0.877, gamma=1.040, delta=0.029, M=-2.774e+001
11 -> 31 fr=333 (0.2664), cf=0.946, gamma=1.122, delta=0.029, M=-2.527e+001
23 -> 31 fr=678 (0.5424), cf=0.889, gamma=1.054, delta=0.028, M=-1.711e+001
15 27 -> ~33 fr=1042 (0.8336), cf=0.984, gamma=1.012, delta=0.010, M=-1.472e+001
1 -> ~32 fr=520 (0.4160), cf=0.944, gamma=1.052, delta=0.021, M=-1.444e+001
6 -> 31 fr=394 (0.3152), cf=0.910, gamma=1.079, delta=0.023, M=-1.410e+001
15 -> ~33 fr=1051 (0.8408), cf=0.983, gamma=1.011, delta=0.010, M=-1.370e+001
11 -> ~32 fr=336 (0.2688), cf=0.955, gamma=1.064, delta=0.016, M=-1.202e+001
1 -> ~34 fr=551 (0.4408), cf=1.000, gamma=1.015, delta=0.007, M=-1.115e+001
1 -> ~33 fr=547 (0.4376), cf=0.993, gamma=1.021, delta=0.009, M=-1.048e+001
25 -> 31 fr=130 (0.1040), cf=0.949, gamma=1.125, delta=0.012, M=-9.769e+000
26 -> ~31 fr=189 (0.1512), cf=0.170, gamma=1.083, delta=0.012, M=-9.769e+000
27 -> ~32 fr=1099 (0.8792), cf=0.904, gamma=1.008, delta=0.007, M=-9.616e+000
6 12 23 -> ~33 fr=272 (0.2176), cf=1.000, gamma=1.029, delta=0.006, M=-8.724e+000
6 12 -> ~33 fr=309 (0.2472), cf=0.997, gamma=1.025, delta=0.006, M=-7.573e+000
15 -> ~32 fr=972 (0.7776), cf=0.909, gamma=1.014, delta=0.011, M=-7.249e+000
12 23 -> ~33 fr=407 (0.3256), cf=0.993, gamma=1.021, delta=0.007, M=-7.218e+000
23 -> ~33 fr=751 (0.6008), cf=0.984, gamma=1.013, delta=0.007, M=-6.848e+000
15 23 -> ~34 fr=705 (0.5640), cf=0.994, gamma=1.010, delta=0.005, M=-6.442e+000
6 -> ~33 fr=429 (0.3432), cf=0.991, gamma=1.019, delta=0.006, M=-6.428e+000
11 -> ~34 fr=352 (0.2816), cf=1.000, gamma=1.015, delta=0.004, M=-6.338e+000
2 12 -> 31 fr=196 (0.1568), cf=0.907, gamma=1.076, delta=0.011, M=-6.216e+000
23 -> ~34 fr=758 (0.6064), cf=0.993, gamma=1.009, delta=0.005, M=-6.150e+000
25 -> ~32 fr=132 (0.1056), cf=0.964, gamma=1.074, delta=0.007, M=-6.044e+000
15 -> ~34 fr=1058 (0.8464), cf=0.990, gamma=1.005, delta=0.004, M=-5.805e+000
6 -> ~34 fr=432 (0.3456), cf=0.998, gamma=1.013, delta=0.004, M=-5.729e+000
23 -> ~35 fr=763 (0.6104), cf=1.000, gamma=1.005, delta=0.003, M=-5.675e+000
7 18 20 -> 31 fr=201 (0.1608), cf=0.901, gamma=1.069, delta=0.010, M=-5.465e+000
11 -> ~33 fr=349 (0.2792), cf=0.991, gamma=1.020, delta=0.005, M=-5.455e+000
7 18 -> 31 fr=207 (0.1656), cf=0.900, gamma=1.067, delta=0.010, M=-5.421e+000
20 23 -> ~32 fr=686 (0.5488), cf=0.916, gamma=1.021, delta=0.011, M=-5.359e+000
12 20 29 -> 31 fr=416 (0.3328), cf=0.878, gamma=1.041, delta=0.013, M=-5.272e+000
20 27 -> ~33 fr=1142 (0.9136), cf=0.976, gamma=1.004, delta=0.004, M=-5.246e+000
7 -> 31 fr=398 (0.3184), cf=0.879, gamma=1.042, delta=0.013, M=-5.213e+000
23 -> ~32 fr=698 (0.5584), cf=0.915, gamma=1.020, delta=0.011, M=-5.088e+000
12 20 29 -> ~33 fr=468 (0.3744), cf=0.987, gamma=1.016, delta=0.006, M=-5.075e+000
12 -> 31 fr=496 (0.3968), cf=0.872, gamma=1.034, delta=0.013, M=-4.990e+000
12 20 -> ~33 fr=541 (0.4328), cf=0.985, gamma=1.014, delta=0.006, M=-4.901e+000
6 12 29 -> ~32 fr=271 (0.2168), cf=0.934, gamma=1.042, delta=0.009, M=-4.749e+000
6 12 -> ~32 fr=289 (0.2312), cf=0.932, gamma=1.040, delta=0.009, M=-4.618e+000
2 12 -> ~33 fr=215 (0.1720), cf=0.995, gamma=1.024, delta=0.004, M=-4.594e+000
12 -> ~33 fr=560 (0.4480), cf=0.984, gamma=1.013, delta=0.006, M=-4.420e+000
6 -> ~32 fr=400 (0.3200), cf=0.924, gamma=1.030, delta=0.009, M=-4.333e+000
27 -> ~33 fr=1185 (0.9480), cf=0.975, gamma=1.003, delta=0.002, M=-4.331e+000
2 -> 31 fr=227 (0.1816), cf=0.887, gamma=1.052, delta=0.009, M=-4.025e+000
30 -> ~34 fr=221 (0.1768), cf=1.000, gamma=1.015, delta=0.003, M=-3.726e+000
7 18 20 -> ~32 fr=208 (0.1664), cf=0.933, gamma=1.040, delta=0.006, M=-3.512e+000
1 -> ~35 fr=551 (0.4408), cf=1.000, gamma=1.005, delta=0.002, M=-3.497e+000
12 19 -> ~34 fr=299 (0.2392), cf=0.997, gamma=1.012, delta=0.003, M=-3.296e+000
7 18 -> ~32 fr=214 (0.1712), cf=0.930, gamma=1.038, delta=0.006, M=-3.293e+000
2 12 20 -> ~32 fr=193 (0.1544), cf=0.932, gamma=1.040, delta=0.006, M=-3.258e+000
2 12 -> ~32 fr=201 (0.1608), cf=0.931, gamma=1.038, delta=0.006, M=-3.145e+000
27 -> ~37 fr=1215 (0.9720), cf=0.999, gamma=1.001, delta=0.001, M=-2.925e+000
7 20 24 -> ~32 fr=143 (0.1144), cf=0.935, gamma=1.042, delta=0.005, M=-2.793e+000
7 -> ~33 fr=445 (0.3560), cf=0.982, gamma=1.011, delta=0.004, M=-2.741e+000
7 -> ~35 fr=453 (0.3624), cf=1.000, gamma=1.005, delta=0.002, M=-2.707e+000
12 -> ~34 fr=564 (0.4512), cf=0.991, gamma=1.007, delta=0.003, M=-2.662e+000
7 24 -> ~32 fr=150 (0.1200), cf=0.932, gamma=1.039, delta=0.004, M=-2.617e+000
6 -> ~35 fr=433 (0.3464), cf=1.000, gamma=1.005, delta=0.002, M=-2.558e+000
20 -> ~33 fr=1160 (0.9280), cf=0.974, gamma=1.002, delta=0.002, M=-2.544e+000
2 20 -> ~32 fr=225 (0.1800), cf=0.922, gamma=1.028, delta=0.005, M=-2.424e+000
7 20 -> ~32 fr=401 (0.3208), cf=0.913, gamma=1.019, delta=0.006, M=-2.392e+000
20 -> ~37 fr=1190 (0.9520), cf=0.999, gamma=1.001, delta=0.001, M=-2.384e+000
1 -> ~36 fr=551 (0.4408), cf=1.000, gamma=1.003, delta=0.001, M=-2.329e+000
15 -> ~36 fr=1067 (0.8536), cf=0.998, gamma=1.001, delta=0.001, M=-2.277e+000
18 -> ~36 fr=541 (0.4328), cf=1.000, gamma=1.003, delta=0.001, M=-2.272e+000
25 -> ~34 fr=137 (0.1096), cf=1.000, gamma=1.015, delta=0.002, M=-2.223e+000
19 -> ~35 fr=622 (0.4976), cf=0.998, gamma=1.003, delta=0.002, M=-2.204e+000
7 -> ~32 fr=413 (0.3304), cf=0.912, gamma=1.017, delta=0.005, M=-2.183e+000
7 -> ~34 fr=449 (0.3592), cf=0.991, gamma=1.006, delta=0.002, M=-2.090e+000
