8 36 -> 48 fr=23 (0.1198), cf=0.958, gamma=6.815, delta=0.102, M=-5.502e+001
18 36 -> 48 fr=23 (0.1198), cf=0.920, gamma=6.542, delta=0.101, M=-5.251e+001
8 18 -> 48 fr=23 (0.1198), cf=0.821, gamma=5.841, delta=0.099, M=-4.679e+001
34 -> ~48 fr=157 (0.8177), cf=0.981, gamma=1.142, delta=0.102, M=-4.589e+001
3 16 -> 42 fr=56 (0.2917), cf=0.709, gamma=2.031, delta=0.148, M=-4.201e+001
8 9 -> 48 fr=20 (0.1042), cf=0.833, gamma=5.926, delta=0.087, M=-3.898e+001
3 12 -> 42 fr=51 (0.2656), cf=0.689, gamma=1.975, delta=0.131, M=-3.316e+001
12 16 -> 42 fr=49 (0.2552), cf=0.710, gamma=2.035, delta=0.130, M=-3.310e+001
3 34 -> 42 fr=59 (0.3073), cf=0.551, gamma=1.580, delta=0.113, M=-2.565e+001
2 12 29 -> 43 fr=23 (0.1198), cf=0.885, gamma=2.613, delta=0.074, M=-2.094e+001
29 34 -> 43 fr=31 (0.1615), cf=0.721, gamma=2.130, delta=0.086, M=-1.905e+001
12 -> ~48 fr=109 (0.5677), cf=0.982, gamma=1.143, delta=0.071, M=-1.901e+001
7 -> ~48 fr=109 (0.5677), cf=0.982, gamma=1.143, delta=0.071, M=-1.901e+001
2 17 -> 43 fr=21 (0.1094), cf=0.840, gamma=2.481, delta=0.065, M=-1.694e+001
12 29 -> 43 fr=27 (0.1406), cf=0.730, gamma=2.156, delta=0.075, M=-1.657e+001
2 12 -> 43 fr=26 (0.1354), cf=0.743, gamma=2.194, delta=0.074, M=-1.650e+001
2 29 -> 43 fr=24 (0.1250), cf=0.774, gamma=2.287, delta=0.070, M=-1.649e+001
17 29 -> 43 fr=20 (0.1042), cf=0.833, gamma=2.462, delta=0.062, M=-1.579e+001
7 17 -> 43 fr=27 (0.1406), cf=0.711, gamma=2.099, delta=0.074, M=-1.560e+001
7 29 -> 43 fr=26 (0.1354), cf=0.722, gamma=2.133, delta=0.072, M=-1.549e+001
