36 -> 48 fr=24 (0.1250), cf=0.960, gamma=6.827, delta=0.107, M=-5.871e+001
34 -> ~48 fr=159 (0.8281), cf=0.981, gamma=1.142, delta=0.103, M=-4.873e+001
8 18 -> 48 fr=23 (0.1198), cf=0.821, gamma=5.841, delta=0.099, M=-4.679e+001
8 9 -> 48 fr=20 (0.1042), cf=0.769, gamma=5.470, delta=0.085, M=-3.599e+001
3 16 -> 42 fr=51 (0.2656), cf=0.654, gamma=1.993, delta=0.132, M=-3.445e+001
3 12 34 -> 42 fr=45 (0.2344), cf=0.672, gamma=2.047, delta=0.120, M=-2.926e+001
3 12 -> 42 fr=46 (0.2396), cf=0.657, gamma=2.003, delta=0.120, M=-2.893e+001
12 16 -> 42 fr=44 (0.2292), cf=0.677, gamma=2.063, delta=0.118, M=-2.870e+001
3 34 -> 42 fr=55 (0.2865), cf=0.534, gamma=1.627, delta=0.110, M=-2.503e+001
2 12 29 -> 43 fr=27 (0.1406), cf=0.871, gamma=2.323, delta=0.080, M=-2.105e+001
29 34 -> 43 fr=36 (0.1875), cf=0.750, gamma=2.000, delta=0.094, M=-2.071e+001
7 17 29 -> 43 fr=23 (0.1198), cf=0.920, gamma=2.453, delta=0.071, M=-2.009e+001
12 -> ~48 fr=110 (0.5729), cf=0.982, gamma=1.143, delta=0.072, M=-1.936e+001
2 7 17 -> 43 fr=22 (0.1146), cf=0.917, gamma=2.444, delta=0.068, M=-1.896e+001
7 29 -> 43 fr=30 (0.1563), cf=0.789, gamma=2.105, delta=0.082, M=-1.879e+001
2 17 -> 43 fr=26 (0.1354), cf=0.839, gamma=2.237, delta=0.075, M=-1.842e+001
7 -> ~48 fr=107 (0.5573), cf=0.982, gamma=1.142, delta=0.069, M=-1.832e+001
2 29 -> 43 fr=28 (0.1458), cf=0.800, gamma=2.133, delta=0.077, M=-1.790e+001
2 -> ~42 fr=60 (0.3125), cf=0.923, gamma=1.374, delta=0.085, M=-1.778e+001
12 17 29 -> 43 fr=24 (0.1250), cf=0.857, gamma=2.286, delta=0.070, M=-1.774e+001
12 29 -> 43 fr=31 (0.1615), cf=0.756, gamma=2.016, delta=0.081, M=-1.756e+001
17 29 -> 43 fr=25 (0.1302), cf=0.833, gamma=2.222, delta=0.072, M=-1.736e+001
29 -> 43 fr=36 (0.1875), cf=0.692, gamma=1.846, delta=0.086, M=-1.683e+001
2 12 -> 43 fr=30 (0.1563), cf=0.750, gamma=2.000, delta=0.078, M=-1.654e+001
2 34 -> 43 fr=33 (0.1719), cf=0.702, gamma=1.872, delta=0.080, M=-1.565e+001
8 38 -> ~43 fr=37 (0.1927), cf=0.949, gamma=1.518, delta=0.066, M=-1.477e+001
7 12 17 -> 43 fr=26 (0.1354), cf=0.765, gamma=2.039, delta=0.069, M=-1.472e+001
7 17 -> 43 fr=29 (0.1510), cf=0.725, gamma=1.933, delta=0.073, M=-1.458e+001
17 28 -> 43 fr=25 (0.1302), cf=0.758, gamma=2.020, delta=0.066, M=-1.376e+001
2 7 -> 43 fr=26 (0.1354), cf=0.743, gamma=1.981, delta=0.067, M=-1.369e+001
3 12 16 38 -> ~43 fr=35 (0.1823), cf=0.946, gamma=1.514, delta=0.062, M=-1.366e+001
12 17 -> 43 fr=28 (0.1458), cf=0.718, gamma=1.915, delta=0.070, M=-1.364e+001
17 -> 43 fr=35 (0.1823), cf=0.648, gamma=1.728, delta=0.077, M=-1.349e+001
16 -> ~48 fr=95 (0.4948), cf=0.969, gamma=1.128, delta=0.056, M=-1.242e+001
12 16 38 -> ~43 fr=39 (0.2031), cf=0.907, gamma=1.451, delta=0.063, M=-1.237e+001
2 28 -> 43 fr=25 (0.1302), cf=0.714, gamma=1.905, delta=0.062, M=-1.184e+001
3 38 -> ~43 fr=63 (0.3281), cf=0.808, gamma=1.292, delta=0.074, M=-1.151e+001
12 16 -> ~43 fr=54 (0.2813), cf=0.831, gamma=1.329, delta=0.070, M=-1.116e+001
30 38 -> ~43 fr=49 (0.2552), cf=0.845, gamma=1.352, delta=0.066, M=-1.093e+001
30 34 -> 42 fr=35 (0.1823), cf=0.530, gamma=1.616, delta=0.069, M=-1.086e+001
17 -> ~48 fr=54 (0.2813), cf=1.000, gamma=1.164, delta=0.040, M=-9.722e+000
3 -> ~43 fr=83 (0.4323), cf=0.741, gamma=1.186, delta=0.068, M=-9.457e+000
7 28 -> 43 fr=33 (0.1719), cf=0.589, gamma=1.571, delta=0.063, M=-9.293e+000
7 34 -> 43 fr=52 (0.2708), cf=0.491, gamma=1.308, delta=0.064, M=-8.602e+000
20 28 34 -> 43 fr=22 (0.1146), cf=0.667, gamma=1.778, delta=0.050, M=-8.571e+000
17 38 -> ~42 fr=33 (0.1719), cf=0.917, gamma=1.364, delta=0.046, M=-8.484e+000
30 -> ~43 fr=65 (0.3385), cf=0.765, gamma=1.224, delta=0.062, M=-8.188e+000
12 -> ~46 fr=112 (0.5833), cf=1.000, gamma=1.049, delta=0.027, M=-8.156e+000
9 18 -> ~43 fr=24 (0.1250), cf=0.923, gamma=1.477, delta=0.040, M=-8.058e+000
20 28 -> 43 fr=22 (0.1146), cf=0.629, gamma=1.676, delta=0.046, M=-7.244e+000
28 30 -> 42 fr=23 (0.1198), cf=0.548, gamma=1.669, delta=0.048, M=-7.191e+000
3 -> ~48 fr=104 (0.5417), cf=0.929, gamma=1.081, delta=0.040, M=-6.745e+000
16 -> ~46 fr=98 (0.5104), cf=1.000, gamma=1.049, delta=0.024, M=-6.633e+000
16 38 -> ~43 fr=51 (0.2656), cf=0.773, gamma=1.236, delta=0.051, M=-6.455e+000
12 -> ~47 fr=112 (0.5833), cf=1.000, gamma=1.038, delta=0.021, M=-6.288e+000
2 -> 43 fr=34 (0.1771), cf=0.523, gamma=1.395, delta=0.050, M=-6.154e+000
2 29 -> ~48 fr=35 (0.1823), cf=1.000, gamma=1.164, delta=0.026, M=-5.888e+000
28 29 38 -> ~42 fr=26 (0.1354), cf=0.897, gamma=1.334, delta=0.034, M=-5.812e+000
18 38 -> ~43 fr=24 (0.1250), cf=0.857, gamma=1.371, delta=0.034, M=-5.526e+000
21 28 -> ~48 fr=33 (0.1719), cf=1.000, gamma=1.164, delta=0.024, M=-5.515e+000
30 -> ~46 fr=85 (0.4427), cf=1.000, gamma=1.049, delta=0.021, M=-5.417e+000
41 -> 43 fr=29 (0.1510), cf=0.527, gamma=1.406, delta=0.044, M=-5.301e+000
27 -> ~48 fr=31 (0.1615), cf=1.000, gamma=1.164, delta=0.023, M=-5.147e+000
28 -> ~48 fr=82 (0.4271), cf=0.932, gamma=1.084, delta=0.033, M=-5.087e+000
30 38 -> 42 fr=27 (0.1406), cf=0.466, gamma=1.419, delta=0.042, M=-5.007e+000
9 38 -> ~43 fr=25 (0.1302), cf=0.833, gamma=1.333, delta=0.033, M=-4.941e+000
20 -> ~48 fr=74 (0.3854), cf=0.937, gamma=1.090, delta=0.032, M=-4.922e+000
29 -> ~44 fr=52 (0.2708), cf=1.000, gamma=1.079, delta=0.020, M=-4.608e+000
28 -> ~47 fr=88 (0.4583), cf=1.000, gamma=1.038, delta=0.017, M=-4.387e+000
16 -> ~43 fr=69 (0.3594), cf=0.704, gamma=1.127, delta=0.040, M=-4.188e+000
30 -> ~47 fr=85 (0.4427), cf=1.000, gamma=1.038, delta=0.016, M=-4.182e+000
20 28 -> ~42 fr=29 (0.1510), cf=0.829, gamma=1.233, delta=0.029, M=-3.891e+000
41 -> ~48 fr=52 (0.2708), cf=0.945, gamma=1.100, delta=0.025, M=-3.885e+000
7 -> ~47 fr=108 (0.5625), cf=0.991, gamma=1.028, delta=0.015, M=-3.630e+000
38 -> ~43 fr=89 (0.4635), cf=0.674, gamma=1.079, delta=0.034, M=-3.597e+000
9 -> ~44 fr=42 (0.2188), cf=1.000, gamma=1.079, delta=0.016, M=-3.596e+000
29 -> ~48 fr=49 (0.2552), cf=0.942, gamma=1.097, delta=0.022, M=-3.465e+000
21 -> 42 fr=22 (0.1146), cf=0.440, gamma=1.341, delta=0.029, M=-3.257e+000
21 -> ~46 fr=50 (0.2604), cf=1.000, gamma=1.049, delta=0.012, M=-2.783e+000
22 -> ~44 fr=32 (0.1667), cf=1.000, gamma=1.079, delta=0.012, M=-2.652e+000
2 17 -> ~44 fr=31 (0.1615), cf=1.000, gamma=1.079, delta=0.012, M=-2.562e+000
41 -> ~47 fr=55 (0.2865), cf=1.000, gamma=1.038, delta=0.010, M=-2.408e+000
7 28 -> ~42 fr=42 (0.2188), cf=0.750, gamma=1.116, delta=0.023, M=-2.366e+000
8 18 -> ~44 fr=28 (0.1458), cf=1.000, gamma=1.079, delta=0.011, M=-2.292e+000
18 38 -> ~44 fr=28 (0.1458), cf=1.000, gamma=1.079, delta=0.011, M=-2.292e+000
21 -> ~47 fr=50 (0.2604), cf=1.000, gamma=1.038, delta=0.009, M=-2.151e+000
36 -> ~44 fr=25 (0.1302), cf=1.000, gamma=1.079, delta=0.009, M=-2.028e+000
6 -> ~44 fr=24 (0.1250), cf=1.000, gamma=1.079, delta=0.009, M=-1.941e+000
20 28 -> ~46 fr=35 (0.1823), cf=1.000, gamma=1.049, delta=0.009, M=-1.854e+000
3 16 34 41 -> ~44 fr=22 (0.1146), cf=1.000, gamma=1.079, delta=0.008, M=-1.768e+000
33 -> ~44 fr=21 (0.1094), cf=1.000, gamma=1.079, delta=0.008, M=-1.683e+000
2 8 -> ~44 fr=21 (0.1094), cf=1.000, gamma=1.079, delta=0.008, M=-1.683e+000
