11 30 33 41 45 -> 48 fr=92 (0.3382), cf=0.920, gamma=1.679, delta=0.137, M=-5.177e+001
11 33 41 45 -> 48 fr=93 (0.3419), cf=0.912, gamma=1.664, delta=0.136, M=-5.075e+001
30 33 41 45 -> 48 fr=93 (0.3419), cf=0.912, gamma=1.664, delta=0.136, M=-5.075e+001
11 30 41 45 -> 48 fr=93 (0.3419), cf=0.912, gamma=1.664, delta=0.136, M=-5.075e+001
1 33 41 45 -> 48 fr=76 (0.2794), cf=0.974, gamma=1.779, delta=0.122, M=-5.060e+001
33 41 45 -> 48 fr=94 (0.3456), cf=0.904, gamma=1.650, delta=0.136, M=-4.982e+001
11 41 45 -> 48 fr=94 (0.3456), cf=0.904, gamma=1.650, delta=0.136, M=-4.982e+001
30 41 45 -> 48 fr=94 (0.3456), cf=0.895, gamma=1.634, delta=0.134, M=-4.795e+001
41 45 -> 48 fr=95 (0.3493), cf=0.888, gamma=1.621, delta=0.134, M=-4.716e+001
11 30 31 33 41 -> 48 fr=99 (0.3640), cf=0.861, gamma=1.572, delta=0.132, M=-4.449e+001
30 31 41 -> 48 fr=102 (0.3750), cf=0.850, gamma=1.552, delta=0.133, M=-4.440e+001
11 31 33 41 -> 48 fr=100 (0.3676), cf=0.855, gamma=1.560, delta=0.132, M=-4.393e+001
31 41 -> 48 fr=103 (0.3787), cf=0.844, gamma=1.541, delta=0.133, M=-4.392e+001
11 30 33 45 -> 48 fr=114 (0.4191), cf=0.803, gamma=1.466, delta=0.133, M=-4.297e+001
30 33 45 -> 48 fr=115 (0.4228), cf=0.799, gamma=1.458, delta=0.133, M=-4.277e+001
10 47 -> ~48 fr=62 (0.2279), cf=0.899, gamma=1.987, delta=0.113, M=-4.213e+001
11 33 45 -> 48 fr=115 (0.4228), cf=0.793, gamma=1.448, delta=0.131, M=-4.150e+001
31 33 45 -> 48 fr=102 (0.3750), cf=0.836, gamma=1.526, delta=0.129, M=-4.148e+001
33 45 -> 48 fr=116 (0.4265), cf=0.789, gamma=1.441, delta=0.130, M=-4.133e+001
11 30 45 -> 48 fr=115 (0.4228), cf=0.788, gamma=1.438, delta=0.129, M=-4.026e+001
30 31 45 -> 48 fr=102 (0.3750), cf=0.829, gamma=1.514, delta=0.127, M=-4.008e+001
1 11 45 -> 48 fr=89 (0.3272), cf=0.873, gamma=1.593, delta=0.122, M=-3.979e+001
31 45 -> 48 fr=103 (0.3787), cf=0.824, gamma=1.504, delta=0.127, M=-3.968e+001
11 45 -> 48 fr=116 (0.4265), cf=0.779, gamma=1.421, delta=0.126, M=-3.890e+001
30 45 -> 48 fr=116 (0.4265), cf=0.779, gamma=1.421, delta=0.126, M=-3.890e+001
10 32 -> ~48 fr=62 (0.2279), cf=0.873, gamma=1.931, delta=0.110, M=-3.859e+001
1 45 -> 48 fr=89 (0.3272), cf=0.864, gamma=1.577, delta=0.120, M=-3.822e+001
11 30 33 41 -> 48 fr=115 (0.4228), cf=0.777, gamma=1.418, delta=0.125, M=-3.785e+001
11 33 41 -> 48 fr=116 (0.4265), cf=0.768, gamma=1.402, delta=0.122, M=-3.657e+001
