1 33 41 45 -> 48 fr=72 (0.2647), cf=0.986, gamma=1.777, delta=0.116, M=-4.873e+001
11 30 33 41 45 -> 48 fr=90 (0.3309), cf=0.918, gamma=1.654, delta=0.131, M=-4.807e+001
11 33 41 45 -> 48 fr=91 (0.3346), cf=0.910, gamma=1.639, delta=0.130, M=-4.704e+001
30 33 41 45 -> 48 fr=91 (0.3346), cf=0.910, gamma=1.639, delta=0.130, M=-4.704e+001
11 30 41 45 -> 48 fr=91 (0.3346), cf=0.910, gamma=1.639, delta=0.130, M=-4.704e+001
11 30 33 45 -> 48 fr=116 (0.4265), cf=0.823, gamma=1.482, delta=0.139, M=-4.683e+001
30 33 45 -> 48 fr=117 (0.4301), cf=0.818, gamma=1.474, delta=0.138, M=-4.655e+001
1 11 41 45 -> 48 fr=73 (0.2684), cf=0.973, gamma=1.753, delta=0.115, M=-4.650e+001
33 41 45 -> 48 fr=92 (0.3382), cf=0.902, gamma=1.625, delta=0.130, M=-4.610e+001
11 41 45 -> 48 fr=92 (0.3382), cf=0.902, gamma=1.625, delta=0.130, M=-4.610e+001
31 33 45 -> 48 fr=104 (0.3824), cf=0.860, gamma=1.548, delta=0.135, M=-4.596e+001
11 33 45 -> 48 fr=117 (0.4301), cf=0.813, gamma=1.464, delta=0.136, M=-4.518e+001
11 30 45 -> 48 fr=117 (0.4301), cf=0.813, gamma=1.464, delta=0.136, M=-4.518e+001
30 31 41 -> 48 fr=103 (0.3787), cf=0.858, gamma=1.546, delta=0.134, M=-4.496e+001
33 45 -> 48 fr=118 (0.4338), cf=0.808, gamma=1.456, delta=0.136, M=-4.495e+001
31 41 -> 48 fr=104 (0.3824), cf=0.852, gamma=1.536, delta=0.133, M=-4.441e+001
30 31 45 -> 48 fr=104 (0.3824), cf=0.852, gamma=1.536, delta=0.133, M=-4.441e+001
30 41 45 -> 48 fr=92 (0.3382), cf=0.893, gamma=1.609, delta=0.128, M=-4.428e+001
31 45 -> 48 fr=105 (0.3860), cf=0.847, gamma=1.525, delta=0.133, M=-4.391e+001
1 41 45 -> 48 fr=73 (0.2684), cf=0.961, gamma=1.730, delta=0.113, M=-4.377e+001
11 45 -> 48 fr=118 (0.4338), cf=0.803, gamma=1.446, delta=0.134, M=-4.363e+001
30 45 -> 48 fr=118 (0.4338), cf=0.803, gamma=1.446, delta=0.134, M=-4.363e+001
41 45 -> 48 fr=93 (0.3419), cf=0.886, gamma=1.595, delta=0.128, M=-4.347e+001
10 47 -> ~48 fr=60 (0.2206), cf=0.909, gamma=2.044, delta=0.113, M=-4.314e+001
45 -> 48 fr=119 (0.4375), cf=0.793, gamma=1.429, delta=0.131, M=-4.216e+001
10 32 -> ~48 fr=59 (0.2169), cf=0.881, gamma=1.980, delta=0.107, M=-3.835e+001
11 30 33 41 -> 48 fr=112 (0.4118), cf=0.789, gamma=1.421, delta=0.122, M=-3.618e+001
30 31 33 -> 48 fr=129 (0.4743), cf=0.737, gamma=1.328, delta=0.117, M=-3.603e+001
30 33 41 -> 48 fr=115 (0.4228), cf=0.777, gamma=1.400, delta=0.121, M=-3.558e+001
11 33 41 -> 48 fr=113 (0.4154), cf=0.779, gamma=1.404, delta=0.119, M=-3.480e+001
11 30 41 -> 48 fr=113 (0.4154), cf=0.779, gamma=1.404, delta=0.119, M=-3.480e+001
33 41 -> 48 fr=116 (0.4265), cf=0.768, gamma=1.384, delta=0.118, M=-3.429e+001
11 41 -> 48 fr=114 (0.4191), cf=0.770, gamma=1.388, delta=0.117, M=-3.349e+001
30 41 -> 48 fr=117 (0.4301), cf=0.760, gamma=1.369, delta=0.116, M=-3.306e+001
31 33 -> 48 fr=130 (0.4779), cf=0.722, gamma=1.301, delta=0.111, M=-3.300e+001
30 31 -> 48 fr=131 (0.4816), cf=0.716, gamma=1.289, delta=0.108, M=-3.212e+001
6 39 -> ~48 fr=63 (0.2316), cf=0.733, gamma=1.647, delta=0.091, M=-2.342e+001
33 38 -> 48 fr=95 (0.3493), cf=0.766, gamma=1.380, delta=0.096, M=-2.322e+001
38 -> 48 fr=95 (0.3493), cf=0.760, gamma=1.369, delta=0.094, M=-2.226e+001
5 9 30 -> 48 fr=32 (0.1176), cf=1.000, gamma=1.801, delta=0.052, M=-2.047e+001
5 11 30 33 -> 48 fr=65 (0.2390), cf=0.833, gamma=1.501, delta=0.080, M=-2.030e+001
30 31 41 -> ~50 fr=120 (0.4412), cf=1.000, gamma=1.133, delta=0.052, M=-2.024e+001
5 11 33 -> 48 fr=66 (0.2426), cf=0.825, gamma=1.486, delta=0.079, M=-1.976e+001
5 21 30 33 -> 48 fr=62 (0.2279), cf=0.838, gamma=1.509, delta=0.077, M=-1.961e+001
5 21 33 -> 48 fr=62 (0.2279), cf=0.827, gamma=1.489, delta=0.075, M=-1.843e+001
31 33 45 -> ~51 fr=121 (0.4449), cf=1.000, gamma=1.119, delta=0.047, M=-1.840e+001
5 9 -> 48 fr=33 (0.1213), cf=0.971, gamma=1.748, delta=0.052, M=-1.830e+001
5 30 33 -> 48 fr=66 (0.2426), cf=0.805, gamma=1.450, delta=0.075, M=-1.758e+001
1 5 11 -> 48 fr=43 (0.1581), cf=0.896, gamma=1.614, delta=0.060, M=-1.720e+001
31 41 -> ~50 fr=121 (0.4449), cf=0.992, gamma=1.124, delta=0.049, M=-1.719e+001
5 33 -> 48 fr=67 (0.2463), cf=0.798, gamma=1.437, delta=0.075, M=-1.715e+001
5 11 30 -> 48 fr=65 (0.2390), cf=0.802, gamma=1.446, delta=0.074, M=-1.699e+001
30 33 45 -> ~51 fr=141 (0.5184), cf=0.986, gamma=1.104, delta=0.049, M=-1.676e+001
21 30 33 41 -> ~50 fr=130 (0.4779), cf=0.985, gamma=1.116, delta=0.050, M=-1.657e+001
5 11 -> 48 fr=66 (0.2426), cf=0.795, gamma=1.432, delta=0.073, M=-1.657e+001
11 21 30 41 -> ~50 fr=129 (0.4743), cf=0.985, gamma=1.116, delta=0.049, M=-1.635e+001
9 11 30 33 -> 48 fr=62 (0.2279), cf=0.805, gamma=1.450, delta=0.071, M=-1.628e+001
1 9 33 -> 48 fr=48 (0.1765), cf=0.857, gamma=1.544, delta=0.062, M=-1.605e+001
30 33 41 45 -> ~50 fr=100 (0.3676), cf=1.000, gamma=1.133, delta=0.043, M=-1.585e+001
11 30 41 45 -> ~50 fr=100 (0.3676), cf=1.000, gamma=1.133, delta=0.043, M=-1.585e+001
9 11 33 -> 48 fr=63 (0.2316), cf=0.797, gamma=1.436, delta=0.070, M=-1.585e+001
9 30 33 -> 48 fr=63 (0.2316), cf=0.797, gamma=1.436, delta=0.070, M=-1.585e+001
9 11 30 -> 48 fr=63 (0.2316), cf=0.797, gamma=1.436, delta=0.070, M=-1.585e+001
31 45 -> ~51 fr=123 (0.4522), cf=0.992, gamma=1.110, delta=0.045, M=-1.561e+001
9 33 -> 48 fr=64 (0.2353), cf=0.790, gamma=1.423, delta=0.070, M=-1.544e+001
9 11 -> 48 fr=64 (0.2353), cf=0.790, gamma=1.423, delta=0.070, M=-1.544e+001
9 30 -> 48 fr=64 (0.2353), cf=0.790, gamma=1.423, delta=0.070, M=-1.544e+001
1 9 -> 48 fr=49 (0.1801), cf=0.845, gamma=1.522, delta=0.062, M=-1.540e+001
1 5 21 -> 48 fr=40 (0.1471), cf=0.889, gamma=1.601, delta=0.055, M=-1.537e+001
30 33 41 -> ~50 fr=144 (0.5294), cf=0.973, gamma=1.103, delta=0.049, M=-1.529e+001
5 21 30 -> 48 fr=62 (0.2279), cf=0.795, gamma=1.432, delta=0.069, M=-1.529e+001
41 45 -> ~51 fr=105 (0.3860), cf=1.000, gamma=1.119, delta=0.041, M=-1.518e+001
6 42 -> ~48 fr=35 (0.1287), cf=0.795, gamma=1.788, delta=0.057, M=-1.514e+001
9 -> 48 fr=65 (0.2390), cf=0.783, gamma=1.411, delta=0.070, M=-1.506e+001
30 45 -> ~51 fr=144 (0.5294), cf=0.980, gamma=1.096, delta=0.047, M=-1.505e+001
