25 27 47 -> ~55 fr=72 (0.5180), cf=0.973, gamma=1.252, delta=0.104, M=-2.096e+001
25 27 47 -> 56 fr=72 (0.5180), cf=0.973, gamma=1.252, delta=0.104, M=-2.096e+001
25 27 29 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.225, delta=0.104, M=-2.024e+001
25 27 29 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.225, delta=0.104, M=-2.024e+001
1 27 30 -> ~55 fr=84 (0.6043), cf=0.933, gamma=1.201, delta=0.101, M=-1.916e+001
1 27 30 -> 56 fr=84 (0.6043), cf=0.933, gamma=1.201, delta=0.101, M=-1.916e+001
27 30 -> ~55 fr=92 (0.6619), cf=0.911, gamma=1.172, delta=0.097, M=-1.899e+001
27 30 -> 56 fr=92 (0.6619), cf=0.911, gamma=1.172, delta=0.097, M=-1.899e+001
6 11 12 24 -> 55 fr=20 (0.1439), cf=0.625, gamma=2.802, delta=0.093, M=-1.859e+001
6 11 12 24 -> ~56 fr=20 (0.1439), cf=0.625, gamma=2.802, delta=0.093, M=-1.859e+001
25 29 30 -> ~55 fr=76 (0.5468), cf=0.950, gamma=1.223, delta=0.100, M=-1.850e+001
25 29 30 -> 56 fr=76 (0.5468), cf=0.950, gamma=1.223, delta=0.100, M=-1.850e+001
15 25 27 -> ~55 fr=62 (0.4460), cf=0.984, gamma=1.267, delta=0.094, M=-1.848e+001
15 25 29 -> ~55 fr=62 (0.4460), cf=0.984, gamma=1.267, delta=0.094, M=-1.848e+001
15 25 27 -> 56 fr=62 (0.4460), cf=0.984, gamma=1.267, delta=0.094, M=-1.848e+001
15 25 29 -> 56 fr=62 (0.4460), cf=0.984, gamma=1.267, delta=0.094, M=-1.848e+001
25 27 34 -> ~55 fr=55 (0.3957), cf=1.000, gamma=1.287, delta=0.088, M=-1.835e+001
25 27 34 -> 56 fr=55 (0.3957), cf=1.000, gamma=1.287, delta=0.088, M=-1.835e+001
25 27 -> ~55 fr=79 (0.5683), cf=0.940, gamma=1.210, delta=0.099, M=-1.813e+001
25 27 -> 56 fr=79 (0.5683), cf=0.940, gamma=1.210, delta=0.099, M=-1.813e+001
25 30 47 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.235, delta=0.097, M=-1.800e+001
25 30 47 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.235, delta=0.097, M=-1.800e+001
6 12 54 -> 55 fr=23 (0.1655), cf=0.535, gamma=2.398, delta=0.096, M=-1.798e+001
6 12 54 -> ~56 fr=23 (0.1655), cf=0.535, gamma=2.398, delta=0.096, M=-1.798e+001
6 12 24 -> 55 fr=21 (0.1511), cf=0.583, gamma=2.616, delta=0.093, M=-1.795e+001
