25 27 -> ~55 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
25 27 -> 56 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
15 25 29 -> ~55 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 25 29 -> 56 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 17 27 29 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.224, delta=0.093, M=-1.704e+001
15 17 27 29 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.224, delta=0.093, M=-1.704e+001
6 11 12 24 -> 55 fr=19 (0.1367), cf=0.594, gamma=2.751, delta=0.087, M=-1.689e+001
6 11 12 24 -> ~56 fr=19 (0.1367), cf=0.594, gamma=2.751, delta=0.087, M=-1.689e+001
27 30 -> ~55 fr=91 (0.6547), cf=0.910, gamma=1.160, delta=0.091, M=-1.679e+001
27 30 -> 56 fr=91 (0.6547), cf=0.910, gamma=1.160, delta=0.091, M=-1.679e+001
25 29 30 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.210, delta=0.092, M=-1.642e+001
25 29 30 -> 56 fr=74 (0.5324), cf=0.949, gamma=1.210, delta=0.092, M=-1.642e+001
6 12 24 -> 55 fr=20 (0.1439), cf=0.556, gamma=2.574, delta=0.088, M=-1.641e+001
6 12 24 -> ~56 fr=20 (0.1439), cf=0.556, gamma=2.574, delta=0.088, M=-1.641e+001
23 29 30 -> ~55 fr=81 (0.5827), cf=0.931, gamma=1.187, delta=0.092, M=-1.619e+001
23 29 30 -> 56 fr=81 (0.5827), cf=0.931, gamma=1.187, delta=0.092, M=-1.619e+001
27 29 39 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.177, delta=0.091, M=-1.603e+001
27 29 39 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.177, delta=0.091, M=-1.603e+001
23 25 29 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.209, delta=0.091, M=-1.592e+001
23 25 29 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.209, delta=0.091, M=-1.592e+001
6 14 54 -> 55 fr=17 (0.1223), cf=0.630, gamma=2.917, delta=0.080, M=-1.591e+001
6 14 54 -> ~56 fr=17 (0.1223), cf=0.630, gamma=2.917, delta=0.080, M=-1.591e+001
15 23 25 -> ~55 fr=58 (0.4173), cf=0.983, gamma=1.254, delta=0.084, M=-1.589e+001
15 25 30 -> ~55 fr=58 (0.4173), cf=0.983, gamma=1.254, delta=0.084, M=-1.589e+001
15 23 25 -> 56 fr=58 (0.4173), cf=0.983, gamma=1.254, delta=0.084, M=-1.589e+001
15 25 30 -> 56 fr=58 (0.4173), cf=0.983, gamma=1.254, delta=0.084, M=-1.589e+001
6 11 24 -> 55 fr=20 (0.1439), cf=0.541, gamma=2.505, delta=0.086, M=-1.573e+001
6 11 24 -> ~56 fr=20 (0.1439), cf=0.541, gamma=2.505, delta=0.086, M=-1.573e+001
25 30 47 -> ~55 fr=68 (0.4892), cf=0.958, gamma=1.221, delta=0.089, M=-1.562e+001
25 30 47 -> 56 fr=68 (0.4892), cf=0.958, gamma=1.221, delta=0.089, M=-1.562e+001
15 25 -> ~55 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 25 -> 56 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 23 29 -> ~55 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 23 29 -> 56 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
6 24 -> 55 fr=21 (0.1511), cf=0.512, gamma=2.373, delta=0.087, M=-1.550e+001
6 24 -> ~56 fr=21 (0.1511), cf=0.512, gamma=2.373, delta=0.087, M=-1.550e+001
6 12 54 -> 55 fr=21 (0.1511), cf=0.512, gamma=2.373, delta=0.087, M=-1.550e+001
6 12 54 -> ~56 fr=21 (0.1511), cf=0.512, gamma=2.373, delta=0.087, M=-1.550e+001
23 27 29 47 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.197, delta=0.090, M=-1.546e+001
23 27 29 47 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.197, delta=0.090, M=-1.546e+001
25 29 -> ~55 fr=79 (0.5683), cf=0.929, gamma=1.185, delta=0.089, M=-1.513e+001
25 29 -> 56 fr=79 (0.5683), cf=0.929, gamma=1.185, delta=0.089, M=-1.513e+001
14 54 -> 55 fr=17 (0.1223), cf=0.607, gamma=2.813, delta=0.079, M=-1.509e+001
14 54 -> ~56 fr=17 (0.1223), cf=0.607, gamma=2.813, delta=0.079, M=-1.509e+001
15 27 29 -> ~55 fr=71 (0.5108), cf=0.947, gamma=1.207, delta=0.088, M=-1.497e+001
15 27 29 -> 56 fr=71 (0.5108), cf=0.947, gamma=1.207, delta=0.088, M=-1.497e+001
1 27 29 47 -> ~55 fr=75 (0.5396), cf=0.938, gamma=1.196, delta=0.088, M=-1.497e+001
1 27 29 47 -> 56 fr=75 (0.5396), cf=0.938, gamma=1.196, delta=0.088, M=-1.497e+001
23 25 47 -> ~55 fr=66 (0.4748), cf=0.957, gamma=1.220, delta=0.086, M=-1.471e+001
23 25 47 -> 56 fr=66 (0.4748), cf=0.957, gamma=1.220, delta=0.086, M=-1.471e+001
23 27 47 -> ~55 fr=78 (0.5612), cf=0.929, gamma=1.184, delta=0.087, M=-1.463e+001
23 27 47 -> 56 fr=78 (0.5612), cf=0.929, gamma=1.184, delta=0.087, M=-1.463e+001
25 47 -> ~55 fr=70 (0.5036), cf=0.946, gamma=1.206, delta=0.086, M=-1.451e+001
25 47 -> 56 fr=70 (0.5036), cf=0.946, gamma=1.206, delta=0.086, M=-1.451e+001
6 11 12 -> 55 fr=26 (0.1871), cf=0.400, gamma=1.853, delta=0.086, M=-1.451e+001
6 11 12 -> ~56 fr=26 (0.1871), cf=0.400, gamma=1.853, delta=0.086, M=-1.451e+001
25 30 -> ~55 fr=74 (0.5324), cf=0.937, gamma=1.195, delta=0.087, M=-1.449e+001
25 30 -> 56 fr=74 (0.5324), cf=0.937, gamma=1.195, delta=0.087, M=-1.449e+001
15 17 27 -> ~55 fr=74 (0.5324), cf=0.937, gamma=1.195, delta=0.087, M=-1.449e+001
15 17 27 -> 56 fr=74 (0.5324), cf=0.937, gamma=1.195, delta=0.087, M=-1.449e+001
23 27 29 -> ~55 fr=84 (0.6043), cf=0.913, gamma=1.164, delta=0.085, M=-1.431e+001
27 29 47 -> ~55 fr=84 (0.6043), cf=0.913, gamma=1.164, delta=0.085, M=-1.431e+001
23 27 29 -> 56 fr=84 (0.6043), cf=0.913, gamma=1.164, delta=0.085, M=-1.431e+001
27 29 47 -> 56 fr=84 (0.6043), cf=0.913, gamma=1.164, delta=0.085, M=-1.431e+001
6 12 -> 55 fr=28 (0.2014), cf=0.364, gamma=1.685, delta=0.082, M=-1.429e+001
6 12 -> ~56 fr=28 (0.2014), cf=0.364, gamma=1.685, delta=0.082, M=-1.429e+001
29 30 -> ~55 fr=92 (0.6619), cf=0.893, gamma=1.139, delta=0.081, M=-1.409e+001
29 30 -> 56 fr=92 (0.6619), cf=0.893, gamma=1.139, delta=0.081, M=-1.409e+001
23 25 -> ~55 fr=73 (0.5252), cf=0.936, gamma=1.193, delta=0.085, M=-1.402e+001
23 25 -> 56 fr=73 (0.5252), cf=0.936, gamma=1.193, delta=0.085, M=-1.402e+001
15 23 -> ~55 fr=64 (0.4604), cf=0.955, gamma=1.218, delta=0.082, M=-1.385e+001
15 23 -> 56 fr=64 (0.4604), cf=0.955, gamma=1.218, delta=0.082, M=-1.385e+001
17 21 25 -> ~55 fr=53 (0.3813), cf=0.981, gamma=1.252, delta=0.077, M=-1.382e+001
