1 27 29 30 -> ~55 fr=81 (0.5827), cf=0.953, gamma=1.193, delta=0.094, M=-1.790e+001
1 27 29 30 -> 56 fr=81 (0.5827), cf=0.953, gamma=1.193, delta=0.094, M=-1.790e+001
27 29 30 -> ~55 fr=91 (0.6547), cf=0.929, gamma=1.163, delta=0.092, M=-1.762e+001
27 29 30 -> 56 fr=91 (0.6547), cf=0.929, gamma=1.163, delta=0.092, M=-1.762e+001
25 27 34 -> ~55 fr=57 (0.4101), cf=1.000, gamma=1.252, delta=0.083, M=-1.709e+001
25 27 34 -> 56 fr=57 (0.4101), cf=1.000, gamma=1.252, delta=0.083, M=-1.709e+001
25 27 47 -> ~55 fr=70 (0.5036), cf=0.972, gamma=1.217, delta=0.090, M=-1.703e+001
25 27 47 -> 56 fr=70 (0.5036), cf=0.972, gamma=1.217, delta=0.090, M=-1.703e+001
27 30 -> ~55 fr=95 (0.6835), cf=0.913, gamma=1.144, delta=0.086, M=-1.651e+001
27 30 -> 56 fr=95 (0.6835), cf=0.913, gamma=1.144, delta=0.086, M=-1.651e+001
25 27 29 -> ~55 fr=78 (0.5612), cf=0.951, gamma=1.191, delta=0.090, M=-1.636e+001
25 27 29 -> 56 fr=78 (0.5612), cf=0.951, gamma=1.191, delta=0.090, M=-1.636e+001
1 27 29 -> ~55 fr=85 (0.6115), cf=0.934, gamma=1.170, delta=0.089, M=-1.602e+001
1 27 29 -> 56 fr=85 (0.6115), cf=0.934, gamma=1.170, delta=0.089, M=-1.602e+001
25 29 30 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.190, delta=0.089, M=-1.587e+001
25 29 30 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.190, delta=0.089, M=-1.587e+001
15 25 27 -> ~55 fr=61 (0.4388), cf=0.984, gamma=1.232, delta=0.083, M=-1.567e+001
15 25 29 -> ~55 fr=61 (0.4388), cf=0.984, gamma=1.232, delta=0.083, M=-1.567e+001
15 25 27 -> 56 fr=61 (0.4388), cf=0.984, gamma=1.232, delta=0.083, M=-1.567e+001
15 25 29 -> 56 fr=61 (0.4388), cf=0.984, gamma=1.232, delta=0.083, M=-1.567e+001
25 47 -> ~55 fr=72 (0.5180), cf=0.960, gamma=1.202, delta=0.087, M=-1.564e+001
25 47 -> 56 fr=72 (0.5180), cf=0.960, gamma=1.202, delta=0.087, M=-1.564e+001
27 29 39 -> ~55 fr=84 (0.6043), cf=0.933, gamma=1.169, delta=0.087, M=-1.549e+001
27 29 39 -> 56 fr=84 (0.6043), cf=0.933, gamma=1.169, delta=0.087, M=-1.549e+001
25 29 -> ~55 fr=80 (0.5755), cf=0.941, gamma=1.179, delta=0.087, M=-1.535e+001
25 29 -> 56 fr=80 (0.5755), cf=0.941, gamma=1.179, delta=0.087, M=-1.535e+001
21 23 25 27 -> ~55 fr=52 (0.3741), cf=1.000, gamma=1.252, delta=0.075, M=-1.509e+001
21 23 25 27 -> 56 fr=52 (0.3741), cf=1.000, gamma=1.252, delta=0.075, M=-1.509e+001
6 14 54 -> 55 fr=17 (0.1223), cf=0.567, gamma=2.813, delta=0.079, M=-1.509e+001
6 14 54 -> ~56 fr=17 (0.1223), cf=0.567, gamma=2.813, delta=0.079, M=-1.509e+001
14 19 54 -> 55 fr=14 (0.1007), cf=0.667, gamma=3.310, delta=0.070, M=-1.483e+001
14 19 54 -> ~56 fr=14 (0.1007), cf=0.667, gamma=3.310, delta=0.070, M=-1.483e+001
23 25 27 -> ~55 fr=70 (0.5036), cf=0.959, gamma=1.201, delta=0.084, M=-1.476e+001
23 25 27 -> 56 fr=70 (0.5036), cf=0.959, gamma=1.201, delta=0.084, M=-1.476e+001
27 29 47 -> ~55 fr=86 (0.6187), cf=0.925, gamma=1.158, delta=0.084, M=-1.472e+001
27 29 47 -> 56 fr=86 (0.6187), cf=0.925, gamma=1.158, delta=0.084, M=-1.472e+001
29 30 47 -> ~55 fr=89 (0.6403), cf=0.918, gamma=1.149, delta=0.083, M=-1.460e+001
29 30 47 -> 56 fr=89 (0.6403), cf=0.918, gamma=1.149, delta=0.083, M=-1.460e+001
1 27 47 -> ~55 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
1 27 47 -> 56 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
15 25 30 -> ~55 fr=58 (0.4173), cf=0.983, gamma=1.231, delta=0.078, M=-1.446e+001
15 25 30 -> 56 fr=58 (0.4173), cf=0.983, gamma=1.231, delta=0.078, M=-1.446e+001
14 54 -> 55 fr=17 (0.1223), cf=0.548, gamma=2.722, delta=0.077, M=-1.440e+001
14 54 -> ~56 fr=17 (0.1223), cf=0.548, gamma=2.722, delta=0.077, M=-1.440e+001
25 27 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.177, delta=0.084, M=-1.439e+001
25 27 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.177, delta=0.084, M=-1.439e+001
15 27 29 -> ~55 fr=69 (0.4964), cf=0.958, gamma=1.200, delta=0.083, M=-1.433e+001
15 27 29 -> 56 fr=69 (0.4964), cf=0.958, gamma=1.200, delta=0.083, M=-1.433e+001
6 12 54 -> 55 fr=20 (0.1439), cf=0.465, gamma=2.309, delta=0.082, M=-1.405e+001
6 12 54 -> ~56 fr=20 (0.1439), cf=0.465, gamma=2.309, delta=0.082, M=-1.405e+001
27 47 -> ~55 fr=91 (0.6547), cf=0.910, gamma=1.140, delta=0.080, M=-1.403e+001
1 27 -> ~55 fr=91 (0.6547), cf=0.910, gamma=1.140, delta=0.080, M=-1.403e+001
27 47 -> 56 fr=91 (0.6547), cf=0.910, gamma=1.140, delta=0.080, M=-1.403e+001
1 27 -> 56 fr=91 (0.6547), cf=0.910, gamma=1.140, delta=0.080, M=-1.403e+001
1 29 47 -> ~55 fr=81 (0.5827), cf=0.931, gamma=1.166, delta=0.083, M=-1.399e+001
1 29 47 -> 56 fr=81 (0.5827), cf=0.931, gamma=1.166, delta=0.083, M=-1.399e+001
27 29 -> ~55 fr=96 (0.6906), cf=0.897, gamma=1.124, delta=0.076, M=-1.374e+001
29 30 -> ~55 fr=96 (0.6906), cf=0.897, gamma=1.124, delta=0.076, M=-1.374e+001
27 29 -> 56 fr=96 (0.6906), cf=0.897, gamma=1.124, delta=0.076, M=-1.374e+001
29 30 -> 56 fr=96 (0.6906), cf=0.897, gamma=1.124, delta=0.076, M=-1.374e+001
15 27 -> ~55 fr=72 (0.5180), cf=0.947, gamma=1.186, delta=0.081, M=-1.361e+001
15 27 -> 56 fr=72 (0.5180), cf=0.947, gamma=1.186, delta=0.081, M=-1.361e+001
25 34 53 -> ~55 fr=48 (0.3453), cf=1.000, gamma=1.252, delta=0.070, M=-1.359e+001
25 34 53 -> 56 fr=48 (0.3453), cf=1.000, gamma=1.252, delta=0.070, M=-1.359e+001
47 53 -> ~55 fr=67 (0.4820), cf=0.957, gamma=1.199, delta=0.080, M=-1.350e+001
47 53 -> 56 fr=67 (0.4820), cf=0.957, gamma=1.199, delta=0.080, M=-1.350e+001
15 23 25 -> ~55 fr=55 (0.3957), cf=0.982, gamma=1.230, delta=0.074, M=-1.331e+001
15 23 25 -> 56 fr=55 (0.3957), cf=0.982, gamma=1.230, delta=0.074, M=-1.331e+001
15 25 -> ~55 fr=61 (0.4388), cf=0.968, gamma=1.212, delta=0.077, M=-1.324e+001
15 25 -> 56 fr=61 (0.4388), cf=0.968, gamma=1.212, delta=0.077, M=-1.324e+001
27 -> ~55 fr=102 (0.7338), cf=0.879, gamma=1.101, delta=0.067, M=-1.312e+001
30 47 -> ~55 fr=95 (0.6835), cf=0.896, gamma=1.122, delta=0.074, M=-1.312e+001
30 47 -> 56 fr=95 (0.6835), cf=0.896, gamma=1.122, delta=0.074, M=-1.312e+001
6 11 12 24 -> 55 fr=17 (0.1223), cf=0.515, gamma=2.557, delta=0.074, M=-1.312e+001
6 11 12 24 -> ~56 fr=17 (0.1223), cf=0.515, gamma=2.557, delta=0.074, M=-1.312e+001
6 12 24 -> 55 fr=18 (0.1295), cf=0.486, gamma=2.415, delta=0.076, M=-1.296e+001
6 11 24 -> 55 fr=18 (0.1295), cf=0.486, gamma=2.415, delta=0.076, M=-1.296e+001
6 12 24 -> ~56 fr=18 (0.1295), cf=0.486, gamma=2.415, delta=0.076, M=-1.296e+001
6 11 24 -> ~56 fr=18 (0.1295), cf=0.486, gamma=2.415, delta=0.076, M=-1.296e+001
34 53 -> ~55 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
34 53 -> 56 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
21 23 25 -> ~55 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
19 25 53 -> ~55 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
1 25 53 -> ~55 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
21 23 25 -> 56 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
19 25 53 -> 56 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
1 25 53 -> 56 fr=54 (0.3885), cf=0.982, gamma=1.229, delta=0.073, M=-1.294e+001
6 24 -> 55 fr=19 (0.1367), cf=0.463, gamma=2.301, delta=0.077, M=-1.294e+001
6 24 -> ~56 fr=19 (0.1367), cf=0.463, gamma=2.301, delta=0.077, M=-1.294e+001
21 25 53 -> ~55 fr=46 (0.3309), cf=1.000, gamma=1.252, delta=0.067, M=-1.287e+001
21 25 53 -> 56 fr=46 (0.3309), cf=1.000, gamma=1.252, delta=0.067, M=-1.287e+001
25 53 -> ~55 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
25 53 -> 56 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
1 30 53 -> ~55 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
15 23 29 -> ~55 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
1 30 53 -> 56 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
15 23 29 -> 56 fr=60 (0.4317), cf=0.968, gamma=1.212, delta=0.075, M=-1.286e+001
12 54 -> 55 fr=20 (0.1439), cf=0.435, gamma=2.158, delta=0.077, M=-1.254e+001
12 54 -> ~56 fr=20 (0.1439), cf=0.435, gamma=2.158, delta=0.077, M=-1.254e+001
25 34 -> ~55 fr=59 (0.4245), cf=0.967, gamma=1.211, delta=0.074, M=-1.248e+001
25 34 -> 56 fr=59 (0.4245), cf=0.967, gamma=1.211, delta=0.074, M=-1.248e+001
19 30 53 -> ~55 fr=59 (0.4245), cf=0.967, gamma=1.211, delta=0.074, M=-1.248e+001
19 30 53 -> 56 fr=59 (0.4245), cf=0.967, gamma=1.211, delta=0.074, M=-1.248e+001
29 47 -> ~55 fr=91 (0.6547), cf=0.901, gamma=1.128, delta=0.074, M=-1.241e+001
29 47 -> 56 fr=91 (0.6547), cf=0.901, gamma=1.128, delta=0.074, M=-1.241e+001
30 53 -> ~55 fr=69 (0.4964), cf=0.945, gamma=1.184, delta=0.077, M=-1.238e+001
30 53 -> 56 fr=69 (0.4964), cf=0.945, gamma=1.184, delta=0.077, M=-1.238e+001
1 53 -> ~55 fr=64 (0.4604), cf=0.955, gamma=1.196, delta=0.076, M=-1.232e+001
1 53 -> 56 fr=64 (0.4604), cf=0.955, gamma=1.196, delta=0.076, M=-1.232e+001
25 30 -> ~55 fr=77 (0.5540), cf=0.928, gamma=1.162, delta=0.077, M=-1.219e+001
25 30 -> 56 fr=77 (0.5540), cf=0.928, gamma=1.162, delta=0.077, M=-1.219e+001
6 14 -> 55 fr=21 (0.1511), cf=0.404, gamma=2.005, delta=0.076, M=-1.185e+001
6 14 -> ~56 fr=21 (0.1511), cf=0.404, gamma=2.005, delta=0.076, M=-1.185e+001
23 25 -> ~55 fr=72 (0.5180), cf=0.935, gamma=1.171, delta=0.076, M=-1.182e+001
23 25 -> 56 fr=72 (0.5180), cf=0.935, gamma=1.171, delta=0.076, M=-1.182e+001
6 54 -> 55 fr=22 (0.1583), cf=0.386, gamma=1.916, delta=0.076, M=-1.177e+001
6 54 -> ~56 fr=22 (0.1583), cf=0.386, gamma=1.916, delta=0.076, M=-1.177e+001
19 53 -> ~55 fr=62 (0.4460), cf=0.954, gamma=1.194, delta=0.073, M=-1.158e+001
19 53 -> 56 fr=62 (0.4460), cf=0.954, gamma=1.194, delta=0.073, M=-1.158e+001
1 29 -> ~55 fr=89 (0.6403), cf=0.899, gamma=1.126, delta=0.072, M=-1.139e+001
1 29 -> 56 fr=89 (0.6403), cf=0.899, gamma=1.126, delta=0.072, M=-1.139e+001
15 23 -> ~55 fr=61 (0.4388), cf=0.953, gamma=1.194, delta=0.071, M=-1.122e+001
