1 -> ~85 fr=172 (0.5196), cf=0.878, gamma=1.370, delta=0.140, M=-6.317e+001
1 -> 84 fr=172 (0.5196), cf=0.878, gamma=1.370, delta=0.140, M=-6.317e+001
5 38 -> 85 fr=34 (0.1027), cf=0.850, gamma=2.364, delta=0.059, M=-2.507e+001
5 38 -> ~84 fr=34 (0.1027), cf=0.850, gamma=2.364, delta=0.059, M=-2.507e+001
38 -> 85 fr=35 (0.1057), cf=0.814, gamma=2.264, delta=0.059, M=-2.333e+001
3 49 -> ~85 fr=63 (0.1903), cf=0.887, gamma=1.385, delta=0.053, M=-1.540e+001
3 49 -> 84 fr=63 (0.1903), cf=0.887, gamma=1.385, delta=0.053, M=-1.540e+001
5 25 29 -> 85 fr=38 (0.1148), cf=0.667, gamma=1.854, delta=0.053, M=-1.539e+001
5 25 29 -> ~84 fr=38 (0.1148), cf=0.667, gamma=1.854, delta=0.053, M=-1.539e+001
5 29 -> 85 fr=48 (0.1450), cf=0.608, gamma=1.690, delta=0.059, M=-1.535e+001
5 29 -> ~84 fr=48 (0.1450), cf=0.608, gamma=1.690, delta=0.059, M=-1.535e+001
16 -> ~85 fr=142 (0.4290), cf=0.759, gamma=1.186, delta=0.067, M=-1.521e+001
16 -> 84 fr=142 (0.4290), cf=0.759, gamma=1.186, delta=0.067, M=-1.521e+001
5 25 47 -> 85 fr=35 (0.1057), cf=0.686, gamma=1.909, delta=0.050, M=-1.521e+001
5 25 47 -> ~84 fr=35 (0.1057), cf=0.686, gamma=1.909, delta=0.050, M=-1.521e+001
49 -> 84 fr=68 (0.2054), cf=0.872, gamma=1.361, delta=0.055, M=-1.508e+001
5 25 -> 85 fr=65 (0.1964), cf=0.537, gamma=1.494, delta=0.065, M=-1.491e+001
5 25 -> ~84 fr=65 (0.1964), cf=0.537, gamma=1.494, delta=0.065, M=-1.491e+001
5 20 47 -> 85 fr=36 (0.1088), cf=0.655, gamma=1.821, delta=0.049, M=-1.378e+001
5 20 47 -> ~84 fr=36 (0.1088), cf=0.655, gamma=1.821, delta=0.049, M=-1.378e+001
5 47 -> 85 fr=47 (0.1420), cf=0.587, gamma=1.634, delta=0.055, M=-1.344e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.587, gamma=1.634, delta=0.055, M=-1.344e+001
65 -> 84 fr=45 (0.1360), cf=0.918, gamma=1.434, delta=0.041, M=-1.310e+001
29 -> 85 fr=50 (0.1511), cf=0.568, gamma=1.580, delta=0.055, M=-1.293e+001
5 15 -> 85 fr=39 (0.1178), cf=0.619, gamma=1.722, delta=0.049, M=-1.279e+001
5 15 -> ~84 fr=39 (0.1178), cf=0.619, gamma=1.722, delta=0.049, M=-1.279e+001
3 25 -> 85 fr=66 (0.1994), cf=0.512, gamma=1.423, delta=0.059, M=-1.248e+001
3 25 -> ~84 fr=66 (0.1994), cf=0.512, gamma=1.423, delta=0.059, M=-1.248e+001
15 -> 85 fr=40 (0.1208), cf=0.606, gamma=1.686, delta=0.049, M=-1.233e+001
79 -> 84 fr=47 (0.1420), cf=0.887, gamma=1.385, delta=0.039, M=-1.118e+001
47 -> 85 fr=50 (0.1511), cf=0.538, gamma=1.495, delta=0.050, M=-1.056e+001
3 66 -> ~85 fr=73 (0.2205), cf=0.811, gamma=1.266, delta=0.046, M=-1.013e+001
3 66 -> 84 fr=73 (0.2205), cf=0.811, gamma=1.266, delta=0.046, M=-1.013e+001
