2 16 -> ~157 fr=189 (0.6000), cf=0.859, gamma=1.353, delta=0.157, M=-8.476e+001
2 16 -> 156 fr=189 (0.6000), cf=0.859, gamma=1.353, delta=0.157, M=-8.476e+001
16 124 -> ~157 fr=175 (0.5556), cf=0.897, gamma=1.413, delta=0.163, M=-8.253e+001
16 124 -> 156 fr=175 (0.5556), cf=0.897, gamma=1.413, delta=0.163, M=-8.253e+001
11 16 -> ~157 fr=173 (0.5492), cf=0.892, gamma=1.405, delta=0.158, M=-7.772e+001
11 16 -> 156 fr=173 (0.5492), cf=0.892, gamma=1.405, delta=0.158, M=-7.772e+001
13 -> 157 fr=66 (0.2095), cf=0.943, gamma=2.583, delta=0.128, M=-7.008e+001
16 121 -> ~157 fr=145 (0.4603), cf=0.929, gamma=1.464, delta=0.146, M=-6.612e+001
16 121 -> 156 fr=145 (0.4603), cf=0.929, gamma=1.464, delta=0.146, M=-6.612e+001
22 -> 157 fr=59 (0.1873), cf=0.952, gamma=2.607, delta=0.115, M=-6.218e+001
121 131 141 -> ~157 fr=138 (0.4381), cf=0.932, gamma=1.469, delta=0.140, M=-6.166e+001
121 131 141 -> 156 fr=138 (0.4381), cf=0.932, gamma=1.469, delta=0.140, M=-6.166e+001
16 131 -> ~157 fr=142 (0.4508), cf=0.922, gamma=1.452, delta=0.140, M=-6.110e+001
16 131 -> 156 fr=142 (0.4508), cf=0.922, gamma=1.452, delta=0.140, M=-6.110e+001
2 11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.927, gamma=1.459, delta=0.139, M=-6.042e+001
2 11 124 141 150 -> 156 fr=139 (0.4413), cf=0.927, gamma=1.459, delta=0.139, M=-6.042e+001
16 -> ~157 fr=189 (0.6000), cf=0.804, gamma=1.267, delta=0.126, M=-6.018e+001
7 11 -> ~157 fr=145 (0.4603), cf=0.912, gamma=1.436, delta=0.140, M=-5.989e+001
7 11 -> 156 fr=145 (0.4603), cf=0.912, gamma=1.436, delta=0.140, M=-5.989e+001
121 141 150 -> ~157 fr=138 (0.4381), cf=0.926, gamma=1.459, delta=0.138, M=-5.951e+001
121 141 150 -> 156 fr=138 (0.4381), cf=0.926, gamma=1.459, delta=0.138, M=-5.951e+001
11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.921, gamma=1.450, delta=0.137, M=-5.835e+001
11 124 141 150 -> 156 fr=139 (0.4413), cf=0.921, gamma=1.450, delta=0.137, M=-5.835e+001
131 141 -> ~157 fr=145 (0.4603), cf=0.906, gamma=1.427, delta=0.138, M=-5.795e+001
131 141 -> 156 fr=145 (0.4603), cf=0.906, gamma=1.427, delta=0.138, M=-5.795e+001
2 11 141 150 -> ~157 fr=145 (0.4603), cf=0.906, gamma=1.427, delta=0.138, M=-5.795e+001
2 11 141 150 -> 156 fr=145 (0.4603), cf=0.906, gamma=1.427, delta=0.138, M=-5.795e+001
121 131 -> ~157 fr=142 (0.4508), cf=0.910, gamma=1.434, delta=0.136, M=-5.710e+001
121 131 -> 156 fr=142 (0.4508), cf=0.910, gamma=1.434, delta=0.136, M=-5.710e+001
2 11 124 141 -> ~157 fr=144 (0.4571), cf=0.906, gamma=1.426, delta=0.137, M=-5.702e+001
2 11 124 141 -> 156 fr=144 (0.4571), cf=0.906, gamma=1.426, delta=0.137, M=-5.702e+001
2 124 141 150 -> ~157 fr=153 (0.4857), cf=0.884, gamma=1.393, delta=0.137, M=-5.650e+001
2 124 141 150 -> 156 fr=153 (0.4857), cf=0.884, gamma=1.393, delta=0.137, M=-5.650e+001
121 141 -> ~157 fr=143 (0.4540), cf=0.905, gamma=1.425, delta=0.136, M=-5.611e+001
121 141 -> 156 fr=143 (0.4540), cf=0.905, gamma=1.425, delta=0.136, M=-5.611e+001
2 11 141 -> ~157 fr=150 (0.4762), cf=0.888, gamma=1.398, delta=0.136, M=-5.536e+001
2 11 141 -> 156 fr=150 (0.4762), cf=0.888, gamma=1.398, delta=0.136, M=-5.536e+001
11 124 141 -> ~157 fr=144 (0.4571), cf=0.900, gamma=1.418, delta=0.135, M=-5.516e+001
11 124 141 -> 156 fr=144 (0.4571), cf=0.900, gamma=1.418, delta=0.135, M=-5.516e+001
124 141 150 -> ~157 fr=153 (0.4857), cf=0.879, gamma=1.385, delta=0.135, M=-5.479e+001
124 141 150 -> 156 fr=153 (0.4857), cf=0.879, gamma=1.385, delta=0.135, M=-5.479e+001
2 124 141 -> ~157 fr=158 (0.5016), cf=0.868, gamma=1.367, delta=0.135, M=-5.472e+001
2 124 141 -> 156 fr=158 (0.5016), cf=0.868, gamma=1.367, delta=0.135, M=-5.472e+001
11 25 34 -> ~157 fr=130 (0.4127), cf=0.929, gamma=1.462, delta=0.131, M=-5.464e+001
11 25 34 -> 156 fr=130 (0.4127), cf=0.929, gamma=1.462, delta=0.131, M=-5.464e+001
102 111 121 -> ~157 fr=127 (0.4032), cf=0.934, gamma=1.471, delta=0.129, M=-5.426e+001
102 111 121 -> 156 fr=127 (0.4032), cf=0.934, gamma=1.471, delta=0.129, M=-5.426e+001
124 141 -> ~157 fr=158 (0.5016), cf=0.863, gamma=1.360, delta=0.133, M=-5.311e+001
124 141 -> 156 fr=158 (0.5016), cf=0.863, gamma=1.360, delta=0.133, M=-5.311e+001
131 -> ~157 fr=149 (0.4730), cf=0.882, gamma=1.389, delta=0.132, M=-5.271e+001
131 -> 156 fr=149 (0.4730), cf=0.882, gamma=1.389, delta=0.132, M=-5.271e+001
7 124 -> ~157 fr=143 (0.4540), cf=0.894, gamma=1.408, delta=0.131, M=-5.247e+001
7 124 -> 156 fr=143 (0.4540), cf=0.894, gamma=1.408, delta=0.131, M=-5.247e+001
102 111 -> ~157 fr=132 (0.4190), cf=0.917, gamma=1.444, delta=0.129, M=-5.228e+001
102 111 -> 156 fr=132 (0.4190), cf=0.917, gamma=1.444, delta=0.129, M=-5.228e+001
2 11 25 -> ~157 fr=132 (0.4190), cf=0.910, gamma=1.434, delta=0.127, M=-5.037e+001
2 11 25 -> 156 fr=132 (0.4190), cf=0.910, gamma=1.434, delta=0.127, M=-5.037e+001
102 121 -> ~157 fr=138 (0.4381), cf=0.896, gamma=1.411, delta=0.128, M=-4.991e+001
102 121 -> 156 fr=138 (0.4381), cf=0.896, gamma=1.411, delta=0.128, M=-4.991e+001
2 11 34 -> ~157 fr=156 (0.4952), cf=0.857, gamma=1.350, delta=0.128, M=-4.960e+001
2 11 34 -> 156 fr=156 (0.4952), cf=0.857, gamma=1.350, delta=0.128, M=-4.960e+001
92 111 121 -> ~157 fr=115 (0.3651), cf=0.943, gamma=1.485, delta=0.119, M=-4.914e+001
92 111 121 -> 156 fr=115 (0.3651), cf=0.943, gamma=1.485, delta=0.119, M=-4.914e+001
11 141 150 -> ~157 fr=145 (0.4603), cf=0.879, gamma=1.384, delta=0.128, M=-4.912e+001
11 141 150 -> 156 fr=145 (0.4603), cf=0.879, gamma=1.384, delta=0.128, M=-4.912e+001
2 11 124 -> ~157 fr=170 (0.5397), cf=0.825, gamma=1.300, delta=0.124, M=-4.908e+001
2 11 124 -> 156 fr=170 (0.5397), cf=0.825, gamma=1.300, delta=0.124, M=-4.908e+001
4 -> 157 fr=63 (0.2000), cf=0.829, gamma=2.271, delta=0.112, M=-4.853e+001
11 25 124 -> ~157 fr=119 (0.3778), cf=0.930, gamma=1.464, delta=0.120, M=-4.792e+001
11 25 124 -> 156 fr=119 (0.3778), cf=0.930, gamma=1.464, delta=0.120, M=-4.792e+001
2 7 -> ~157 fr=157 (0.4984), cf=0.849, gamma=1.337, delta=0.126, M=-4.753e+001
2 7 -> 156 fr=157 (0.4984), cf=0.849, gamma=1.337, delta=0.126, M=-4.753e+001
92 102 -> ~157 fr=126 (0.4000), cf=0.913, gamma=1.438, delta=0.122, M=-4.745e+001
92 102 -> 156 fr=126 (0.4000), cf=0.913, gamma=1.438, delta=0.122, M=-4.745e+001
11 141 -> ~157 fr=150 (0.4762), cf=0.862, gamma=1.358, delta=0.125, M=-4.718e+001
11 141 -> 156 fr=150 (0.4762), cf=0.862, gamma=1.358, delta=0.125, M=-4.718e+001
92 111 -> ~157 fr=115 (0.3651), cf=0.935, gamma=1.473, delta=0.117, M=-4.698e+001
92 111 -> 156 fr=115 (0.3651), cf=0.935, gamma=1.473, delta=0.117, M=-4.698e+001
2 11 -> ~157 fr=183 (0.5810), cf=0.789, gamma=1.242, delta=0.113, M=-4.688e+001
2 11 -> 156 fr=183 (0.5810), cf=0.789, gamma=1.242, delta=0.113, M=-4.688e+001
11 34 -> ~157 fr=156 (0.4952), cf=0.848, gamma=1.335, delta=0.124, M=-4.660e+001
11 34 -> 156 fr=156 (0.4952), cf=0.848, gamma=1.335, delta=0.124, M=-4.660e+001
11 124 -> ~157 fr=170 (0.5397), cf=0.817, gamma=1.287, delta=0.120, M=-4.630e+001
11 124 -> 156 fr=170 (0.5397), cf=0.817, gamma=1.287, delta=0.120, M=-4.630e+001
2 141 150 -> ~157 fr=160 (0.5079), cf=0.838, gamma=1.319, delta=0.123, M=-4.602e+001
2 141 150 -> 156 fr=160 (0.5079), cf=0.838, gamma=1.319, delta=0.123, M=-4.602e+001
2 124 -> ~157 fr=186 (0.5905), cf=0.778, gamma=1.226, delta=0.109, M=-4.576e+001
2 124 -> 156 fr=186 (0.5905), cf=0.778, gamma=1.226, delta=0.109, M=-4.576e+001
72 82 92 -> ~157 fr=97 (0.3079), cf=0.970, gamma=1.528, delta=0.106, M=-4.572e+001
72 82 92 -> 156 fr=97 (0.3079), cf=0.970, gamma=1.528, delta=0.106, M=-4.572e+001
72 92 -> ~157 fr=104 (0.3302), cf=0.954, gamma=1.503, delta=0.110, M=-4.562e+001
72 92 -> 156 fr=104 (0.3302), cf=0.954, gamma=1.503, delta=0.110, M=-4.562e+001
111 141 -> ~157 fr=130 (0.4127), cf=0.897, gamma=1.412, delta=0.120, M=-4.519e+001
111 141 -> 156 fr=130 (0.4127), cf=0.897, gamma=1.412, delta=0.120, M=-4.519e+001
92 121 -> ~157 fr=122 (0.3873), cf=0.910, gamma=1.434, delta=0.117, M=-4.440e+001
92 121 -> 156 fr=122 (0.3873), cf=0.910, gamma=1.434, delta=0.117, M=-4.440e+001
122 -> 157 fr=66 (0.2095), cf=0.776, gamma=2.127, delta=0.111, M=-4.431e+001
111 121 -> ~157 fr=131 (0.4159), cf=0.891, gamma=1.404, delta=0.120, M=-4.427e+001
111 121 -> 156 fr=131 (0.4159), cf=0.891, gamma=1.404, delta=0.120, M=-4.427e+001
2 141 -> ~157 fr=165 (0.5238), cf=0.821, gamma=1.293, delta=0.119, M=-4.392e+001
2 141 -> 156 fr=165 (0.5238), cf=0.821, gamma=1.293, delta=0.119, M=-4.392e+001
11 25 -> ~157 fr=132 (0.4190), cf=0.886, gamma=1.395, delta=0.119, M=-4.339e+001
11 25 -> 156 fr=132 (0.4190), cf=0.886, gamma=1.395, delta=0.119, M=-4.339e+001
124 -> ~157 fr=186 (0.5905), cf=0.772, gamma=1.216, delta=0.105, M=-4.319e+001
92 141 -> ~157 fr=115 (0.3651), cf=0.920, gamma=1.449, delta=0.113, M=-4.299e+001
92 141 -> 156 fr=115 (0.3651), cf=0.920, gamma=1.449, delta=0.113, M=-4.299e+001
72 102 -> ~157 fr=114 (0.3619), cf=0.919, gamma=1.448, delta=0.112, M=-4.227e+001
72 102 -> 156 fr=114 (0.3619), cf=0.919, gamma=1.448, delta=0.112, M=-4.227e+001
34 52 92 -> ~157 fr=114 (0.3619), cf=0.919, gamma=1.448, delta=0.112, M=-4.227e+001
34 52 92 -> 156 fr=114 (0.3619), cf=0.919, gamma=1.448, delta=0.112, M=-4.227e+001
62 92 -> ~157 fr=111 (0.3524), cf=0.925, gamma=1.457, delta=0.111, M=-4.206e+001
62 92 -> 156 fr=111 (0.3524), cf=0.925, gamma=1.457, delta=0.111, M=-4.206e+001
7 121 150 -> ~157 fr=105 (0.3333), cf=0.938, gamma=1.477, delta=0.108, M=-4.188e+001
7 121 150 -> 156 fr=105 (0.3333), cf=0.938, gamma=1.477, delta=0.108, M=-4.188e+001
92 -> ~157 fr=127 (0.4032), cf=0.888, gamma=1.399, delta=0.115, M=-4.125e+001
92 -> 156 fr=127 (0.4032), cf=0.888, gamma=1.399, delta=0.115, M=-4.125e+001
2 25 34 -> ~157 fr=141 (0.4476), cf=0.860, gamma=1.354, delta=0.117, M=-4.117e+001
2 25 34 -> 156 fr=141 (0.4476), cf=0.860, gamma=1.354, delta=0.117, M=-4.117e+001
11 121 150 -> ~157 fr=131 (0.4159), cf=0.879, gamma=1.385, delta=0.116, M=-4.104e+001
11 121 150 -> 156 fr=131 (0.4159), cf=0.879, gamma=1.385, delta=0.116, M=-4.104e+001
121 150 -> ~157 fr=144 (0.4571), cf=0.852, gamma=1.342, delta=0.117, M=-4.066e+001
121 150 -> 156 fr=144 (0.4571), cf=0.852, gamma=1.342, delta=0.117, M=-4.066e+001
2 34 102 -> ~157 fr=144 (0.4571), cf=0.852, gamma=1.342, delta=0.117, M=-4.066e+001
