2 11 16 -> ~157 fr=180 (0.5714), cf=0.909, gamma=1.418, delta=0.168, M=-9.033e+001
2 11 16 -> 156 fr=180 (0.5714), cf=0.909, gamma=1.418, delta=0.168, M=-9.033e+001
11 16 -> ~157 fr=180 (0.5714), cf=0.900, gamma=1.403, delta=0.164, M=-8.609e+001
11 16 -> 156 fr=180 (0.5714), cf=0.900, gamma=1.403, delta=0.164, M=-8.609e+001
2 16 -> ~157 fr=192 (0.6095), cf=0.861, gamma=1.343, delta=0.156, M=-8.557e+001
2 16 -> 156 fr=192 (0.6095), cf=0.861, gamma=1.343, delta=0.156, M=-8.557e+001
16 124 -> ~157 fr=177 (0.5619), cf=0.903, gamma=1.408, delta=0.163, M=-8.370e+001
16 124 -> 156 fr=177 (0.5619), cf=0.903, gamma=1.408, delta=0.163, M=-8.370e+001
16 121 -> ~157 fr=150 (0.4762), cf=0.932, gamma=1.453, delta=0.148, M=-6.866e+001
16 121 -> 156 fr=150 (0.4762), cf=0.932, gamma=1.453, delta=0.148, M=-6.866e+001
13 -> 157 fr=63 (0.2000), cf=0.940, gamma=2.621, delta=0.124, M=-6.708e+001
7 11 -> ~157 fr=150 (0.4762), cf=0.920, gamma=1.435, delta=0.144, M=-6.435e+001
7 11 -> 156 fr=150 (0.4762), cf=0.920, gamma=1.435, delta=0.144, M=-6.435e+001
16 131 -> ~157 fr=146 (0.4635), cf=0.924, gamma=1.441, delta=0.142, M=-6.258e+001
16 131 -> 156 fr=146 (0.4635), cf=0.924, gamma=1.441, delta=0.142, M=-6.258e+001
2 11 124 141 150 -> ~157 fr=141 (0.4476), cf=0.934, gamma=1.456, delta=0.140, M=-6.223e+001
2 11 124 141 150 -> 156 fr=141 (0.4476), cf=0.934, gamma=1.456, delta=0.140, M=-6.223e+001
2 11 124 141 -> ~157 fr=147 (0.4667), cf=0.919, gamma=1.433, delta=0.141, M=-6.146e+001
2 11 124 141 -> 156 fr=147 (0.4667), cf=0.919, gamma=1.433, delta=0.141, M=-6.146e+001
121 131 141 -> ~157 fr=140 (0.4444), cf=0.933, gamma=1.455, delta=0.139, M=-6.132e+001
121 131 141 -> 156 fr=140 (0.4444), cf=0.933, gamma=1.455, delta=0.139, M=-6.132e+001
2 11 141 -> ~157 fr=154 (0.4889), cf=0.901, gamma=1.404, delta=0.141, M=-6.039e+001
2 11 141 -> 156 fr=154 (0.4889), cf=0.901, gamma=1.404, delta=0.141, M=-6.039e+001
11 124 141 150 -> ~157 fr=141 (0.4476), cf=0.928, gamma=1.447, delta=0.138, M=-6.007e+001
11 124 141 150 -> 156 fr=141 (0.4476), cf=0.928, gamma=1.447, delta=0.138, M=-6.007e+001
121 131 -> ~157 fr=145 (0.4603), cf=0.918, gamma=1.431, delta=0.139, M=-5.959e+001
121 131 -> 156 fr=145 (0.4603), cf=0.918, gamma=1.431, delta=0.139, M=-5.959e+001
11 124 141 -> ~157 fr=147 (0.4667), cf=0.913, gamma=1.424, delta=0.139, M=-5.945e+001
11 124 141 -> 156 fr=147 (0.4667), cf=0.913, gamma=1.424, delta=0.139, M=-5.945e+001
11 121 141 -> ~157 fr=135 (0.4286), cf=0.938, gamma=1.462, delta=0.135, M=-5.910e+001
11 121 141 -> 156 fr=135 (0.4286), cf=0.938, gamma=1.462, delta=0.135, M=-5.910e+001
121 141 150 -> ~157 fr=139 (0.4413), cf=0.927, gamma=1.445, delta=0.136, M=-5.828e+001
121 141 150 -> 156 fr=139 (0.4413), cf=0.927, gamma=1.445, delta=0.136, M=-5.828e+001
2 11 124 -> ~157 fr=174 (0.5524), cf=0.849, gamma=1.324, delta=0.135, M=-5.798e+001
2 11 124 -> 156 fr=174 (0.5524), cf=0.849, gamma=1.324, delta=0.135, M=-5.798e+001
22 -> 157 fr=55 (0.1746), cf=0.948, gamma=2.643, delta=0.109, M=-5.777e+001
121 141 -> ~157 fr=145 (0.4603), cf=0.912, gamma=1.422, delta=0.137, M=-5.760e+001
121 141 -> 156 fr=145 (0.4603), cf=0.912, gamma=1.422, delta=0.137, M=-5.760e+001
131 141 -> ~157 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
131 141 -> 156 fr=147 (0.4667), cf=0.907, gamma=1.415, delta=0.137, M=-5.751e+001
2 11 -> ~157 fr=189 (0.6000), cf=0.808, gamma=1.260, delta=0.124, M=-5.709e+001
2 11 -> 156 fr=189 (0.6000), cf=0.808, gamma=1.260, delta=0.124, M=-5.709e+001
11 124 -> ~157 fr=174 (0.5524), cf=0.845, gamma=1.317, delta=0.133, M=-5.641e+001
11 124 -> 156 fr=174 (0.5524), cf=0.845, gamma=1.317, delta=0.133, M=-5.641e+001
16 -> ~157 fr=192 (0.6095), cf=0.797, gamma=1.242, delta=0.119, M=-5.625e+001
2 124 141 -> ~157 fr=158 (0.5016), cf=0.878, gamma=1.369, delta=0.135, M=-5.543e+001
