23 -> 90 fr=3431 (0.4693), cf=1.000, gamma=2.064, delta=0.242, M=-4.559e+003
22 -> ~90 fr=3769 (0.5155), cf=0.971, gamma=1.884, delta=0.242, M=-4.559e+003
21 26 63 -> 90 fr=2893 (0.3957), cf=0.952, gamma=1.965, delta=0.194, M=-2.661e+003
21 26 63 -> ~89 fr=2893 (0.3957), cf=0.952, gamma=1.965, delta=0.194, M=-2.661e+003
21 25 26 66 -> 90 fr=2857 (0.3908), cf=0.956, gamma=1.973, delta=0.193, M=-2.637e+003
21 25 26 66 -> ~89 fr=2857 (0.3908), cf=0.956, gamma=1.973, delta=0.193, M=-2.637e+003
21 25 26 -> 90 fr=2875 (0.3932), cf=0.952, gamma=1.964, delta=0.193, M=-2.628e+003
21 25 26 -> ~89 fr=2875 (0.3932), cf=0.952, gamma=1.964, delta=0.193, M=-2.628e+003
28 47 -> ~90 fr=3016 (0.4125), cf=0.940, gamma=1.823, delta=0.186, M=-2.379e+003
28 47 -> 89 fr=3016 (0.4125), cf=0.940, gamma=1.823, delta=0.186, M=-2.379e+003
21 26 -> 90 fr=2893 (0.3957), cf=0.902, gamma=1.861, delta=0.183, M=-2.246e+003
21 26 -> ~89 fr=2893 (0.3957), cf=0.902, gamma=1.861, delta=0.183, M=-2.246e+003
28 51 -> ~90 fr=2844 (0.3890), cf=0.936, gamma=1.816, delta=0.175, M=-2.113e+003
28 51 -> 89 fr=2844 (0.3890), cf=0.936, gamma=1.816, delta=0.175, M=-2.113e+003
26 46 -> 90 fr=2016 (0.2757), cf=1.000, gamma=2.064, delta=0.142, M=-1.884e+003
26 46 -> ~89 fr=2016 (0.2757), cf=1.000, gamma=2.064, delta=0.142, M=-1.884e+003
46 66 -> 90 fr=1980 (0.2708), cf=1.000, gamma=2.064, delta=0.140, M=-1.840e+003
46 66 -> ~89 fr=1980 (0.2708), cf=1.000, gamma=2.064, delta=0.140, M=-1.840e+003
21 25 80 -> 90 fr=2271 (0.3106), cf=0.955, gamma=1.970, delta=0.153, M=-1.813e+003
21 63 80 -> 90 fr=2271 (0.3106), cf=0.955, gamma=1.970, delta=0.153, M=-1.813e+003
21 25 80 -> ~89 fr=2271 (0.3106), cf=0.955, gamma=1.970, delta=0.153, M=-1.813e+003
21 63 80 -> ~89 fr=2271 (0.3106), cf=0.955, gamma=1.970, delta=0.153, M=-1.813e+003
26 50 -> 90 fr=1937 (0.2649), cf=1.000, gamma=2.064, delta=0.137, M=-1.787e+003
50 66 -> 90 fr=1937 (0.2649), cf=1.000, gamma=2.064, delta=0.137, M=-1.787e+003
26 50 -> ~89 fr=1937 (0.2649), cf=1.000, gamma=2.064, delta=0.137, M=-1.787e+003
50 66 -> ~89 fr=1937 (0.2649), cf=1.000, gamma=2.064, delta=0.137, M=-1.787e+003
21 80 -> 90 fr=2271 (0.3106), cf=0.922, gamma=1.904, delta=0.147, M=-1.606e+003
21 80 -> ~89 fr=2271 (0.3106), cf=0.922, gamma=1.904, delta=0.147, M=-1.606e+003
28 71 -> ~90 fr=2638 (0.3608), cf=0.892, gamma=1.729, delta=0.152, M=-1.558e+003
28 71 -> 89 fr=2638 (0.3608), cf=0.892, gamma=1.729, delta=0.152, M=-1.558e+003
46 -> 90 fr=2016 (0.2757), cf=0.942, gamma=1.944, delta=0.134, M=-1.454e+003
21 25 66 -> 90 fr=2946 (0.4030), cf=0.771, gamma=1.591, delta=0.150, M=-1.414e+003
21 25 66 -> ~89 fr=2946 (0.4030), cf=0.771, gamma=1.591, delta=0.150, M=-1.414e+003
21 63 66 -> 90 fr=2938 (0.4019), cf=0.770, gamma=1.590, delta=0.149, M=-1.402e+003
21 63 66 -> ~89 fr=2938 (0.4019), cf=0.770, gamma=1.590, delta=0.149, M=-1.402e+003
26 29 76 -> 90 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 29 76 -> ~89 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 66 76 -> 90 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 66 76 -> ~89 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 29 68 -> 90 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 29 68 -> ~89 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 68 80 -> 90 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 66 68 -> 90 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 68 80 -> ~89 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
26 66 68 -> ~89 fr=1592 (0.2178), cf=1.000, gamma=2.064, delta=0.112, M=-1.394e+003
32 -> 90 fr=1583 (0.2165), cf=1.000, gamma=2.064, delta=0.112, M=-1.384e+003
40 76 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
40 76 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
29 40 68 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
29 40 68 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
21 29 40 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
26 29 40 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
21 29 40 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
26 29 40 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
40 68 80 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
26 40 68 -> 90 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
40 68 80 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
26 40 68 -> ~89 fr=1561 (0.2135), cf=1.000, gamma=2.064, delta=0.110, M=-1.361e+003
50 -> 90 fr=1937 (0.2649), cf=0.938, gamma=1.935, delta=0.128, M=-1.354e+003
26 29 -> 90 fr=1916 (0.2621), cf=0.936, gamma=1.931, delta=0.126, M=-1.324e+003
26 29 -> ~89 fr=1916 (0.2621), cf=0.936, gamma=1.931, delta=0.126, M=-1.324e+003
26 76 80 -> 90 fr=1592 (0.2178), cf=0.991, gamma=2.046, delta=0.111, M=-1.322e+003
26 76 80 -> ~89 fr=1592 (0.2178), cf=0.991, gamma=2.046, delta=0.111, M=-1.322e+003
20 88 -> ~90 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
20 88 -> 89 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
40 41 88 -> ~90 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
40 41 88 -> 89 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
40 71 88 -> ~90 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
40 71 88 -> 89 fr=1633 (0.2234), cf=1.000, gamma=1.940, delta=0.108, M=-1.304e+003
41 75 -> 90 fr=1493 (0.2042), cf=1.000, gamma=2.064, delta=0.105, M=-1.289e+003
41 75 -> ~89 fr=1493 (0.2042), cf=1.000, gamma=2.064, delta=0.105, M=-1.289e+003
28 75 -> 90 fr=1493 (0.2042), cf=1.000, gamma=2.064, delta=0.105, M=-1.289e+003
28 75 -> ~89 fr=1493 (0.2042), cf=1.000, gamma=2.064, delta=0.105, M=-1.289e+003
20 28 -> ~90 fr=2367 (0.3238), cf=0.881, gamma=1.708, delta=0.134, M=-1.248e+003
20 28 -> 89 fr=2367 (0.3238), cf=0.881, gamma=1.708, delta=0.134, M=-1.248e+003
28 40 -> ~90 fr=2250 (0.3078), cf=0.897, gamma=1.741, delta=0.131, M=-1.241e+003
28 40 -> 89 fr=2250 (0.3078), cf=0.897, gamma=1.741, delta=0.131, M=-1.241e+003
29 76 -> 90 fr=1608 (0.2199), cf=0.975, gamma=2.013, delta=0.111, M=-1.239e+003
29 76 -> ~89 fr=1608 (0.2199), cf=0.975, gamma=2.013, delta=0.111, M=-1.239e+003
66 76 -> 90 fr=1608 (0.2199), cf=0.975, gamma=2.013, delta=0.111, M=-1.239e+003
66 76 -> ~89 fr=1608 (0.2199), cf=0.975, gamma=2.013, delta=0.111, M=-1.239e+003
29 68 -> 90 fr=1600 (0.2188), cf=0.975, gamma=2.013, delta=0.110, M=-1.231e+003
29 68 -> ~89 fr=1600 (0.2188), cf=0.975, gamma=2.013, delta=0.110, M=-1.231e+003
21 68 76 -> 90 fr=1600 (0.2188), cf=0.975, gamma=2.013, delta=0.110, M=-1.231e+003
21 68 76 -> ~89 fr=1600 (0.2188), cf=0.975, gamma=2.013, delta=0.110, M=-1.231e+003
68 80 -> 90 fr=1592 (0.2178), cf=0.975, gamma=2.012, delta=0.110, M=-1.223e+003
68 80 -> ~89 fr=1592 (0.2178), cf=0.975, gamma=2.012, delta=0.110, M=-1.223e+003
21 66 -> 90 fr=2946 (0.4030), cf=0.738, gamma=1.523, delta=0.138, M=-1.209e+003
21 66 -> ~89 fr=2946 (0.4030), cf=0.738, gamma=1.523, delta=0.138, M=-1.209e+003
76 80 -> 90 fr=1592 (0.2178), cf=0.967, gamma=1.995, delta=0.109, M=-1.179e+003
76 80 -> ~89 fr=1592 (0.2178), cf=0.967, gamma=1.995, delta=0.109, M=-1.179e+003
28 73 -> ~90 fr=1501 (0.2053), cf=1.000, gamma=1.940, delta=0.099, M=-1.178e+003
28 73 -> 89 fr=1501 (0.2053), cf=1.000, gamma=1.940, delta=0.099, M=-1.178e+003
29 -> 90 fr=2013 (0.2753), cf=0.886, gamma=1.828, delta=0.125, M=-1.167e+003
28 -> ~90 fr=3509 (0.4800), cf=0.697, gamma=1.351, delta=0.125, M=-1.167e+003
20 47 -> ~90 fr=2454 (0.3357), cf=0.850, gamma=1.649, delta=0.132, M=-1.155e+003
20 47 -> 89 fr=2454 (0.3357), cf=0.850, gamma=1.649, delta=0.132, M=-1.155e+003
47 71 -> ~90 fr=2674 (0.3658), cf=0.815, gamma=1.581, delta=0.134, M=-1.139e+003
47 71 -> 89 fr=2674 (0.3658), cf=0.815, gamma=1.581, delta=0.134, M=-1.139e+003
21 63 -> 90 fr=2974 (0.4068), cf=0.722, gamma=1.490, delta=0.134, M=-1.137e+003
21 63 -> ~89 fr=2974 (0.4068), cf=0.722, gamma=1.490, delta=0.134, M=-1.137e+003
71 -> ~90 fr=2813 (0.3848), cf=0.793, gamma=1.538, delta=0.135, M=-1.126e+003
71 -> 89 fr=2813 (0.3848), cf=0.793, gamma=1.538, delta=0.135, M=-1.126e+003
21 25 -> 90 fr=2964 (0.4054), cf=0.721, gamma=1.489, delta=0.133, M=-1.123e+003
21 25 -> ~89 fr=2964 (0.4054), cf=0.721, gamma=1.489, delta=0.133, M=-1.123e+003
75 -> 90 fr=1493 (0.2042), cf=0.971, gamma=2.005, delta=0.102, M=-1.112e+003
40 41 47 51 -> ~90 fr=1633 (0.2234), cf=0.962, gamma=1.866, delta=0.104, M=-1.062e+003
40 41 47 51 -> 89 fr=1633 (0.2234), cf=0.962, gamma=1.866, delta=0.104, M=-1.062e+003
26 39 41 66 -> 90 fr=1265 (0.1730), cf=1.000, gamma=2.064, delta=0.089, M=-1.059e+003
26 39 41 66 -> ~89 fr=1265 (0.1730), cf=1.000, gamma=2.064, delta=0.089, M=-1.059e+003
70 -> 90 fr=1208 (0.1652), cf=1.000, gamma=2.064, delta=0.085, M=-1.004e+003
20 51 -> ~90 fr=2284 (0.3124), cf=0.841, gamma=1.631, delta=0.121, M=-9.848e+002
20 51 -> 89 fr=2284 (0.3124), cf=0.841, gamma=1.631, delta=0.121, M=-9.848e+002
39 41 66 -> 90 fr=1354 (0.1852), cf=0.971, gamma=2.003, delta=0.093, M=-9.838e+002
39 41 66 -> ~89 fr=1354 (0.1852), cf=0.971, gamma=2.003, delta=0.093, M=-9.838e+002
20 -> 89 fr=2454 (0.3357), cf=0.814, gamma=1.579, delta=0.123, M=-9.742e+002
21 -> ~89 fr=2982 (0.4079), cf=0.694, gamma=1.432, delta=0.123, M=-9.742e+002
26 39 41 -> 90 fr=1329 (0.1818), cf=0.971, gamma=2.004, delta=0.091, M=-9.628e+002
26 39 41 -> ~89 fr=1329 (0.1818), cf=0.971, gamma=2.004, delta=0.091, M=-9.628e+002
39 41 -> 90 fr=1418 (0.1940), cf=0.946, gamma=1.953, delta=0.095, M=-9.363e+002
39 41 -> ~89 fr=1418 (0.1940), cf=0.946, gamma=1.953, delta=0.095, M=-9.363e+002
47 -> ~90 fr=3255 (0.4452), cf=0.701, gamma=1.359, delta=0.118, M=-9.251e+002
26 68 -> 90 fr=1592 (0.2178), cf=0.905, gamma=1.868, delta=0.101, M=-9.164e+002
26 68 -> ~89 fr=1592 (0.2178), cf=0.905, gamma=1.868, delta=0.101, M=-9.164e+002
26 41 51 88 -> ~90 fr=1546 (0.2115), cf=0.943, gamma=1.830, delta=0.096, M=-9.119e+002
26 41 51 88 -> 89 fr=1546 (0.2115), cf=0.943, gamma=1.830, delta=0.096, M=-9.119e+002
25 26 80 -> 90 fr=2539 (0.3473), cf=0.745, gamma=1.539, delta=0.122, M=-9.107e+002
26 63 80 -> 90 fr=2539 (0.3473), cf=0.745, gamma=1.539, delta=0.122, M=-9.107e+002
25 26 80 -> ~89 fr=2539 (0.3473), cf=0.745, gamma=1.539, delta=0.122, M=-9.107e+002
26 63 80 -> ~89 fr=2539 (0.3473), cf=0.745, gamma=1.539, delta=0.122, M=-9.107e+002
40 41 51 -> ~90 fr=1633 (0.2234), cf=0.926, gamma=1.797, delta=0.099, M=-9.056e+002
40 41 51 -> 89 fr=1633 (0.2234), cf=0.926, gamma=1.797, delta=0.099, M=-9.056e+002
40 73 -> ~90 fr=1177 (0.1610), cf=1.000, gamma=1.940, delta=0.078, M=-8.861e+002
40 73 -> 89 fr=1177 (0.1610), cf=1.000, gamma=1.940, delta=0.078, M=-8.861e+002
26 76 -> 90 fr=1628 (0.2227), cf=0.887, gamma=1.831, delta=0.101, M=-8.770e+002
26 76 -> ~89 fr=1628 (0.2227), cf=0.887, gamma=1.831, delta=0.101, M=-8.770e+002
7 40 -> ~90 fr=1164 (0.1592), cf=1.000, gamma=1.940, delta=0.077, M=-8.749e+002
7 40 -> 89 fr=1164 (0.1592), cf=1.000, gamma=1.940, delta=0.077, M=-8.749e+002
10 26 40 -> 90 fr=1051 (0.1438), cf=1.000, gamma=2.064, delta=0.074, M=-8.563e+002
10 26 40 -> ~89 fr=1051 (0.1438), cf=1.000, gamma=2.064, delta=0.074, M=-8.563e+002
68 76 -> 90 fr=1600 (0.2188), cf=0.885, gamma=1.827, delta=0.099, M=-8.493e+002
68 76 -> ~89 fr=1600 (0.2188), cf=0.885, gamma=1.827, delta=0.099, M=-8.493e+002
40 72 -> ~90 fr=1115 (0.1525), cf=1.000, gamma=1.940, delta=0.074, M=-8.331e+002
40 72 -> 89 fr=1115 (0.1525), cf=1.000, gamma=1.940, delta=0.074, M=-8.331e+002
26 80 -> 90 fr=2539 (0.3473), cf=0.728, gamma=1.502, delta=0.116, M=-8.249e+002
26 80 -> ~89 fr=2539 (0.3473), cf=0.728, gamma=1.502, delta=0.116, M=-8.249e+002
25 80 -> 90 fr=2579 (0.3528), cf=0.722, gamma=1.489, delta=0.116, M=-8.214e+002
63 80 -> 90 fr=2579 (0.3528), cf=0.722, gamma=1.489, delta=0.116, M=-8.214e+002
25 80 -> ~89 fr=2579 (0.3528), cf=0.722, gamma=1.489, delta=0.116, M=-8.214e+002
63 80 -> ~89 fr=2579 (0.3528), cf=0.722, gamma=1.489, delta=0.116, M=-8.214e+002
41 51 88 -> ~90 fr=1633 (0.2234), cf=0.904, gamma=1.753, delta=0.096, M=-8.187e+002
41 51 88 -> 89 fr=1633 (0.2234), cf=0.904, gamma=1.753, delta=0.096, M=-8.187e+002
73 -> 89 fr=1586 (0.2169), cf=0.887, gamma=1.720, delta=0.091, M=-7.289e+002
27 82 -> ~90 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
27 82 -> 89 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
21 60 82 -> ~90 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
21 55 82 -> ~90 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
21 60 82 -> 89 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
21 55 82 -> 89 fr=959 (0.1312), cf=1.000, gamma=1.940, delta=0.064, M=-7.034e+002
40 41 -> ~90 fr=1633 (0.2234), cf=0.864, gamma=1.676, delta=0.090, M=-6.811e+002
40 41 -> 89 fr=1633 (0.2234), cf=0.864, gamma=1.676, delta=0.090, M=-6.811e+002
40 51 88 -> ~90 fr=1633 (0.2234), cf=0.861, gamma=1.670, delta=0.090, M=-6.707e+002
40 51 88 -> 89 fr=1633 (0.2234), cf=0.861, gamma=1.670, delta=0.090, M=-6.707e+002
51 -> ~90 fr=3038 (0.4155), cf=0.684, gamma=1.327, delta=0.102, M=-6.690e+002
26 63 -> 90 fr=3445 (0.4712), cf=0.578, gamma=1.193, delta=0.076, M=-6.614e+002
26 63 -> ~89 fr=3445 (0.4712), cf=0.578, gamma=1.193, delta=0.076, M=-6.614e+002
25 26 66 -> 90 fr=3345 (0.4575), cf=0.592, gamma=1.222, delta=0.083, M=-6.417e+002
25 26 66 -> ~89 fr=3345 (0.4575), cf=0.592, gamma=1.222, delta=0.083, M=-6.417e+002
72 -> 89 fr=1467 (0.2007), cf=0.879, gamma=1.705, delta=0.083, M=-6.368e+002
25 26 -> 90 fr=3427 (0.4687), cf=0.577, gamma=1.191, delta=0.075, M=-6.254e+002
25 26 -> ~89 fr=3427 (0.4687), cf=0.577, gamma=1.191, delta=0.075, M=-6.254e+002
52 66 -> 90 fr=790 (0.1081), cf=1.000, gamma=2.064, delta=0.056, M=-6.236e+002
52 66 -> ~89 fr=790 (0.1081), cf=1.000, gamma=2.064, delta=0.056, M=-6.236e+002
59 76 -> 90 fr=780 (0.1067), cf=1.000, gamma=2.064, delta=0.055, M=-6.150e+002
59 76 -> ~89 fr=780 (0.1067), cf=1.000, gamma=2.064, delta=0.055, M=-6.150e+002
59 68 -> 90 fr=780 (0.1067), cf=1.000, gamma=2.064, delta=0.055, M=-6.150e+002
59 68 -> ~89 fr=780 (0.1067), cf=1.000, gamma=2.064, delta=0.055, M=-6.150e+002
54 76 -> 90 fr=778 (0.1064), cf=1.000, gamma=2.064, delta=0.055, M=-6.133e+002
54 76 -> ~89 fr=778 (0.1064), cf=1.000, gamma=2.064, delta=0.055, M=-6.133e+002
54 68 -> 90 fr=778 (0.1064), cf=1.000, gamma=2.064, delta=0.055, M=-6.133e+002
54 68 -> ~89 fr=778 (0.1064), cf=1.000, gamma=2.064, delta=0.055, M=-6.133e+002
17 40 68 -> 90 fr=773 (0.1057), cf=1.000, gamma=2.064, delta=0.055, M=-6.090e+002
17 66 68 -> 90 fr=773 (0.1057), cf=1.000, gamma=2.064, delta=0.055, M=-6.090e+002
17 40 68 -> ~89 fr=773 (0.1057), cf=1.000, gamma=2.064, delta=0.055, M=-6.090e+002
17 66 68 -> ~89 fr=773 (0.1057), cf=1.000, gamma=2.064, delta=0.055, M=-6.090e+002
9 40 68 -> 90 fr=767 (0.1049), cf=1.000, gamma=2.064, delta=0.054, M=-6.038e+002
9 40 68 -> ~89 fr=767 (0.1049), cf=1.000, gamma=2.064, delta=0.054, M=-6.038e+002
52 -> 90 fr=826 (0.1130), cf=0.983, gamma=2.030, delta=0.057, M=-5.934e+002
21 43 -> ~90 fr=792 (0.1083), cf=1.000, gamma=1.940, delta=0.052, M=-5.699e+002
21 43 -> 89 fr=792 (0.1083), cf=1.000, gamma=1.940, delta=0.052, M=-5.699e+002
27 40 -> ~90 fr=791 (0.1082), cf=1.000, gamma=1.940, delta=0.052, M=-5.691e+002
27 40 -> 89 fr=791 (0.1082), cf=1.000, gamma=1.940, delta=0.052, M=-5.691e+002
58 -> 89 fr=774 (0.1059), cf=1.000, gamma=1.940, delta=0.051, M=-5.558e+002
53 -> 89 fr=766 (0.1048), cf=1.000, gamma=1.940, delta=0.051, M=-5.496e+002
27 55 -> ~90 fr=1087 (0.1487), cf=0.924, gamma=1.793, delta=0.066, M=-5.479e+002
27 63 -> ~90 fr=1087 (0.1487), cf=0.924, gamma=1.793, delta=0.066, M=-5.479e+002
27 55 -> 89 fr=1087 (0.1487), cf=0.924, gamma=1.793, delta=0.066, M=-5.479e+002
27 63 -> 89 fr=1087 (0.1487), cf=0.924, gamma=1.793, delta=0.066, M=-5.479e+002
9 66 68 -> 90 fr=790 (0.1081), cf=0.977, gamma=2.016, delta=0.054, M=-5.464e+002
9 66 68 -> ~89 fr=790 (0.1081), cf=0.977, gamma=2.016, delta=0.054, M=-5.464e+002
40 81 -> ~90 fr=760 (0.1040), cf=1.000, gamma=1.940, delta=0.050, M=-5.449e+002
40 81 -> 89 fr=760 (0.1040), cf=1.000, gamma=1.940, delta=0.050, M=-5.449e+002
27 -> 89 fr=1087 (0.1487), cf=0.918, gamma=1.781, delta=0.065, M=-5.322e+002
26 -> ~89 fr=3445 (0.4712), cf=0.562, gamma=1.161, delta=0.065, M=-5.322e+002
76 -> 90 fr=1644 (0.2249), cf=0.766, gamma=1.581, delta=0.083, M=-5.027e+002
66 85 -> 90 fr=906 (0.1239), cf=0.915, gamma=1.889, delta=0.058, M=-4.855e+002
66 85 -> ~89 fr=906 (0.1239), cf=0.915, gamma=1.889, delta=0.058, M=-4.855e+002
17 68 -> 90 fr=773 (0.1057), cf=0.953, gamma=1.967, delta=0.052, M=-4.793e+002
17 68 -> ~89 fr=773 (0.1057), cf=0.953, gamma=1.967, delta=0.052, M=-4.793e+002
85 -> 90 fr=906 (0.1239), cf=0.885, gamma=1.826, delta=0.056, M=-4.257e+002
60 82 -> ~90 fr=1275 (0.1744), cf=0.823, gamma=1.597, delta=0.065, M=-4.028e+002
55 82 -> ~90 fr=1275 (0.1744), cf=0.823, gamma=1.597, delta=0.065, M=-4.028e+002
60 82 -> 89 fr=1275 (0.1744), cf=0.823, gamma=1.597, delta=0.065, M=-4.028e+002
55 82 -> 89 fr=1275 (0.1744), cf=0.823, gamma=1.597, delta=0.065, M=-4.028e+002
7 60 -> ~90 fr=866 (0.1185), cf=0.909, gamma=1.763, delta=0.051, M=-3.928e+002
7 60 -> 89 fr=866 (0.1185), cf=0.909, gamma=1.763, delta=0.051, M=-3.928e+002
7 55 -> ~90 fr=892 (0.1220), cf=0.896, gamma=1.739, delta=0.052, M=-3.831e+002
7 55 -> 89 fr=892 (0.1220), cf=0.896, gamma=1.739, delta=0.052, M=-3.831e+002
40 88 -> ~90 fr=1633 (0.2234), cf=0.758, gamma=1.471, delta=0.072, M=-3.785e+002
40 88 -> 89 fr=1633 (0.2234), cf=0.758, gamma=1.471, delta=0.072, M=-3.785e+002
9 68 -> 90 fr=790 (0.1081), cf=0.884, gamma=1.824, delta=0.049, M=-3.629e+002
9 68 -> ~89 fr=790 (0.1081), cf=0.884, gamma=1.824, delta=0.049, M=-3.629e+002
26 41 88 -> ~90 fr=1552 (0.2123), cf=0.760, gamma=1.474, delta=0.068, M=-3.557e+002
26 41 88 -> 89 fr=1552 (0.2123), cf=0.760, gamma=1.474, delta=0.068, M=-3.557e+002
31 -> 89 fr=832 (0.1138), cf=0.896, gamma=1.737, delta=0.048, M=-3.527e+002
41 88 -> ~90 fr=1639 (0.2242), cf=0.741, gamma=1.438, delta=0.068, M=-3.380e+002
41 88 -> 89 fr=1639 (0.2242), cf=0.741, gamma=1.438, delta=0.068, M=-3.380e+002
14 40 -> ~90 fr=737 (0.1008), cf=0.900, gamma=1.746, delta=0.043, M=-3.147e+002
14 40 -> 89 fr=737 (0.1008), cf=0.900, gamma=1.746, delta=0.043, M=-3.147e+002
40 68 -> 90 fr=1561 (0.2135), cf=0.689, gamma=1.423, delta=0.063, M=-2.835e+002
40 68 -> ~89 fr=1561 (0.2135), cf=0.689, gamma=1.423, delta=0.063, M=-2.835e+002
66 68 -> 90 fr=1600 (0.2188), cf=0.682, gamma=1.408, delta=0.063, M=-2.783e+002
66 68 -> ~89 fr=1600 (0.2188), cf=0.682, gamma=1.408, delta=0.063, M=-2.783e+002
25 39 66 -> 90 fr=1624 (0.2221), cf=0.670, gamma=1.382, delta=0.061, M=-2.561e+002
25 39 66 -> ~89 fr=1624 (0.2221), cf=0.670, gamma=1.382, delta=0.061, M=-2.561e+002
39 63 66 -> 90 fr=1616 (0.2210), cf=0.669, gamma=1.380, delta=0.061, M=-2.518e+002
39 63 66 -> ~89 fr=1616 (0.2210), cf=0.669, gamma=1.380, delta=0.061, M=-2.518e+002
25 66 -> 90 fr=3442 (0.4708), cf=0.523, gamma=1.080, delta=0.035, M=-2.214e+002
