1 15 19 28 35 -> 42 fr=4349 (0.8830), cf=0.945, gamma=1.054, delta=0.045, M=-4.967e+002
15 19 28 35 -> 42 fr=4349 (0.8830), cf=0.945, gamma=1.054, delta=0.045, M=-4.913e+002
1 10 15 19 28 31 -> 42 fr=4349 (0.8830), cf=0.944, gamma=1.053, delta=0.044, M=-4.834e+002
1 15 19 28 31 -> 42 fr=4349 (0.8830), cf=0.944, gamma=1.053, delta=0.044, M=-4.807e+002
10 15 19 28 31 -> 42 fr=4349 (0.8830), cf=0.944, gamma=1.053, delta=0.044, M=-4.781e+002
15 19 28 31 -> 42 fr=4349 (0.8830), cf=0.944, gamma=1.052, delta=0.044, M=-4.754e+002
1 10 15 19 28 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.052, delta=0.044, M=-4.746e+002
1 15 19 35 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.051, delta=0.043, M=-4.698e+002
10 15 19 28 38 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.051, delta=0.043, M=-4.667e+002
1 15 19 28 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.051, delta=0.043, M=-4.641e+002
10 15 19 28 -> 42 fr=4352 (0.8837), cf=0.943, gamma=1.051, delta=0.043, M=-4.641e+002
10 15 19 35 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.051, delta=0.043, M=-4.619e+002
15 19 35 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.593e+002
1 10 15 19 31 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.567e+002
1 15 19 31 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.540e+002
15 19 28 38 -> 42 fr=4352 (0.8837), cf=0.942, gamma=1.050, delta=0.042, M=-4.537e+002
15 19 28 -> 42 fr=4352 (0.8837), cf=0.942, gamma=1.050, delta=0.042, M=-4.511e+002
10 15 19 31 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.049, delta=0.042, M=-4.488e+002
1 10 15 19 -> 42 fr=4357 (0.8847), cf=0.941, gamma=1.049, delta=0.041, M=-4.482e+002
15 19 31 38 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.049, delta=0.041, M=-4.437e+002
15 19 31 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.049, delta=0.041, M=-4.411e+002
1 15 19 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.041, M=-4.378e+002
10 15 19 38 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.041, M=-4.378e+002
10 15 19 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.040, M=-4.352e+002
15 19 38 -> 42 fr=4357 (0.8847), cf=0.939, gamma=1.047, delta=0.040, M=-4.224e+002
15 19 -> 42 fr=4357 (0.8847), cf=0.938, gamma=1.046, delta=0.039, M=-4.122e+002
1 19 28 35 -> 42 fr=4359 (0.8851), cf=0.937, gamma=1.045, delta=0.038, M=-4.025e+002
19 28 35 -> 42 fr=4359 (0.8851), cf=0.937, gamma=1.044, delta=0.038, M=-3.975e+002
1 10 19 28 31 -> 42 fr=4359 (0.8851), cf=0.936, gamma=1.044, delta=0.037, M=-3.899e+002
1 19 28 31 -> 42 fr=4359 (0.8851), cf=0.936, gamma=1.043, delta=0.037, M=-3.874e+002
10 19 28 31 -> 42 fr=4359 (0.8851), cf=0.936, gamma=1.043, delta=0.037, M=-3.849e+002
19 28 31 -> 42 fr=4359 (0.8851), cf=0.935, gamma=1.043, delta=0.036, M=-3.824e+002
1 10 19 28 -> 42 fr=4362 (0.8857), cf=0.935, gamma=1.043, delta=0.036, M=-3.818e+002
1 19 35 -> 42 fr=4364 (0.8861), cf=0.934, gamma=1.042, delta=0.036, M=-3.773e+002
10 19 28 38 -> 42 fr=4362 (0.8857), cf=0.934, gamma=1.042, delta=0.036, M=-3.744e+002
1 19 28 -> 42 fr=4362 (0.8857), cf=0.934, gamma=1.042, delta=0.035, M=-3.719e+002
10 19 28 -> 42 fr=4362 (0.8857), cf=0.934, gamma=1.042, delta=0.035, M=-3.719e+002
10 19 35 -> 42 fr=4364 (0.8861), cf=0.934, gamma=1.041, delta=0.035, M=-3.699e+002
19 35 -> 42 fr=4364 (0.8861), cf=0.934, gamma=1.041, delta=0.035, M=-3.674e+002
1 10 19 31 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.041, delta=0.035, M=-3.649e+002
1 19 31 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.041, delta=0.035, M=-3.625e+002
19 28 38 -> 42 fr=4362 (0.8857), cf=0.933, gamma=1.041, delta=0.035, M=-3.620e+002
19 28 -> 42 fr=4362 (0.8857), cf=0.933, gamma=1.041, delta=0.035, M=-3.595e+002
10 19 31 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.040, delta=0.034, M=-3.575e+002
1 10 19 -> 42 fr=4367 (0.8867), cf=0.933, gamma=1.040, delta=0.034, M=-3.571e+002
19 31 38 -> 42 fr=4364 (0.8861), cf=0.932, gamma=1.040, delta=0.034, M=-3.526e+002
19 31 -> 42 fr=4364 (0.8861), cf=0.932, gamma=1.040, delta=0.034, M=-3.502e+002
1 19 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.039, delta=0.033, M=-3.472e+002
10 19 38 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.039, delta=0.033, M=-3.472e+002
10 19 -> 42 fr=4367 (0.8867), cf=0.932, gamma=1.039, delta=0.033, M=-3.448e+002
19 38 -> 42 fr=4367 (0.8867), cf=0.931, gamma=1.038, delta=0.032, M=-3.326e+002
15 19 -> ~43 fr=4502 (0.9141), cf=0.969, gamma=1.032, delta=0.028, M=-2.964e+002
6 19 28 -> ~43 fr=4402 (0.8938), cf=0.967, gamma=1.029, delta=0.025, M=-2.150e+002
6 19 -> ~43 fr=4421 (0.8977), cf=0.966, gamma=1.028, delta=0.025, M=-2.142e+002
1 15 28 35 -> 42 fr=4399 (0.8932), cf=0.917, gamma=1.022, delta=0.019, M=-2.109e+002
15 28 35 -> 42 fr=4399 (0.8932), cf=0.916, gamma=1.022, delta=0.019, M=-2.063e+002
1 10 15 28 31 -> 42 fr=4399 (0.8932), cf=0.916, gamma=1.021, delta=0.019, M=-2.016e+002
1 15 28 31 -> 42 fr=4399 (0.8932), cf=0.916, gamma=1.021, delta=0.019, M=-1.993e+002
10 15 28 31 -> 42 fr=4399 (0.8932), cf=0.916, gamma=1.021, delta=0.018, M=-1.970e+002
15 28 31 -> 42 fr=4399 (0.8932), cf=0.916, gamma=1.021, delta=0.018, M=-1.947e+002
1 10 15 28 -> 42 fr=4402 (0.8938), cf=0.915, gamma=1.020, delta=0.018, M=-1.933e+002
1 15 35 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.020, delta=0.017, M=-1.902e+002
19 -> ~43 fr=4512 (0.9161), cf=0.961, gamma=1.022, delta=0.020, M=-1.897e+002
1 15 28 -> 42 fr=4402 (0.8938), cf=0.914, gamma=1.019, delta=0.017, M=-1.840e+002
10 15 28 38 -> 42 fr=4402 (0.8938), cf=0.914, gamma=1.019, delta=0.017, M=-1.840e+002
10 15 35 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.019, delta=0.017, M=-1.832e+002
10 15 28 -> 42 fr=4402 (0.8938), cf=0.914, gamma=1.019, delta=0.017, M=-1.817e+002
15 35 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.019, delta=0.016, M=-1.809e+002
1 10 15 31 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.019, delta=0.016, M=-1.809e+002
15 -> ~43 fr=4617 (0.9375), cf=0.953, gamma=1.015, delta=0.013, M=-1.799e+002
1 15 31 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.019, delta=0.016, M=-1.786e+002
10 15 31 -> 42 fr=4404 (0.8942), cf=0.913, gamma=1.018, delta=0.016, M=-1.740e+002
1 10 15 -> 42 fr=4407 (0.8948), cf=0.913, gamma=1.018, delta=0.015, M=-1.731e+002
15 28 38 -> 42 fr=4402 (0.8938), cf=0.913, gamma=1.018, delta=0.016, M=-1.725e+002
15 28 -> 42 fr=4402 (0.8938), cf=0.913, gamma=1.018, delta=0.016, M=-1.702e+002
15 31 38 -> 42 fr=4404 (0.8942), cf=0.913, gamma=1.018, delta=0.016, M=-1.694e+002
15 31 -> 42 fr=4404 (0.8942), cf=0.913, gamma=1.018, delta=0.015, M=-1.671e+002
1 19 -> ~45 fr=4667 (0.9476), cf=0.996, gamma=1.013, delta=0.013, M=-1.659e+002
1 15 -> 42 fr=4407 (0.8948), cf=0.912, gamma=1.017, delta=0.015, M=-1.638e+002
10 15 38 -> 42 fr=4407 (0.8948), cf=0.912, gamma=1.017, delta=0.015, M=-1.615e+002
10 15 -> 42 fr=4407 (0.8948), cf=0.911, gamma=1.016, delta=0.014, M=-1.592e+002
19 -> ~45 fr=4674 (0.9490), cf=0.995, gamma=1.013, delta=0.012, M=-1.558e+002
15 38 -> 42 fr=4407 (0.8948), cf=0.911, gamma=1.015, delta=0.013, M=-1.477e+002
1 28 35 -> 42 fr=4409 (0.8952), cf=0.904, gamma=1.008, delta=0.007, M=-6.900e+001
28 35 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.472e+001
1 10 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.045e+001
1 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-5.833e+001
10 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.006, delta=0.006, M=-5.622e+001
28 31 -> 42 fr=4409 (0.8952), cf=0.902, gamma=1.006, delta=0.005, M=-5.412e+001
1 10 28 -> 42 fr=4412 (0.8958), cf=0.902, gamma=1.006, delta=0.005, M=-5.241e+001
28 35 -> ~46 fr=4800 (0.9746), cf=0.983, gamma=1.004, delta=0.004, M=-5.190e+001
31 -> ~44 fr=4895 (0.9939), cf=0.998, gamma=1.002, delta=0.002, M=-5.154e+001
1 35 -> 42 fr=4414 (0.8962), cf=0.901, gamma=1.005, delta=0.004, M=-4.953e+001
35 -> ~44 fr=4889 (0.9927), cf=0.998, gamma=1.002, delta=0.002, M=-4.719e+001
1 6 28 -> 42 fr=4324 (0.8780), cf=0.906, gamma=1.010, delta=0.009, M=-4.587e+001
1 28 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.004, M=-4.383e+001
10 28 38 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.004, M=-4.383e+001
10 35 -> 42 fr=4414 (0.8962), cf=0.901, gamma=1.004, delta=0.004, M=-4.295e+001
10 28 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.004, M=-4.170e+001
1 10 31 -> 42 fr=4414 (0.8962), cf=0.901, gamma=1.004, delta=0.004, M=-4.077e+001
6 28 38 -> 42 fr=4324 (0.8780), cf=0.905, gamma=1.009, delta=0.008, M=-4.032e+001
6 28 -> 42 fr=4324 (0.8780), cf=0.905, gamma=1.009, delta=0.008, M=-3.897e+001
1 10 28 -> ~46 fr=4806 (0.9758), cf=0.982, gamma=1.003, delta=0.003, M=-3.891e+001
1 31 -> 42 fr=4414 (0.8962), cf=0.900, gamma=1.004, delta=0.004, M=-3.859e+001
10 28 -> ~46 fr=4810 (0.9766), cf=0.982, gamma=1.003, delta=0.003, M=-3.807e+001
28 -> ~46 fr=4814 (0.9775), cf=0.982, gamma=1.003, delta=0.003, M=-3.754e+001
6 10 31 -> 42 fr=4326 (0.8784), cf=0.904, gamma=1.008, delta=0.007, M=-3.434e+001
10 31 -> 42 fr=4414 (0.8962), cf=0.900, gamma=1.004, delta=0.003, M=-3.427e+001
1 10 -> 42 fr=4417 (0.8969), cf=0.900, gamma=1.003, delta=0.003, M=-3.426e+001
28 38 -> 42 fr=4412 (0.8958), cf=0.900, gamma=1.004, delta=0.003, M=-3.331e+001
6 31 38 -> 42 fr=4326 (0.8784), cf=0.904, gamma=1.008, delta=0.007, M=-3.176e+001
6 31 -> 42 fr=4326 (0.8784), cf=0.904, gamma=1.007, delta=0.006, M=-3.050e+001
1 6 -> 42 fr=4329 (0.8790), cf=0.903, gamma=1.007, delta=0.006, M=-3.016e+001
6 28 -> ~43 fr=4517 (0.9172), cf=0.945, gamma=1.006, delta=0.006, M=-3.002e+001
31 38 -> 42 fr=4414 (0.8962), cf=0.900, gamma=1.003, delta=0.003, M=-2.998e+001
6 -> ~43 fr=4536 (0.9210), cf=0.945, gamma=1.005, delta=0.005, M=-2.834e+001
10 35 -> ~46 fr=4810 (0.9766), cf=0.982, gamma=1.002, delta=0.002, M=-2.824e+001
1 35 -> ~46 fr=4807 (0.9760), cf=0.982, gamma=1.002, delta=0.002, M=-2.672e+001
6 10 38 -> 42 fr=4329 (0.8790), cf=0.903, gamma=1.007, delta=0.006, M=-2.644e+001
6 10 -> 42 fr=4329 (0.8790), cf=0.903, gamma=1.006, delta=0.006, M=-2.524e+001
35 -> ~46 fr=4810 (0.9766), cf=0.981, gamma=1.002, delta=0.002, M=-2.507e+001
1 10 -> ~44 fr=4893 (0.9935), cf=0.997, gamma=1.001, delta=0.001, M=-2.442e+001
6 38 -> 42 fr=4329 (0.8790), cf=0.902, gamma=1.006, delta=0.005, M=-2.288e+001
10 38 -> 42 fr=4417 (0.8969), cf=0.899, gamma=1.002, delta=0.002, M=-2.280e+001
10 38 -> ~44 fr=4897 (0.9943), cf=0.996, gamma=1.001, delta=0.001, M=-2.178e+001
10 -> ~44 fr=4897 (0.9943), cf=0.996, gamma=1.001, delta=0.001, M=-1.692e+001
1 10 -> ~46 fr=4815 (0.9777), cf=0.981, gamma=1.001, delta=0.001, M=-1.510e+001
10 -> ~46 fr=4820 (0.9787), cf=0.980, gamma=1.001, delta=0.001, M=-1.476e+001
1 -> ~46 fr=4818 (0.9783), cf=0.980, gamma=1.001, delta=0.001, M=-1.350e+001
1 -> ~44 fr=4894 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-1.115e+001
38 -> ~46 fr=4823 (0.9793), cf=0.980, gamma=1.001, delta=0.001, M=-1.032e+001
1 -> ~45 fr=4831 (0.9809), cf=0.983, gamma=1.001, delta=0.001, M=-7.173e+000
6 38 -> ~44 fr=4779 (0.9704), cf=0.996, gamma=1.001, delta=0.001, M=-5.971e+000
