10 76 -> 84 fr=1011 (0.1022), cf=0.629, gamma=6.003, delta=0.085, M=-2.089e+003
5 -> ~87 fr=4778 (0.4830), cf=0.997, gamma=1.112, delta=0.049, M=-6.516e+002
76 -> ~80 fr=4297 (0.4344), cf=0.998, gamma=1.115, delta=0.045, M=-5.937e+002
1 -> ~86 fr=4386 (0.4434), cf=0.999, gamma=1.107, delta=0.043, M=-5.782e+002
76 -> ~88 fr=4304 (0.4351), cf=1.000, gamma=1.106, delta=0.042, M=-5.765e+002
71 -> ~82 fr=3945 (0.3988), cf=1.000, gamma=1.115, delta=0.041, M=-5.580e+002
45 -> ~82 fr=4048 (0.4092), cf=0.999, gamma=1.114, delta=0.042, M=-5.496e+002
69 -> ~82 fr=3643 (0.3683), cf=1.000, gamma=1.115, delta=0.038, M=-4.963e+002
69 -> ~81 fr=3636 (0.3676), cf=0.998, gamma=1.112, delta=0.037, M=-4.599e+002
69 -> ~83 fr=3644 (0.3684), cf=1.000, gamma=1.105, delta=0.035, M=-4.587e+002
50 -> ~83 fr=4845 (0.4898), cf=0.985, gamma=1.088, delta=0.039, M=-4.187e+002
20 -> ~80 fr=4142 (0.4187), cf=0.987, gamma=1.103, delta=0.039, M=-4.157e+002
20 -> ~84 fr=4141 (0.4186), cf=0.987, gamma=1.103, delta=0.039, M=-4.129e+002
66 -> ~84 fr=3043 (0.3076), cf=1.000, gamma=1.117, delta=0.032, M=-4.072e+002
66 -> ~80 fr=3042 (0.3075), cf=1.000, gamma=1.117, delta=0.032, M=-4.009e+002
25 -> ~84 fr=2988 (0.3021), cf=1.000, gamma=1.117, delta=0.032, M=-3.921e+002
59 -> ~82 fr=2977 (0.3010), cf=1.000, gamma=1.115, delta=0.031, M=-3.903e+002
45 -> ~86 fr=4013 (0.4057), cf=0.990, gamma=1.097, delta=0.036, M=-3.885e+002
10 -> ~82 fr=3962 (0.4005), cf=0.988, gamma=1.101, delta=0.037, M=-3.867e+002
41 -> ~83 fr=3606 (0.3645), cf=0.995, gamma=1.099, delta=0.033, M=-3.792e+002
25 -> ~80 fr=2983 (0.3016), cf=0.998, gamma=1.115, delta=0.031, M=-3.674e+002
50 -> ~89 fr=4815 (0.4868), cf=0.978, gamma=1.084, delta=0.038, M=-3.648e+002
25 -> ~86 fr=2988 (0.3021), cf=1.000, gamma=1.108, delta=0.029, M=-3.631e+002
59 -> ~86 fr=2976 (0.3008), cf=1.000, gamma=1.108, delta=0.029, M=-3.613e+002
59 -> ~83 fr=2977 (0.3010), cf=1.000, gamma=1.105, delta=0.029, M=-3.562e+002
35 -> ~86 fr=2890 (0.2922), cf=1.000, gamma=1.108, delta=0.029, M=-3.545e+002
66 -> ~87 fr=3031 (0.3064), cf=0.996, gamma=1.111, delta=0.031, M=-3.468e+002
41 -> ~80 fr=3579 (0.3618), cf=0.988, gamma=1.103, delta=0.034, M=-3.443e+002
71 -> ~87 fr=3882 (0.3924), cf=0.984, gamma=1.098, delta=0.035, M=-3.408e+002
74 -> ~86 fr=2823 (0.2854), cf=1.000, gamma=1.108, delta=0.028, M=-3.387e+002
48 -> ~86 fr=2929 (0.2961), cf=0.998, gamma=1.106, delta=0.028, M=-3.351e+002
74 -> ~80 fr=2816 (0.2847), cf=0.997, gamma=1.114, delta=0.029, M=-3.331e+002
74 -> ~83 fr=2823 (0.2854), cf=1.000, gamma=1.104, delta=0.027, M=-3.281e+002
76 -> ~86 fr=4225 (0.4271), cf=0.981, gamma=1.088, delta=0.034, M=-3.255e+002
49 -> ~86 fr=2679 (0.2708), cf=1.000, gamma=1.108, delta=0.026, M=-3.237e+002
71 -> ~84 fr=3872 (0.3914), cf=0.981, gamma=1.096, delta=0.034, M=-3.230e+002
