5 -> ~87 fr=4761 (0.4813), cf=0.996, gamma=1.110, delta=0.048, M=-6.372e+002
76 -> ~80 fr=4314 (0.4361), cf=0.998, gamma=1.114, delta=0.045, M=-5.951e+002
76 -> ~88 fr=4320 (0.4367), cf=1.000, gamma=1.108, delta=0.043, M=-5.881e+002
71 -> ~82 fr=3951 (0.3994), cf=1.000, gamma=1.117, delta=0.042, M=-5.674e+002
1 -> ~86 fr=4397 (0.4445), cf=0.999, gamma=1.103, delta=0.042, M=-5.580e+002
45 -> ~82 fr=4044 (0.4088), cf=0.999, gamma=1.115, delta=0.042, M=-5.525e+002
69 -> ~82 fr=3642 (0.3682), cf=1.000, gamma=1.117, delta=0.038, M=-5.035e+002
69 -> ~83 fr=3643 (0.3683), cf=1.000, gamma=1.108, delta=0.036, M=-4.727e+002
69 -> ~81 fr=3633 (0.3673), cf=0.997, gamma=1.115, delta=0.038, M=-4.630e+002
50 -> ~83 fr=4884 (0.4937), cf=0.984, gamma=1.091, delta=0.041, M=-4.398e+002
20 -> ~80 fr=4198 (0.4244), cf=0.988, gamma=1.102, delta=0.039, M=-4.250e+002
20 -> ~84 fr=4194 (0.4240), cf=0.987, gamma=1.100, delta=0.038, M=-4.063e+002
66 -> ~84 fr=3083 (0.3117), cf=1.000, gamma=1.114, delta=0.032, M=-4.040e+002
66 -> ~80 fr=3082 (0.3116), cf=1.000, gamma=1.115, delta=0.032, M=-4.032e+002
25 -> ~84 fr=3055 (0.3088), cf=1.000, gamma=1.114, delta=0.032, M=-3.934e+002
59 -> ~82 fr=2944 (0.2976), cf=1.000, gamma=1.117, delta=0.031, M=-3.907e+002
41 -> ~83 fr=3593 (0.3632), cf=0.995, gamma=1.102, delta=0.034, M=-3.838e+002
50 -> ~89 fr=4866 (0.4919), cf=0.981, gamma=1.084, delta=0.038, M=-3.813e+002
45 -> ~86 fr=4012 (0.4056), cf=0.991, gamma=1.095, delta=0.035, M=-3.795e+002
10 -> ~82 fr=3897 (0.3940), cf=0.987, gamma=1.102, delta=0.037, M=-3.781e+002
25 -> ~80 fr=3049 (0.3082), cf=0.998, gamma=1.113, delta=0.031, M=-3.696e+002
25 -> ~86 fr=3055 (0.3088), cf=1.000, gamma=1.105, delta=0.029, M=-3.624e+002
59 -> ~83 fr=2944 (0.2976), cf=1.000, gamma=1.108, delta=0.029, M=-3.622e+002
66 -> ~87 fr=3072 (0.3106), cf=0.996, gamma=1.110, delta=0.031, M=-3.532e+002
35 -> ~86 fr=2927 (0.2959), cf=1.000, gamma=1.105, delta=0.028, M=-3.497e+002
59 -> ~86 fr=2943 (0.2975), cf=1.000, gamma=1.105, delta=0.028, M=-3.460e+002
74 -> ~83 fr=2846 (0.2877), cf=1.000, gamma=1.108, delta=0.028, M=-3.417e+002
71 -> ~87 fr=3888 (0.3930), cf=0.984, gamma=1.097, delta=0.035, M=-3.372e+002
74 -> ~80 fr=2839 (0.2870), cf=0.997, gamma=1.113, delta=0.029, M=-3.328e+002
41 -> ~80 fr=3566 (0.3605), cf=0.987, gamma=1.102, delta=0.033, M=-3.325e+002
74 -> ~86 fr=2846 (0.2877), cf=1.000, gamma=1.104, delta=0.027, M=-3.321e+002
56 -> ~84 fr=2944 (0.2976), cf=0.996, gamma=1.110, delta=0.029, M=-3.291e+002
48 -> ~86 fr=2924 (0.2956), cf=0.998, gamma=1.103, delta=0.028, M=-3.242e+002
71 -> ~84 fr=3880 (0.3922), cf=0.982, gamma=1.094, delta=0.034, M=-3.170e+002
49 -> ~86 fr=2671 (0.2700), cf=1.000, gamma=1.105, delta=0.026, M=-3.134e+002
79 -> ~81 fr=2411 (0.2437), cf=1.000, gamma=1.118, delta=0.026, M=-3.104e+002
54 -> ~82 fr=2419 (0.2445), cf=1.000, gamma=1.117, delta=0.026, M=-3.093e+002
6 -> ~84 fr=2633 (0.2662), cf=0.998, gamma=1.112, delta=0.027, M=-3.092e+002
50 -> ~80 fr=4806 (0.4858), cf=0.969, gamma=1.081, delta=0.036, M=-3.084e+002
79 -> ~82 fr=2411 (0.2437), cf=1.000, gamma=1.117, delta=0.026, M=-3.081e+002
76 -> ~86 fr=4238 (0.4284), cf=0.981, gamma=1.084, delta=0.033, M=-3.067e+002
49 -> ~82 fr=2662 (0.2691), cf=0.997, gamma=1.113, delta=0.027, M=-3.055e+002
41 -> ~84 fr=3557 (0.3596), cf=0.985, gamma=1.097, delta=0.032, M=-3.035e+002
79 -> ~84 fr=2411 (0.2437), cf=1.000, gamma=1.114, delta=0.025, M=-3.011e+002
26 -> ~81 fr=2383 (0.2409), cf=1.000, gamma=1.117, delta=0.025, M=-3.004e+002
66 -> ~86 fr=3065 (0.3098), cf=0.994, gamma=1.098, delta=0.028, M=-2.976e+002
53 -> ~82 fr=2329 (0.2354), cf=1.000, gamma=1.117, delta=0.025, M=-2.960e+002
10 -> ~81 fr=3861 (0.3903), cf=0.978, gamma=1.093, delta=0.033, M=-2.952e+002
20 66 -> ~88 fr=2438 (0.2465), cf=1.000, gamma=1.108, delta=0.024, M=-2.900e+002
79 -> ~83 fr=2411 (0.2437), cf=1.000, gamma=1.108, delta=0.024, M=-2.857e+002
46 -> ~84 fr=2291 (0.2316), cf=1.000, gamma=1.114, delta=0.024, M=-2.838e+002
26 -> ~82 fr=2380 (0.2406), cf=0.998, gamma=1.115, delta=0.025, M=-2.835e+002
26 -> ~87 fr=2380 (0.2406), cf=0.998, gamma=1.112, delta=0.024, M=-2.773e+002
26 -> ~83 fr=2383 (0.2409), cf=1.000, gamma=1.108, delta=0.023, M=-2.761e+002
30 -> ~84 fr=2219 (0.2243), cf=1.000, gamma=1.114, delta=0.023, M=-2.736e+002
5 -> ~81 fr=4612 (0.4662), cf=0.965, gamma=1.079, delta=0.034, M=-2.707e+002
46 -> ~83 fr=2291 (0.2316), cf=1.000, gamma=1.108, delta=0.023, M=-2.693e+002
74 -> ~89 fr=2829 (0.2860), cf=0.994, gamma=1.099, delta=0.026, M=-2.671e+002
1 -> ~89 fr=4294 (0.4341), cf=0.975, gamma=1.078, delta=0.031, M=-2.671e+002
31 -> ~87 fr=2279 (0.2304), cf=0.998, gamma=1.112, delta=0.023, M=-2.630e+002
78 -> ~84 fr=2143 (0.2166), cf=1.000, gamma=1.114, delta=0.022, M=-2.629e+002
22 -> ~83 fr=2436 (0.2463), cf=0.998, gamma=1.105, delta=0.023, M=-2.612e+002
50 74 -> ~84 fr=2659 (0.2688), cf=0.992, gamma=1.105, delta=0.026, M=-2.590e+002
