1 5 23 27 -> ~38 fr=349 (0.5051), cf=0.827, gamma=1.259, delta=0.104, M=-7.239e+001
1 5 23 27 -> 37 fr=349 (0.5051), cf=0.827, gamma=1.259, delta=0.104, M=-7.239e+001
1 5 9 19 27 -> ~38 fr=345 (0.4993), cf=0.825, gamma=1.256, delta=0.102, M=-6.944e+001
1 5 9 19 27 -> 37 fr=345 (0.4993), cf=0.825, gamma=1.256, delta=0.102, M=-6.944e+001
5 23 27 -> ~38 fr=377 (0.5456), cf=0.800, gamma=1.218, delta=0.098, M=-6.883e+001
5 23 27 -> 37 fr=377 (0.5456), cf=0.800, gamma=1.218, delta=0.098, M=-6.883e+001
1 5 9 27 -> ~38 fr=347 (0.5022), cf=0.822, gamma=1.252, delta=0.101, M=-6.844e+001
1 5 9 27 -> 37 fr=347 (0.5022), cf=0.822, gamma=1.252, delta=0.101, M=-6.844e+001
1 5 19 27 -> ~38 fr=353 (0.5109), cf=0.817, gamma=1.244, delta=0.100, M=-6.799e+001
1 5 19 27 -> 37 fr=353 (0.5109), cf=0.817, gamma=1.244, delta=0.100, M=-6.799e+001
1 5 23 -> ~38 fr=368 (0.5326), cf=0.805, gamma=1.226, delta=0.098, M=-6.749e+001
1 5 23 -> 37 fr=368 (0.5326), cf=0.805, gamma=1.226, delta=0.098, M=-6.749e+001
1 5 27 -> ~38 fr=355 (0.5137), cf=0.814, gamma=1.239, delta=0.099, M=-6.707e+001
1 5 27 -> 37 fr=355 (0.5137), cf=0.814, gamma=1.239, delta=0.099, M=-6.707e+001
1 5 9 19 -> ~38 fr=365 (0.5282), cf=0.806, gamma=1.226, delta=0.097, M=-6.634e+001
1 5 9 19 -> 37 fr=365 (0.5282), cf=0.806, gamma=1.226, delta=0.097, M=-6.634e+001
1 5 9 -> ~38 fr=367 (0.5311), cf=0.803, gamma=1.222, delta=0.097, M=-6.554e+001
1 5 9 -> 37 fr=367 (0.5311), cf=0.803, gamma=1.222, delta=0.097, M=-6.554e+001
5 23 -> ~38 fr=397 (0.5745), cf=0.780, gamma=1.187, delta=0.091, M=-6.528e+001
5 23 -> 37 fr=397 (0.5745), cf=0.780, gamma=1.187, delta=0.091, M=-6.528e+001
1 5 19 -> ~38 fr=374 (0.5412), cf=0.797, gamma=1.214, delta=0.095, M=-6.524e+001
1 5 19 -> 37 fr=374 (0.5412), cf=0.797, gamma=1.214, delta=0.095, M=-6.524e+001
1 5 -> ~38 fr=376 (0.5441), cf=0.795, gamma=1.210, delta=0.094, M=-6.454e+001
1 5 -> 37 fr=376 (0.5441), cf=0.795, gamma=1.210, delta=0.094, M=-6.454e+001
5 27 -> ~38 fr=384 (0.5557), cf=0.787, gamma=1.198, delta=0.092, M=-6.309e+001
5 27 -> 37 fr=384 (0.5557), cf=0.787, gamma=1.198, delta=0.092, M=-6.309e+001
5 -> ~38 fr=406 (0.5876), cf=0.767, gamma=1.168, delta=0.085, M=-6.128e+001
8 -> 38 fr=92 (0.1331), cf=0.767, gamma=2.235, delta=0.074, M=-5.774e+001
1 9 19 23 27 -> ~38 fr=369 (0.5340), cf=0.731, gamma=1.112, delta=0.054, M=-2.413e+001
1 9 19 23 27 -> 37 fr=369 (0.5340), cf=0.731, gamma=1.112, delta=0.054, M=-2.413e+001
1 19 23 27 -> ~38 fr=377 (0.5456), cf=0.726, gamma=1.106, delta=0.052, M=-2.371e+001
1 19 23 27 -> 37 fr=377 (0.5456), cf=0.726, gamma=1.106, delta=0.052, M=-2.371e+001
1 9 23 27 32 -> ~38 fr=343 (0.4964), cf=0.736, gamma=1.120, delta=0.053, M=-2.167e+001
1 9 23 27 32 -> 37 fr=343 (0.4964), cf=0.736, gamma=1.120, delta=0.053, M=-2.167e+001
1 23 27 32 -> ~38 fr=349 (0.5051), cf=0.733, gamma=1.116, delta=0.052, M=-2.147e+001
1 23 27 32 -> 37 fr=349 (0.5051), cf=0.733, gamma=1.116, delta=0.052, M=-2.147e+001
1 9 23 27 -> ~38 fr=377 (0.5456), cf=0.719, gamma=1.095, delta=0.047, M=-2.029e+001
1 9 19 27 -> ~38 fr=377 (0.5456), cf=0.719, gamma=1.095, delta=0.047, M=-2.029e+001
1 9 23 27 -> 37 fr=377 (0.5456), cf=0.719, gamma=1.095, delta=0.047, M=-2.029e+001
1 9 19 27 -> 37 fr=377 (0.5456), cf=0.719, gamma=1.095, delta=0.047, M=-2.029e+001
1 14 19 23 32 -> ~38 fr=334 (0.4834), cf=0.736, gamma=1.120, delta=0.052, M=-2.009e+001
1 14 19 23 32 -> 37 fr=334 (0.4834), cf=0.736, gamma=1.120, delta=0.052, M=-2.009e+001
1 23 27 -> ~38 fr=385 (0.5572), cf=0.716, gamma=1.089, delta=0.046, M=-1.996e+001
1 23 27 -> 37 fr=385 (0.5572), cf=0.716, gamma=1.089, delta=0.046, M=-1.996e+001
1 19 23 32 -> ~38 fr=363 (0.5253), cf=0.723, gamma=1.101, delta=0.048, M=-1.946e+001
1 19 23 32 -> 37 fr=363 (0.5253), cf=0.723, gamma=1.101, delta=0.048, M=-1.946e+001
1 14 19 23 -> ~38 fr=369 (0.5340), cf=0.721, gamma=1.097, delta=0.047, M=-1.941e+001
1 14 19 23 -> 37 fr=369 (0.5340), cf=0.721, gamma=1.097, delta=0.047, M=-1.941e+001
1 19 23 -> ~38 fr=399 (0.5774), cf=0.709, gamma=1.079, delta=0.042, M=-1.933e+001
1 19 23 -> 37 fr=399 (0.5774), cf=0.709, gamma=1.079, delta=0.042, M=-1.933e+001
1 14 19 27 -> ~38 fr=354 (0.5123), cf=0.725, gamma=1.104, delta=0.048, M=-1.900e+001
