9 36 65 -> 103 fr=85 (0.1384), cf=0.966, gamma=6.977, delta=0.119, M=-2.322e+002
9 23 36 38 56 -> 103 fr=84 (0.1368), cf=0.977, gamma=7.056, delta=0.117, M=-2.294e+002
9 36 38 56 74 -> 103 fr=85 (0.1384), cf=0.944, gamma=6.822, delta=0.118, M=-2.262e+002
23 36 65 -> 103 fr=84 (0.1368), cf=0.955, gamma=6.895, delta=0.117, M=-2.229e+002
9 23 36 38 -> 103 fr=84 (0.1368), cf=0.955, gamma=6.895, delta=0.117, M=-2.229e+002
36 65 -> 103 fr=85 (0.1384), cf=0.924, gamma=6.674, delta=0.118, M=-2.209e+002
23 36 38 56 72 74 -> 103 fr=84 (0.1368), cf=0.944, gamma=6.818, delta=0.117, M=-2.200e+002
23 36 38 56 74 -> 103 fr=84 (0.1368), cf=0.933, gamma=6.742, delta=0.117, M=-2.173e+002
23 36 38 56 72 -> 103 fr=84 (0.1368), cf=0.933, gamma=6.742, delta=0.117, M=-2.173e+002
9 36 38 56 77 -> 103 fr=85 (0.1384), cf=0.904, gamma=6.532, delta=0.117, M=-2.161e+002
9 36 38 56 72 -> 103 fr=85 (0.1384), cf=0.904, gamma=6.532, delta=0.117, M=-2.161e+002
9 23 38 65 -> 103 fr=84 (0.1368), cf=0.923, gamma=6.668, delta=0.116, M=-2.148e+002
23 36 38 56 -> 103 fr=84 (0.1368), cf=0.923, gamma=6.668, delta=0.116, M=-2.148e+002
9 23 38 56 -> 103 fr=84 (0.1368), cf=0.894, gamma=6.455, delta=0.116, M=-2.077e+002
23 36 38 72 74 -> 103 fr=84 (0.1368), cf=0.894, gamma=6.455, delta=0.116, M=-2.077e+002
9 23 65 -> 103 fr=84 (0.1368), cf=0.884, gamma=6.387, delta=0.115, M=-2.056e+002
23 36 38 74 -> 103 fr=84 (0.1368), cf=0.884, gamma=6.387, delta=0.115, M=-2.056e+002
23 36 38 72 -> 103 fr=84 (0.1368), cf=0.884, gamma=6.387, delta=0.115, M=-2.056e+002
9 36 38 56 -> 103 fr=85 (0.1384), cf=0.850, gamma=6.140, delta=0.116, M=-2.038e+002
23 36 38 77 -> 103 fr=84 (0.1368), cf=0.875, gamma=6.321, delta=0.115, M=-2.035e+002
9 36 38 74 -> 103 fr=85 (0.1384), cf=0.833, gamma=6.020, delta=0.115, M=-2.001e+002
9 36 56 72 74 -> 103 fr=85 (0.1384), cf=0.817, gamma=5.904, delta=0.115, M=-1.967e+002
9 38 65 -> 103 fr=85 (0.1384), cf=0.810, gamma=5.848, delta=0.115, M=-1.950e+002
23 38 65 -> 103 fr=84 (0.1368), cf=0.832, gamma=6.008, delta=0.114, M=-1.941e+002
9 23 36 56 72 -> 103 fr=84 (0.1368), cf=0.832, gamma=6.008, delta=0.114, M=-1.941e+002
9 36 38 77 -> 103 fr=85 (0.1384), cf=0.802, gamma=5.792, delta=0.115, M=-1.934e+002
9 36 38 72 -> 103 fr=85 (0.1384), cf=0.802, gamma=5.792, delta=0.115, M=-1.934e+002
9 23 36 72 74 -> 103 fr=84 (0.1368), cf=0.824, gamma=5.949, delta=0.114, M=-1.923e+002
23 36 38 -> 103 fr=84 (0.1368), cf=0.816, gamma=5.891, delta=0.114, M=-1.906e+002
9 23 36 72 -> 103 fr=84 (0.1368), cf=0.816, gamma=5.891, delta=0.114, M=-1.906e+002
23 36 56 72 74 -> 103 fr=84 (0.1368), cf=0.816, gamma=5.891, delta=0.114, M=-1.906e+002
9 36 56 74 -> 103 fr=85 (0.1384), cf=0.787, gamma=5.685, delta=0.114, M=-1.903e+002
9 23 36 56 -> 103 fr=84 (0.1368), cf=0.800, gamma=5.779, delta=0.113, M=-1.874e+002
23 36 56 72 -> 103 fr=84 (0.1368), cf=0.800, gamma=5.779, delta=0.113, M=-1.874e+002
9 23 36 74 -> 103 fr=84 (0.1368), cf=0.792, gamma=5.724, delta=0.113, M=-1.858e+002
9 36 38 -> 103 fr=85 (0.1384), cf=0.759, gamma=5.482, delta=0.113, M=-1.844e+002
9 23 36 -> 103 fr=84 (0.1368), cf=0.785, gamma=5.671, delta=0.113, M=-1.843e+002
36 38 56 72 74 -> 103 fr=85 (0.1384), cf=0.752, gamma=5.434, delta=0.113, M=-1.830e+002
