1 10 15 19 28 35 -> 42 fr=4360 (0.8851), cf=0.947, gamma=1.055, delta=0.046, M=-5.196e+002
1 15 19 28 35 -> 42 fr=4360 (0.8851), cf=0.947, gamma=1.055, delta=0.046, M=-5.169e+002
10 15 19 28 35 -> 42 fr=4360 (0.8851), cf=0.947, gamma=1.055, delta=0.046, M=-5.142e+002
15 19 28 35 -> 42 fr=4360 (0.8851), cf=0.947, gamma=1.054, delta=0.046, M=-5.114e+002
1 10 15 19 28 31 -> 42 fr=4360 (0.8851), cf=0.946, gamma=1.054, delta=0.045, M=-5.033e+002
1 15 19 28 31 -> 42 fr=4360 (0.8851), cf=0.946, gamma=1.054, delta=0.045, M=-5.006e+002
10 15 19 28 31 -> 42 fr=4360 (0.8851), cf=0.946, gamma=1.053, delta=0.045, M=-4.979e+002
15 19 28 31 -> 42 fr=4360 (0.8851), cf=0.945, gamma=1.053, delta=0.045, M=-4.952e+002
1 10 15 19 28 -> 42 fr=4363 (0.8857), cf=0.945, gamma=1.053, delta=0.044, M=-4.946e+002
10 15 19 28 38 -> 42 fr=4363 (0.8857), cf=0.945, gamma=1.052, delta=0.044, M=-4.892e+002
10 15 19 28 -> 42 fr=4363 (0.8857), cf=0.944, gamma=1.052, delta=0.044, M=-4.866e+002
1 10 15 19 35 -> 42 fr=4362 (0.8855), cf=0.944, gamma=1.052, delta=0.044, M=-4.823e+002
1 15 19 35 -> 42 fr=4362 (0.8855), cf=0.944, gamma=1.052, delta=0.043, M=-4.797e+002
1 15 19 28 -> 42 fr=4363 (0.8857), cf=0.944, gamma=1.051, delta=0.043, M=-4.786e+002
10 15 19 35 -> 42 fr=4362 (0.8855), cf=0.944, gamma=1.051, delta=0.043, M=-4.743e+002
15 19 28 38 -> 42 fr=4363 (0.8857), cf=0.943, gamma=1.051, delta=0.043, M=-4.706e+002
15 19 35 -> 42 fr=4362 (0.8855), cf=0.943, gamma=1.051, delta=0.043, M=-4.690e+002
15 19 28 -> 42 fr=4363 (0.8857), cf=0.943, gamma=1.050, delta=0.043, M=-4.680e+002
1 10 15 19 31 -> 42 fr=4362 (0.8855), cf=0.943, gamma=1.050, delta=0.042, M=-4.664e+002
1 15 19 31 -> 42 fr=4362 (0.8855), cf=0.943, gamma=1.050, delta=0.042, M=-4.638e+002
10 15 19 31 -> 42 fr=4362 (0.8855), cf=0.942, gamma=1.050, delta=0.042, M=-4.585e+002
1 10 15 19 -> 42 fr=4365 (0.8861), cf=0.942, gamma=1.049, delta=0.042, M=-4.579e+002
15 19 31 -> 42 fr=4362 (0.8855), cf=0.942, gamma=1.049, delta=0.042, M=-4.533e+002
10 15 19 38 -> 42 fr=4365 (0.8861), cf=0.941, gamma=1.049, delta=0.041, M=-4.500e+002
10 15 19 -> 42 fr=4365 (0.8861), cf=0.941, gamma=1.048, delta=0.041, M=-4.474e+002
1 15 19 -> 42 fr=4365 (0.8861), cf=0.941, gamma=1.048, delta=0.041, M=-4.422e+002
15 19 38 -> 42 fr=4365 (0.8861), cf=0.940, gamma=1.047, delta=0.040, M=-4.292e+002
15 19 -> 42 fr=4365 (0.8861), cf=0.939, gamma=1.046, delta=0.039, M=-4.215e+002
1 10 19 28 35 -> 42 fr=4368 (0.8867), cf=0.938, gamma=1.045, delta=0.038, M=-4.133e+002
1 19 28 35 -> 42 fr=4368 (0.8867), cf=0.938, gamma=1.045, delta=0.038, M=-4.107e+002
10 19 28 35 -> 42 fr=4368 (0.8867), cf=0.938, gamma=1.045, delta=0.038, M=-4.082e+002
19 28 35 -> 42 fr=4368 (0.8867), cf=0.938, gamma=1.044, delta=0.038, M=-4.056e+002
1 10 19 28 31 -> 42 fr=4368 (0.8867), cf=0.937, gamma=1.044, delta=0.037, M=-3.980e+002
1 19 28 31 -> 42 fr=4368 (0.8867), cf=0.937, gamma=1.044, delta=0.037, M=-3.955e+002
10 19 28 31 -> 42 fr=4368 (0.8867), cf=0.937, gamma=1.043, delta=0.037, M=-3.930e+002
19 28 31 -> 42 fr=4368 (0.8867), cf=0.936, gamma=1.043, delta=0.037, M=-3.904e+002
1 10 19 28 -> 42 fr=4371 (0.8873), cf=0.936, gamma=1.043, delta=0.036, M=-3.899e+002
10 19 28 38 -> 42 fr=4371 (0.8873), cf=0.936, gamma=1.042, delta=0.036, M=-3.849e+002
10 19 28 -> 42 fr=4371 (0.8873), cf=0.935, gamma=1.042, delta=0.036, M=-3.824e+002
1 10 19 35 -> 42 fr=4370 (0.8871), cf=0.935, gamma=1.042, delta=0.036, M=-3.784e+002
1 19 35 -> 42 fr=4370 (0.8871), cf=0.935, gamma=1.042, delta=0.035, M=-3.759e+002
1 19 28 -> 42 fr=4371 (0.8873), cf=0.935, gamma=1.041, delta=0.035, M=-3.749e+002
10 19 35 -> 42 fr=4370 (0.8871), cf=0.935, gamma=1.041, delta=0.035, M=-3.709e+002
19 28 38 -> 42 fr=4371 (0.8873), cf=0.934, gamma=1.041, delta=0.035, M=-3.674e+002
19 35 -> 42 fr=4370 (0.8871), cf=0.934, gamma=1.041, delta=0.035, M=-3.659e+002
19 28 -> 42 fr=4371 (0.8873), cf=0.934, gamma=1.040, delta=0.034, M=-3.649e+002
1 10 19 31 -> 42 fr=4370 (0.8871), cf=0.934, gamma=1.040, delta=0.034, M=-3.634e+002
1 19 31 -> 42 fr=4370 (0.8871), cf=0.934, gamma=1.040, delta=0.034, M=-3.609e+002
10 19 31 -> 42 fr=4370 (0.8871), cf=0.933, gamma=1.040, delta=0.034, M=-3.560e+002
1 10 19 -> 42 fr=4373 (0.8877), cf=0.933, gamma=1.039, delta=0.034, M=-3.555e+002
19 31 -> 42 fr=4370 (0.8871), cf=0.933, gamma=1.039, delta=0.034, M=-3.511e+002
10 19 38 -> 42 fr=4373 (0.8877), cf=0.932, gamma=1.039, delta=0.033, M=-3.481e+002
10 19 -> 42 fr=4373 (0.8877), cf=0.932, gamma=1.038, delta=0.033, M=-3.456e+002
1 19 -> 42 fr=4373 (0.8877), cf=0.932, gamma=1.038, delta=0.033, M=-3.407e+002
19 38 -> 42 fr=4373 (0.8877), cf=0.931, gamma=1.037, delta=0.032, M=-3.285e+002
15 19 28 -> ~43 fr=4494 (0.9123), cf=0.971, gamma=1.033, delta=0.029, M=-3.128e+002
15 19 -> ~43 fr=4510 (0.9156), cf=0.970, gamma=1.032, delta=0.029, M=-3.105e+002
1 10 15 28 35 -> 42 fr=4409 (0.8950), cf=0.919, gamma=1.024, delta=0.021, M=-2.385e+002
1 15 28 31 35 -> 42 fr=4407 (0.8946), cf=0.919, gamma=1.024, delta=0.021, M=-2.367e+002
1 15 28 35 -> 42 fr=4409 (0.8950), cf=0.919, gamma=1.024, delta=0.021, M=-2.361e+002
10 15 28 35 -> 42 fr=4409 (0.8950), cf=0.919, gamma=1.023, delta=0.021, M=-2.337e+002
15 28 31 35 -> 42 fr=4407 (0.8946), cf=0.919, gamma=1.024, delta=0.021, M=-2.319e+002
15 28 35 -> 42 fr=4409 (0.8950), cf=0.919, gamma=1.023, delta=0.020, M=-2.313e+002
6 19 28 -> ~43 fr=4413 (0.8959), cf=0.968, gamma=1.030, delta=0.026, M=-2.277e+002
1 10 15 28 31 -> 42 fr=4409 (0.8950), cf=0.918, gamma=1.023, delta=0.020, M=-2.265e+002
1 15 28 31 -> 42 fr=4409 (0.8950), cf=0.918, gamma=1.023, delta=0.020, M=-2.242e+002
6 19 -> ~43 fr=4429 (0.8991), cf=0.967, gamma=1.029, delta=0.025, M=-2.230e+002
10 15 28 31 -> 42 fr=4409 (0.8950), cf=0.918, gamma=1.022, delta=0.020, M=-2.218e+002
15 28 31 -> 42 fr=4409 (0.8950), cf=0.918, gamma=1.022, delta=0.019, M=-2.194e+002
1 10 15 28 -> 42 fr=4412 (0.8957), cf=0.917, gamma=1.022, delta=0.019, M=-2.188e+002
10 15 28 38 -> 42 fr=4412 (0.8957), cf=0.916, gamma=1.021, delta=0.018, M=-2.117e+002
10 15 28 -> 42 fr=4412 (0.8957), cf=0.916, gamma=1.021, delta=0.018, M=-2.093e+002
1 10 15 35 -> 42 fr=4411 (0.8955), cf=0.916, gamma=1.021, delta=0.018, M=-2.070e+002
1 15 31 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.021, delta=0.018, M=-2.052e+002
1 15 35 -> 42 fr=4411 (0.8955), cf=0.916, gamma=1.021, delta=0.018, M=-2.047e+002
