9 23 36 65 -> 103 fr=79 (0.1280), cf=0.975, gamma=7.617, delta=0.111, M=-2.250e+002
9 23 36 38 56 -> 103 fr=79 (0.1280), cf=0.975, gamma=7.617, delta=0.111, M=-2.250e+002
9 36 65 -> 103 fr=79 (0.1280), cf=0.963, gamma=7.524, delta=0.111, M=-2.217e+002
9 23 36 38 -> 103 fr=79 (0.1280), cf=0.963, gamma=7.524, delta=0.111, M=-2.217e+002
23 36 65 -> 103 fr=79 (0.1280), cf=0.952, gamma=7.434, delta=0.111, M=-2.186e+002
9 36 38 56 74 -> 103 fr=79 (0.1280), cf=0.940, gamma=7.345, delta=0.111, M=-2.158e+002
36 65 -> 103 fr=79 (0.1280), cf=0.919, gamma=7.174, delta=0.110, M=-2.106e+002
23 36 38 56 72 74 -> 103 fr=79 (0.1280), cf=0.919, gamma=7.174, delta=0.110, M=-2.106e+002
9 23 38 65 -> 103 fr=79 (0.1280), cf=0.908, gamma=7.092, delta=0.110, M=-2.083e+002
23 36 38 56 74 -> 103 fr=79 (0.1280), cf=0.908, gamma=7.092, delta=0.110, M=-2.083e+002
23 36 38 56 72 -> 103 fr=79 (0.1280), cf=0.908, gamma=7.092, delta=0.110, M=-2.083e+002
23 36 38 56 -> 103 fr=79 (0.1280), cf=0.898, gamma=7.011, delta=0.110, M=-2.060e+002
9 36 38 56 77 -> 103 fr=79 (0.1280), cf=0.888, gamma=6.933, delta=0.110, M=-2.038e+002
9 36 38 56 72 -> 103 fr=79 (0.1280), cf=0.888, gamma=6.933, delta=0.110, M=-2.038e+002
23 36 38 72 74 -> 103 fr=79 (0.1280), cf=0.878, gamma=6.856, delta=0.109, M=-2.017e+002
9 23 65 -> 103 fr=79 (0.1280), cf=0.868, gamma=6.780, delta=0.109, M=-1.997e+002
23 36 38 74 -> 103 fr=79 (0.1280), cf=0.868, gamma=6.780, delta=0.109, M=-1.997e+002
23 36 38 72 -> 103 fr=79 (0.1280), cf=0.868, gamma=6.780, delta=0.109, M=-1.997e+002
9 23 38 56 -> 103 fr=79 (0.1280), cf=0.868, gamma=6.780, delta=0.109, M=-1.997e+002
23 36 38 77 -> 103 fr=79 (0.1280), cf=0.859, gamma=6.707, delta=0.109, M=-1.977e+002
9 23 36 56 72 -> 103 fr=79 (0.1280), cf=0.849, gamma=6.634, delta=0.109, M=-1.958e+002
9 23 36 72 -> 103 fr=79 (0.1280), cf=0.840, gamma=6.564, delta=0.109, M=-1.940e+002
9 36 38 74 -> 103 fr=79 (0.1280), cf=0.840, gamma=6.564, delta=0.109, M=-1.940e+002
23 38 65 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
9 36 38 56 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
9 36 56 72 74 -> 103 fr=79 (0.1280), cf=0.823, gamma=6.427, delta=0.108, M=-1.905e+002
