10 15 28 -> 70 fr=373 (0.4616), cf=1.000, gamma=1.312, delta=0.110, M=-1.444e+002
15 28 -> 70 fr=373 (0.4616), cf=0.995, gamma=1.305, delta=0.108, M=-1.348e+002
18 28 -> 70 fr=355 (0.4394), cf=1.000, gamma=1.312, delta=0.104, M=-1.342e+002
15 -> ~73 fr=771 (0.9542), cf=0.997, gamma=1.044, delta=0.040, M=-1.283e+002
10 28 -> 70 fr=373 (0.4616), cf=0.976, gamma=1.281, delta=0.101, M=-1.112e+002
20 28 -> 70 fr=302 (0.3738), cf=1.000, gamma=1.312, delta=0.089, M=-1.071e+002
28 -> 70 fr=373 (0.4616), cf=0.971, gamma=1.274, delta=0.099, M=-1.057e+002
5 18 -> 70 fr=245 (0.3032), cf=0.996, gamma=1.306, delta=0.071, M=-7.725e+001
5 -> ~69 fr=393 (0.4864), cf=1.000, gamma=1.124, delta=0.054, M=-6.445e+001
28 -> ~69 fr=384 (0.4752), cf=1.000, gamma=1.124, delta=0.052, M=-6.231e+001
15 21 -> 70 fr=605 (0.7488), cf=0.815, gamma=1.070, delta=0.049, M=-6.023e+001
18 -> ~72 fr=498 (0.6163), cf=0.998, gamma=1.078, delta=0.045, M=-5.677e+001
28 -> ~72 fr=384 (0.4752), cf=1.000, gamma=1.080, delta=0.035, M=-4.083e+001
18 48 -> 70 fr=302 (0.3738), cf=0.912, gamma=1.197, delta=0.061, M=-4.064e+001
20 -> ~73 fr=521 (0.6448), cf=1.000, gamma=1.047, delta=0.029, M=-3.876e+001
18 -> ~73 fr=499 (0.6176), cf=1.000, gamma=1.047, delta=0.028, M=-3.593e+001
18 56 -> 70 fr=386 (0.4777), cf=0.873, gamma=1.146, delta=0.061, M=-3.590e+001
18 -> 70 fr=425 (0.5260), cf=0.852, gamma=1.117, delta=0.055, M=-3.044e+001
21 48 56 -> 70 fr=368 (0.4554), cf=0.862, gamma=1.130, delta=0.053, M=-2.737e+001
21 29 -> ~69 fr=191 (0.2364), cf=1.000, gamma=1.124, delta=0.026, M=-2.564e+001
21 46 56 -> ~69 fr=287 (0.3552), cf=0.980, gamma=1.101, delta=0.033, M=-2.519e+001
21 46 -> ~69 fr=345 (0.4270), cf=0.969, gamma=1.089, delta=0.035, M=-2.512e+001
21 48 -> 70 fr=410 (0.5074), cf=0.842, gamma=1.104, delta=0.048, M=-2.330e+001
48 56 -> 70 fr=371 (0.4592), cf=0.851, gamma=1.116, delta=0.048, M=-2.288e+001
10 32 56 -> 70 fr=98 (0.1213), cf=0.980, gamma=1.285, delta=0.027, M=-2.267e+001
32 56 -> 70 fr=102 (0.1262), cf=0.971, gamma=1.274, delta=0.027, M=-2.157e+001
4 -> ~72 fr=230 (0.2847), cf=1.000, gamma=1.080, delta=0.021, M=-2.103e+001
46 -> ~69 fr=358 (0.4431), cf=0.960, gamma=1.079, delta=0.032, M=-2.086e+001
10 32 -> 70 fr=105 (0.1300), cf=0.955, gamma=1.252, delta=0.026, M=-1.860e+001
29 -> ~72 fr=206 (0.2550), cf=1.000, gamma=1.080, delta=0.019, M=-1.845e+001
21 -> ~69 fr=704 (0.8713), cf=0.906, gamma=1.018, delta=0.016, M=-1.843e+001
32 -> 70 fr=110 (0.1361), cf=0.948, gamma=1.244, delta=0.027, M=-1.827e+001
48 58 -> ~69 fr=357 (0.4418), cf=0.955, gamma=1.073, delta=0.030, M=-1.799e+001
48 -> 70 fr=413 (0.5111), cf=0.828, gamma=1.086, delta=0.040, M=-1.721e+001
21 56 -> 70 fr=545 (0.6745), cf=0.799, gamma=1.048, delta=0.031, M=-1.674e+001
10 15 64 -> 69 fr=89 (0.1101), cf=0.131, gamma=1.186, delta=0.017, M=-1.620e+001
17 -> ~69 fr=121 (0.1498), cf=1.000, gamma=1.124, delta=0.016, M=-1.537e+001
48 -> ~69 fr=466 (0.5767), cf=0.934, gamma=1.049, delta=0.027, M=-1.448e+001
52 -> ~69 fr=111 (0.1374), cf=1.000, gamma=1.124, delta=0.015, M=-1.399e+001
21 -> ~68 fr=775 (0.9592), cf=0.997, gamma=1.006, delta=0.006, M=-1.364e+001
10 15 -> 69 fr=89 (0.1101), cf=0.127, gamma=1.149, delta=0.014, M=-1.318e+001
46 56 -> 70 fr=260 (0.3218), cf=0.850, gamma=1.115, delta=0.033, M=-1.291e+001
4 -> ~73 fr=230 (0.2847), cf=1.000, gamma=1.047, delta=0.013, M=-1.238e+001
10 64 -> 69 fr=89 (0.1101), cf=0.125, gamma=1.138, delta=0.013, M=-1.223e+001
10 -> ~70 fr=189 (0.2339), cf=0.256, gamma=1.078, delta=0.017, M=-1.211e+001
29 58 -> ~69 fr=164 (0.2030), cf=0.976, gamma=1.097, delta=0.018, M=-1.207e+001
26 -> ~69 fr=91 (0.1126), cf=1.000, gamma=1.124, delta=0.012, M=-1.130e+001
36 -> ~72 fr=129 (0.1597), cf=1.000, gamma=1.080, delta=0.012, M=-1.088e+001
17 -> ~72 fr=121 (0.1498), cf=1.000, gamma=1.080, delta=0.011, M=-1.014e+001
56 58 -> ~69 fr=487 (0.6027), cf=0.922, gamma=1.037, delta=0.021, M=-9.719e+000
32 -> ~72 fr=116 (0.1436), cf=1.000, gamma=1.080, delta=0.011, M=-9.687e+000
58 -> ~69 fr=562 (0.6955), cf=0.915, gamma=1.029, delta=0.019, M=-9.501e+000
52 -> ~72 fr=111 (0.1374), cf=1.000, gamma=1.080, delta=0.010, M=-9.235e+000
29 58 64 -> 70 fr=128 (0.1584), cf=0.877, gamma=1.150, delta=0.021, M=-8.979e+000
15 64 -> 69 fr=89 (0.1101), cf=0.121, gamma=1.096, delta=0.010, M=-8.692e+000
32 56 -> ~69 fr=103 (0.1275), cf=0.981, gamma=1.102, delta=0.012, M=-8.315e+000
29 -> ~69 fr=196 (0.2426), cf=0.951, gamma=1.069, delta=0.016, M=-7.825e+000
52 -> 70 fr=98 (0.1213), cf=0.883, gamma=1.158, delta=0.017, M=-7.532e+000
29 58 -> 70 fr=144 (0.1782), cf=0.857, gamma=1.124, delta=0.020, M=-7.493e+000
48 56 -> ~72 fr=416 (0.5149), cf=0.954, gamma=1.031, delta=0.015, M=-7.299e+000
20 -> ~68 fr=521 (0.6448), cf=1.000, gamma=1.009, delta=0.006, M=-7.293e+000
46 -> 70 fr=304 (0.3762), cf=0.815, gamma=1.069, delta=0.024, M=-7.250e+000
34 -> ~73 fr=137 (0.1696), cf=1.000, gamma=1.047, delta=0.008, M=-6.853e+000
18 -> ~68 fr=499 (0.6176), cf=1.000, gamma=1.009, delta=0.005, M=-6.771e+000
36 -> ~73 fr=129 (0.1597), cf=1.000, gamma=1.047, delta=0.007, M=-6.415e+000
29 64 -> 70 fr=155 (0.1918), cf=0.842, gamma=1.105, delta=0.018, M=-6.231e+000
61 -> ~72 fr=175 (0.2166), cf=0.972, gamma=1.050, delta=0.010, M=-5.788e+000
32 -> ~73 fr=116 (0.1436), cf=1.000, gamma=1.047, delta=0.006, M=-5.714e+000
47 -> ~68 fr=435 (0.5384), cf=1.000, gamma=1.009, delta=0.005, M=-5.441e+000
10 28 -> ~73 fr=373 (0.4616), cf=0.976, gamma=1.022, delta=0.010, M=-5.422e+000
34 58 -> 70 fr=81 (0.1002), cf=0.871, gamma=1.142, delta=0.012, M=-5.385e+000
29 -> 70 fr=171 (0.2116), cf=0.830, gamma=1.089, delta=0.017, M=-5.383e+000
5 10 64 -> 70 fr=295 (0.3651), cf=0.806, gamma=1.057, delta=0.020, M=-5.312e+000
32 -> ~69 fr=111 (0.1374), cf=0.957, gamma=1.075, delta=0.010, M=-5.141e+000
5 64 -> 70 fr=302 (0.3738), cf=0.803, gamma=1.054, delta=0.019, M=-4.994e+000
64 -> ~73 fr=736 (0.9109), cf=0.961, gamma=1.006, delta=0.005, M=-4.794e+000
48 56 -> ~73 fr=424 (0.5248), cf=0.972, gamma=1.018, delta=0.009, M=-4.732e+000
46 56 -> ~72 fr=292 (0.3614), cf=0.954, gamma=1.031, delta=0.011, M=-4.618e+000
48 -> ~73 fr=484 (0.5990), cf=0.970, gamma=1.015, delta=0.009, M=-4.612e+000
28 -> ~68 fr=384 (0.4752), cf=1.000, gamma=1.009, delta=0.004, M=-4.538e+000
5 10 -> ~68 fr=383 (0.4740), cf=1.000, gamma=1.009, delta=0.004, M=-4.521e+000
26 -> ~73 fr=91 (0.1126), cf=1.000, gamma=1.047, delta=0.005, M=-4.404e+000
5 10 -> 70 fr=306 (0.3787), cf=0.799, gamma=1.048, delta=0.017, M=-4.383e+000
5 20 -> 70 fr=191 (0.2364), cf=0.816, gamma=1.071, delta=0.016, M=-4.368e+000
56 -> ~69 fr=638 (0.7896), cf=0.900, gamma=1.011, delta=0.009, M=-4.159e+000
5 -> 70 fr=313 (0.3874), cf=0.796, gamma=1.045, delta=0.017, M=-4.110e+000
34 -> 70 fr=114 (0.1411), cf=0.832, gamma=1.091, delta=0.012, M=-3.878e+000
28 -> ~73 fr=373 (0.4616), cf=0.971, gamma=1.017, delta=0.008, M=-3.627e+000
36 -> 70 fr=107 (0.1324), cf=0.829, gamma=1.088, delta=0.011, M=-3.500e+000
10 56 -> ~68 fr=640 (0.7921), cf=0.995, gamma=1.004, delta=0.003, M=-3.348e+000
20 64 -> ~70 fr=133 (0.1646), cf=0.258, gamma=1.087, delta=0.013, M=-3.218e+000
56 -> ~68 fr=705 (0.8725), cf=0.994, gamma=1.003, delta=0.003, M=-3.141e+000
50 58 -> ~73 fr=101 (0.1250), cf=0.990, gamma=1.036, delta=0.004, M=-3.107e+000
50 -> ~73 fr=132 (0.1634), cf=0.985, gamma=1.031, delta=0.005, M=-3.105e+000
