,BEST,POS_SUM,POS_AVE,BOTH_SUM,BOTH_AVE
adult, 0.8050, 0.80504, 0.7732, 0.8050, 0.7732
anneal, 0.7678, 0.76334, 0.7633, 0.7678, 0.7678
breast, 0.9171, 0.91714, 0.8986, 0.9171, 0.8986
flare, 0.8158, 0.81584, 0.8158, 0.8158, 0.8158
glass, 0.6318, 0.62734, 0.5955, 0.6318, 0.6000
heart, 0.5548, 0.55484, 0.5290, 0.5548, 0.5290
hepatitis, 0.9062, 0.90624, 0.9062, 0.9062, 0.9062
horseColic, 0.7541, 0.75414, 0.7514, 0.7541, 0.7514
ionosphere, 0.9111, 0.91114, 0.8778, 0.9111, 0.8778
iris, 0.9600, 0.96004, 0.9667, 0.9600, 0.9667
led7, 0.0991, 0.09914, 0.0991, 0.0991, 0.0991
letRecog, 0.0390, 0.03904, 0.0390, 0.0390, 0.0390
mushroom, 0.9795, 0.95314, 0.9936, 0.9795, 0.9936
pageBlocks, 0.8974, 0.89744, 0.8974, 0.8974, 0.8974
penDigits, 0.2014, 0.20144, 0.2014, 0.2014, 0.2014
pima, 0.6571, 0.65714, 0.7338, 0.6571, 0.7338
soybean-large, 0.4464, 0.44644, 0.4957, 0.4464, 0.4957
wine, 0.9333, 0.90004, 0.8722, 0.9333, 0.9056
zoo, 0.8091, 0.75454, 0.7545, 0.8091, 0.8091
