27 52 56 -> ~96 fr=16640 (0.3786), cf=0.966, gamma=1.270, delta=0.080, M=-4.002e+003
27 52 56 -> 97 fr=16640 (0.3786), cf=0.966, gamma=1.270, delta=0.080, M=-4.002e+003
27 52 -> ~96 fr=16818 (0.3826), cf=0.963, gamma=1.266, delta=0.080, M=-3.947e+003
27 52 -> 97 fr=16818 (0.3826), cf=0.963, gamma=1.266, delta=0.080, M=-3.947e+003
43 51 -> 96 fr=7960 (0.1811), cf=0.449, gamma=1.876, delta=0.085, M=-3.610e+003
43 51 -> ~97 fr=7960 (0.1811), cf=0.449, gamma=1.876, delta=0.085, M=-3.610e+003
27 56 -> ~96 fr=16793 (0.3820), cf=0.952, gamma=1.251, delta=0.077, M=-3.481e+003
27 56 -> 97 fr=16793 (0.3820), cf=0.952, gamma=1.251, delta=0.077, M=-3.481e+003
27 -> ~96 fr=16971 (0.3861), cf=0.949, gamma=1.248, delta=0.077, M=-3.441e+003
27 -> 97 fr=16971 (0.3861), cf=0.949, gamma=1.248, delta=0.077, M=-3.441e+003
23 52 56 -> ~96 fr=26090 (0.5935), cf=0.876, gamma=1.151, delta=0.078, M=-3.191e+003
23 52 56 -> 97 fr=26090 (0.5935), cf=0.876, gamma=1.151, delta=0.078, M=-3.191e+003
42 52 56 -> ~96 fr=12225 (0.2781), cf=0.978, gamma=1.286, delta=0.062, M=-3.016e+003
42 52 56 -> 97 fr=12225 (0.2781), cf=0.978, gamma=1.286, delta=0.062, M=-3.016e+003
42 52 -> ~96 fr=12296 (0.2797), cf=0.976, gamma=1.282, delta=0.062, M=-2.958e+003
42 52 -> 97 fr=12296 (0.2797), cf=0.976, gamma=1.282, delta=0.062, M=-2.958e+003
52 56 -> ~96 fr=32595 (0.7415), cf=0.813, gamma=1.069, delta=0.048, M=-2.879e+003
52 56 -> 97 fr=32595 (0.7415), cf=0.813, gamma=1.069, delta=0.048, M=-2.879e+003
23 52 -> ~96 fr=26380 (0.6001), cf=0.866, gamma=1.139, delta=0.073, M=-2.864e+003
23 52 -> 97 fr=26380 (0.6001), cf=0.866, gamma=1.139, delta=0.073, M=-2.864e+003
42 56 -> ~96 fr=12317 (0.2802), cf=0.968, gamma=1.273, delta=0.060, M=-2.735e+003
42 56 -> 97 fr=12317 (0.2802), cf=0.968, gamma=1.273, delta=0.060, M=-2.735e+003
42 -> ~96 fr=12388 (0.2818), cf=0.966, gamma=1.270, delta=0.060, M=-2.687e+003
42 -> 97 fr=12388 (0.2818), cf=0.966, gamma=1.270, delta=0.060, M=-2.687e+003
24 51 -> 96 fr=4697 (0.1069), cf=0.547, gamma=2.284, delta=0.060, M=-2.457e+003
24 51 -> ~97 fr=4697 (0.1069), cf=0.547, gamma=2.284, delta=0.060, M=-2.457e+003
23 56 -> ~96 fr=26402 (0.6006), cf=0.853, gamma=1.121, delta=0.065, M=-2.303e+003
23 56 -> 97 fr=26402 (0.6006), cf=0.853, gamma=1.121, delta=0.065, M=-2.303e+003
52 -> ~96 fr=32995 (0.7506), cf=0.797, gamma=1.047, delta=0.034, M=-2.111e+003
23 -> ~96 fr=26692 (0.6072), cf=0.845, gamma=1.110, delta=0.060, M=-2.031e+003
23 -> 97 fr=26692 (0.6072), cf=0.845, gamma=1.110, delta=0.060, M=-2.031e+003
50 56 -> ~96 fr=12853 (0.2924), cf=0.897, gamma=1.180, delta=0.045, M=-1.221e+003
