1 15 -> 31 fr=497 (0.3970), cf=0.941, gamma=1.118, delta=0.042, M=-3.988e+001
1 -> 31 fr=522 (0.4169), cf=0.937, gamma=1.113, delta=0.042, M=-3.959e+001
15 27 -> 31 fr=927 (0.7404), cf=0.878, gamma=1.043, delta=0.030, M=-2.981e+001
11 -> 31 fr=347 (0.2772), cf=0.946, gamma=1.123, delta=0.030, M=-2.679e+001
23 -> 31 fr=670 (0.5351), cf=0.889, gamma=1.056, delta=0.028, M=-1.744e+001
15 27 -> ~33 fr=1039 (0.8299), cf=0.984, gamma=1.013, delta=0.011, M=-1.562e+001
1 15 -> ~32 fr=500 (0.3994), cf=0.947, gamma=1.054, delta=0.020, M=-1.459e+001
15 -> ~33 fr=1047 (0.8363), cf=0.983, gamma=1.012, delta=0.010, M=-1.453e+001
6 -> 31 fr=381 (0.3043), cf=0.911, gamma=1.083, delta=0.023, M=-1.447e+001
1 -> ~32 fr=526 (0.4201), cf=0.944, gamma=1.051, delta=0.020, M=-1.421e+001
11 -> ~32 fr=350 (0.2796), cf=0.954, gamma=1.061, delta=0.016, M=-1.173e+001
1 -> ~33 fr=553 (0.4417), cf=0.993, gamma=1.022, delta=0.010, M=-1.117e+001
1 -> ~34 fr=557 (0.4449), cf=1.000, gamma=1.015, delta=0.006, M=-1.069e+001
26 29 -> ~31 fr=164 (0.1310), cf=0.181, gamma=1.145, delta=0.017, M=-8.860e+000
25 -> 31 fr=129 (0.1030), cf=0.942, gamma=1.118, delta=0.011, M=-8.670e+000
26 -> ~31 fr=190 (0.1518), cf=0.170, gamma=1.078, delta=0.011, M=-8.670e+000
6 12 23 -> ~33 fr=258 (0.2061), cf=1.000, gamma=1.030, delta=0.006, M=-8.441e+000
23 -> ~35 fr=754 (0.6022), cf=1.000, gamma=1.007, delta=0.004, M=-8.341e+000
27 -> ~32 fr=1102 (0.8802), cf=0.905, gamma=1.007, delta=0.006, M=-8.162e+000
6 -> ~33 fr=415 (0.3315), cf=0.993, gamma=1.022, delta=0.007, M=-7.791e+000
7 -> 31 fr=415 (0.3315), cf=0.887, gamma=1.053, delta=0.017, M=-7.788e+000
2 12 -> 31 fr=199 (0.1589), cf=0.913, gamma=1.084, delta=0.012, M=-7.365e+000
23 -> ~33 fr=742 (0.5927), cf=0.984, gamma=1.013, delta=0.008, M=-7.061e+000
2 -> 31 fr=232 (0.1853), cf=0.903, gamma=1.072, delta=0.012, M=-6.688e+000
20 27 -> ~33 fr=1144 (0.9137), cf=0.976, gamma=1.005, delta=0.005, M=-6.596e+000
11 -> ~34 fr=367 (0.2931), cf=1.000, gamma=1.015, delta=0.004, M=-6.296e+000
15 -> ~32 fr=969 (0.7740), cf=0.910, gamma=1.013, delta=0.010, M=-6.199e+000
11 -> ~33 fr=364 (0.2907), cf=0.992, gamma=1.021, delta=0.006, M=-6.149e+000
27 -> ~33 fr=1187 (0.9481), cf=0.975, gamma=1.003, delta=0.003, M=-6.098e+000
15 -> ~34 fr=1055 (0.8427), cf=0.991, gamma=1.005, delta=0.004, M=-6.014e+000
1 -> ~35 fr=557 (0.4449), cf=1.000, gamma=1.007, delta=0.003, M=-5.320e+000
23 -> ~34 fr=749 (0.5982), cf=0.993, gamma=1.008, delta=0.005, M=-5.269e+000
20 -> ~37 fr=1192 (0.9521), cf=0.999, gamma=1.002, delta=0.001, M=-5.058e+000
6 -> ~34 fr=417 (0.3331), cf=0.998, gamma=1.012, delta=0.004, M=-5.051e+000
12 20 -> ~33 fr=528 (0.4217), cf=0.985, gamma=1.014, delta=0.006, M=-4.882e+000
12 20 -> 31 fr=467 (0.3730), cf=0.871, gamma=1.035, delta=0.013, M=-4.820e+000
25 -> ~32 fr=131 (0.1046), cf=0.956, gamma=1.064, delta=0.006, M=-4.769e+000
12 -> 31 fr=482 (0.3850), cf=0.870, gamma=1.033, delta=0.012, M=-4.722e+000
7 20 24 -> ~32 fr=154 (0.1230), cf=0.951, gamma=1.058, delta=0.007, M=-4.684e+000
23 -> ~32 fr=690 (0.5511), cf=0.915, gamma=1.018, delta=0.010, M=-4.471e+000
12 -> ~33 fr=545 (0.4353), cf=0.984, gamma=1.013, delta=0.006, M=-4.364e+000
7 -> ~35 fr=468 (0.3738), cf=1.000, gamma=1.007, delta=0.003, M=-4.230e+000
6 12 29 -> ~32 fr=255 (0.2037), cf=0.934, gamma=1.040, delta=0.008, M=-4.158e+000
6 12 -> ~32 fr=273 (0.2181), cf=0.932, gamma=1.037, delta=0.008, M=-4.022e+000
6 -> ~32 fr=386 (0.3083), cf=0.923, gamma=1.028, delta=0.008, M=-3.772e+000
2 12 20 -> ~32 fr=195 (0.1558), cf=0.938, gamma=1.043, delta=0.006, M=-3.747e+000
7 24 -> ~32 fr=162 (0.1294), cf=0.942, gamma=1.048, delta=0.006, M=-3.724e+000
6 -> ~35 fr=418 (0.3339), cf=1.000, gamma=1.007, delta=0.002, M=-3.671e+000
2 12 -> ~32 fr=204 (0.1629), cf=0.936, gamma=1.041, delta=0.006, M=-3.657e+000
30 -> ~34 fr=225 (0.1797), cf=1.000, gamma=1.015, delta=0.003, M=-3.593e+000
7 20 -> ~32 fr=416 (0.3323), cf=0.920, gamma=1.024, delta=0.008, M=-3.420e+000
15 -> ~35 fr=1060 (0.8466), cf=0.995, gamma=1.003, delta=0.002, M=-3.414e+000
2 -> ~32 fr=239 (0.1909), cf=0.930, gamma=1.035, delta=0.006, M=-3.325e+000
7 -> ~33 fr=460 (0.3674), cf=0.983, gamma=1.012, delta=0.004, M=-3.265e+000
7 -> ~32 fr=430 (0.3435), cf=0.919, gamma=1.023, delta=0.008, M=-3.221e+000
