1 -> 31 fr=508 (0.4061), cf=0.944, gamma=1.121, delta=0.044, M=-4.316e+001
15 27 -> 31 fr=922 (0.7370), cf=0.878, gamma=1.042, delta=0.030, M=-2.857e+001
11 -> 31 fr=331 (0.2646), cf=0.951, gamma=1.129, delta=0.030, M=-2.785e+001
23 -> 31 fr=672 (0.5372), cf=0.890, gamma=1.056, delta=0.029, M=-1.810e+001
1 -> ~32 fr=512 (0.4093), cf=0.952, gamma=1.059, delta=0.023, M=-1.787e+001
6 -> 31 fr=383 (0.3062), cf=0.916, gamma=1.088, delta=0.025, M=-1.616e+001
11 -> ~32 fr=334 (0.2670), cf=0.960, gamma=1.068, delta=0.017, M=-1.350e+001
15 27 -> ~33 fr=1031 (0.8241), cf=0.982, gamma=1.011, delta=0.009, M=-1.168e+001
1 15 -> ~33 fr=507 (0.4053), cf=0.994, gamma=1.024, delta=0.009, M=-1.120e+001
15 -> ~33 fr=1039 (0.8305), cf=0.981, gamma=1.010, delta=0.008, M=-1.071e+001
1 -> ~33 fr=534 (0.4269), cf=0.993, gamma=1.022, delta=0.009, M=-1.043e+001
1 -> ~34 fr=538 (0.4301), cf=1.000, gamma=1.015, delta=0.006, M=-1.021e+001
15 -> ~32 fr=967 (0.7730), cf=0.913, gamma=1.016, delta=0.012, M=-8.931e+000
6 12 23 -> ~33 fr=262 (0.2094), cf=1.000, gamma=1.030, delta=0.006, M=-8.596e+000
26 -> ~31 fr=190 (0.1519), cf=0.169, gamma=1.073, delta=0.010, M=-8.504e+000
27 -> ~32 fr=1104 (0.8825), cf=0.904, gamma=1.006, delta=0.006, M=-7.774e+000
23 -> ~35 fr=755 (0.6035), cf=1.000, gamma=1.006, delta=0.004, M=-7.435e+000
6 12 -> ~33 fr=297 (0.2374), cf=0.997, gamma=1.026, delta=0.006, M=-7.415e+000
6 12 29 -> ~32 fr=263 (0.2102), cf=0.946, gamma=1.053, delta=0.011, M=-6.685e+000
20 23 -> ~32 fr=681 (0.5444), cf=0.920, gamma=1.024, delta=0.013, M=-6.452e+000
6 -> ~33 fr=414 (0.3309), cf=0.990, gamma=1.020, delta=0.006, M=-6.278e+000
23 -> ~32 fr=694 (0.5548), cf=0.919, gamma=1.023, delta=0.013, M=-6.195e+000
23 -> ~33 fr=742 (0.5931), cf=0.983, gamma=1.012, delta=0.007, M=-5.999e+000
11 -> ~34 fr=348 (0.2782), cf=1.000, gamma=1.015, delta=0.004, M=-5.915e+000
2 12 -> 31 fr=205 (0.1639), cf=0.903, gamma=1.072, delta=0.011, M=-5.907e+000
15 -> ~34 fr=1049 (0.8385), cf=0.991, gamma=1.005, delta=0.004, M=-5.834e+000
