1 33 41 45 -> 48 fr=68 (0.2473), cf=0.971, gamma=1.805, delta=0.110, M=-4.472e+001
30 31 33 45 -> 48 fr=98 (0.3564), cf=0.852, gamma=1.583, delta=0.131, M=-4.410e+001
11 30 33 41 45 -> 48 fr=84 (0.3055), cf=0.903, gamma=1.678, delta=0.123, M=-4.389e+001
31 33 45 -> 48 fr=99 (0.3600), cf=0.846, gamma=1.572, delta=0.131, M=-4.360e+001
11 30 33 45 -> 48 fr=111 (0.4036), cf=0.804, gamma=1.495, delta=0.134, M=-4.359e+001
10 47 -> ~48 fr=65 (0.2364), cf=0.903, gamma=1.955, delta=0.115, M=-4.350e+001
30 33 45 -> 48 fr=112 (0.4073), cf=0.800, gamma=1.486, delta=0.133, M=-4.338e+001
11 33 41 45 -> 48 fr=85 (0.3091), cf=0.895, gamma=1.663, delta=0.123, M=-4.301e+001
11 30 41 45 -> 48 fr=85 (0.3091), cf=0.895, gamma=1.663, delta=0.123, M=-4.301e+001
1 11 41 45 -> 48 fr=69 (0.2509), cf=0.958, gamma=1.781, delta=0.110, M=-4.294e+001
33 41 45 -> 48 fr=86 (0.3127), cf=0.887, gamma=1.647, delta=0.123, M=-4.219e+001
11 41 45 -> 48 fr=86 (0.3127), cf=0.887, gamma=1.647, delta=0.123, M=-4.219e+001
30 31 45 -> 48 fr=99 (0.3600), cf=0.839, gamma=1.559, delta=0.129, M=-4.214e+001
11 33 45 -> 48 fr=112 (0.4073), cf=0.794, gamma=1.476, delta=0.131, M=-4.210e+001
33 45 -> 48 fr=113 (0.4109), cf=0.790, gamma=1.468, delta=0.131, M=-4.193e+001
31 45 -> 48 fr=100 (0.3636), cf=0.833, gamma=1.548, delta=0.129, M=-4.170e+001
30 31 41 -> 48 fr=97 (0.3527), cf=0.843, gamma=1.567, delta=0.128, M=-4.163e+001
31 41 -> 48 fr=98 (0.3564), cf=0.838, gamma=1.556, delta=0.127, M=-4.116e+001
11 30 45 -> 48 fr=112 (0.4073), cf=0.789, gamma=1.466, delta=0.129, M=-4.086e+001
1 41 45 -> 48 fr=69 (0.2509), cf=0.945, gamma=1.756, delta=0.108, M=-4.052e+001
30 41 45 -> 48 fr=86 (0.3127), cf=0.878, gamma=1.631, delta=0.121, M=-4.051e+001
41 45 -> 48 fr=87 (0.3164), cf=0.870, gamma=1.617, delta=0.121, M=-3.981e+001
