25 27 47 -> ~55 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 47 -> 56 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 29 -> ~55 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
25 27 29 -> 56 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
25 27 34 -> ~55 fr=57 (0.4071), cf=1.000, gamma=1.261, delta=0.084, M=-1.761e+001
25 27 34 -> 56 fr=57 (0.4071), cf=1.000, gamma=1.261, delta=0.084, M=-1.761e+001
15 25 27 -> ~55 fr=64 (0.4571), cf=0.985, gamma=1.242, delta=0.089, M=-1.753e+001
15 25 29 -> ~55 fr=64 (0.4571), cf=0.985, gamma=1.242, delta=0.089, M=-1.753e+001
15 25 27 -> 56 fr=64 (0.4571), cf=0.985, gamma=1.242, delta=0.089, M=-1.753e+001
15 25 29 -> 56 fr=64 (0.4571), cf=0.985, gamma=1.242, delta=0.089, M=-1.753e+001
6 14 54 -> 55 fr=17 (0.1214), cf=0.630, gamma=3.040, delta=0.081, M=-1.678e+001
6 14 54 -> ~56 fr=17 (0.1214), cf=0.630, gamma=3.040, delta=0.081, M=-1.678e+001
15 17 27 29 -> ~55 fr=73 (0.5214), cf=0.961, gamma=1.211, delta=0.091, M=-1.677e+001
15 17 27 29 -> 56 fr=73 (0.5214), cf=0.961, gamma=1.211, delta=0.091, M=-1.677e+001
27 29 30 -> ~55 fr=91 (0.6500), cf=0.919, gamma=1.159, delta=0.089, M=-1.667e+001
27 29 30 -> 56 fr=91 (0.6500), cf=0.919, gamma=1.159, delta=0.089, M=-1.667e+001
25 29 30 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
25 29 30 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 27 29 47 -> ~55 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 27 29 47 -> 56 fr=77 (0.5500), cf=0.951, gamma=1.199, delta=0.091, M=-1.659e+001
23 25 27 -> ~55 fr=72 (0.5143), cf=0.960, gamma=1.211, delta=0.090, M=-1.630e+001
23 25 27 -> 56 fr=72 (0.5143), cf=0.960, gamma=1.211, delta=0.090, M=-1.630e+001
27 29 47 -> ~55 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
27 29 47 -> 56 fr=87 (0.6214), cf=0.926, gamma=1.167, delta=0.089, M=-1.610e+001
25 27 -> ~55 fr=80 (0.5714), cf=0.941, gamma=1.187, delta=0.090, M=-1.610e+001
25 27 -> 56 fr=80 (0.5714), cf=0.941, gamma=1.187, delta=0.090, M=-1.610e+001
14 54 -> 55 fr=17 (0.1214), cf=0.607, gamma=2.931, delta=0.080, M=-1.595e+001
14 54 -> ~56 fr=17 (0.1214), cf=0.607, gamma=2.931, delta=0.080, M=-1.595e+001
25 30 47 -> ~55 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
25 30 47 -> 56 fr=71 (0.5071), cf=0.959, gamma=1.210, delta=0.088, M=-1.584e+001
23 27 47 -> ~55 fr=79 (0.5643), cf=0.940, gamma=1.186, delta=0.089, M=-1.559e+001
23 27 47 -> 56 fr=79 (0.5643), cf=0.940, gamma=1.186, delta=0.089, M=-1.559e+001
27 47 -> ~55 fr=92 (0.6571), cf=0.911, gamma=1.149, delta=0.085, M=-1.552e+001
27 47 -> 56 fr=92 (0.6571), cf=0.911, gamma=1.149, delta=0.085, M=-1.552e+001
15 25 30 -> ~55 fr=59 (0.4214), cf=0.983, gamma=1.240, delta=0.082, M=-1.538e+001
15 25 30 -> 56 fr=59 (0.4214), cf=0.983, gamma=1.240, delta=0.082, M=-1.538e+001
25 29 -> ~55 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
25 29 -> 56 fr=82 (0.5857), cf=0.932, gamma=1.175, delta=0.087, M=-1.523e+001
23 29 30 47 -> ~55 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
23 29 30 47 -> 56 fr=78 (0.5571), cf=0.940, gamma=1.185, delta=0.087, M=-1.511e+001
27 30 -> ~55 fr=94 (0.6714), cf=0.904, gamma=1.140, delta=0.082, M=-1.507e+001
27 30 -> 56 fr=94 (0.6714), cf=0.904, gamma=1.140, delta=0.082, M=-1.507e+001
23 27 29 -> ~55 fr=85 (0.6071), cf=0.924, gamma=1.165, delta=0.086, M=-1.500e+001
23 27 29 -> 56 fr=85 (0.6071), cf=0.924, gamma=1.165, delta=0.086, M=-1.500e+001
15 25 -> ~55 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
15 25 -> 56 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
15 23 29 -> ~55 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
15 23 29 -> 56 fr=64 (0.4571), cf=0.970, gamma=1.223, delta=0.083, M=-1.500e+001
29 30 47 -> ~55 fr=88 (0.6286), cf=0.917, gamma=1.156, delta=0.085, M=-1.489e+001
29 30 47 -> 56 fr=88 (0.6286), cf=0.917, gamma=1.156, delta=0.085, M=-1.489e+001
23 29 47 -> ~55 fr=81 (0.5786), cf=0.931, gamma=1.174, delta=0.086, M=-1.473e+001
23 29 47 -> 56 fr=81 (0.5786), cf=0.931, gamma=1.174, delta=0.086, M=-1.473e+001
25 47 -> ~55 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
25 47 -> 56 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
15 17 29 -> ~55 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
15 27 29 -> ~55 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
15 17 29 -> 56 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
15 27 29 -> 56 fr=73 (0.5214), cf=0.948, gamma=1.196, delta=0.085, M=-1.470e+001
27 29 39 -> ~55 fr=84 (0.6000), cf=0.923, gamma=1.164, delta=0.085, M=-1.448e+001
27 29 39 -> 56 fr=84 (0.6000), cf=0.923, gamma=1.164, delta=0.085, M=-1.448e+001
27 29 -> ~55 fr=98 (0.7000), cf=0.891, gamma=1.124, delta=0.077, M=-1.444e+001
27 29 -> 56 fr=98 (0.7000), cf=0.891, gamma=1.124, delta=0.077, M=-1.444e+001
6 11 12 24 -> 55 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
6 11 12 24 -> ~56 fr=17 (0.1214), cf=0.567, gamma=2.736, delta=0.077, M=-1.444e+001
23 27 -> ~55 fr=87 (0.6214), cf=0.916, gamma=1.155, delta=0.083, M=-1.435e+001
23 27 -> 56 fr=87 (0.6214), cf=0.916, gamma=1.155, delta=0.083, M=-1.435e+001
6 12 54 -> 55 fr=20 (0.1429), cf=0.488, gamma=2.355, delta=0.082, M=-1.433e+001
6 12 54 -> ~56 fr=20 (0.1429), cf=0.488, gamma=2.355, delta=0.082, M=-1.433e+001
15 17 27 -> ~55 fr=76 (0.5429), cf=0.938, gamma=1.183, delta=0.084, M=-1.417e+001
15 17 27 -> 56 fr=76 (0.5429), cf=0.938, gamma=1.183, delta=0.084, M=-1.417e+001
29 30 -> ~55 fr=95 (0.6786), cf=0.896, gamma=1.130, delta=0.078, M=-1.406e+001
29 30 -> 56 fr=95 (0.6786), cf=0.896, gamma=1.130, delta=0.078, M=-1.406e+001
6 12 24 -> 55 fr=18 (0.1286), cf=0.529, gamma=2.556, delta=0.078, M=-1.406e+001
6 12 24 -> ~56 fr=18 (0.1286), cf=0.529, gamma=2.556, delta=0.078, M=-1.406e+001
1 29 47 -> ~55 fr=82 (0.5857), cf=0.921, gamma=1.162, delta=0.082, M=-1.349e+001
1 29 47 -> 56 fr=82 (0.5857), cf=0.921, gamma=1.162, delta=0.082, M=-1.349e+001
27 -> ~55 fr=103 (0.7357), cf=0.873, gamma=1.101, delta=0.067, M=-1.344e+001
30 47 -> ~55 fr=94 (0.6714), cf=0.895, gamma=1.129, delta=0.077, M=-1.344e+001
30 47 -> 56 fr=94 (0.6714), cf=0.895, gamma=1.129, delta=0.077, M=-1.344e+001
6 11 24 -> 55 fr=18 (0.1286), cf=0.514, gamma=2.483, delta=0.077, M=-1.344e+001
6 11 24 -> ~56 fr=18 (0.1286), cf=0.514, gamma=2.483, delta=0.077, M=-1.344e+001
21 23 25 -> ~55 fr=54 (0.3857), cf=0.982, gamma=1.238, delta=0.074, M=-1.341e+001
21 23 25 -> 56 fr=54 (0.3857), cf=0.982, gamma=1.238, delta=0.074, M=-1.341e+001
6 14 -> 55 fr=21 (0.1500), cf=0.447, gamma=2.157, delta=0.080, M=-1.331e+001
6 14 -> ~56 fr=21 (0.1500), cf=0.447, gamma=2.157, delta=0.080, M=-1.331e+001
6 24 -> 55 fr=19 (0.1357), cf=0.487, gamma=2.352, delta=0.078, M=-1.328e+001
29 47 -> ~55 fr=91 (0.6500), cf=0.901, gamma=1.136, delta=0.078, M=-1.328e+001
6 24 -> ~56 fr=19 (0.1357), cf=0.487, gamma=2.352, delta=0.078, M=-1.328e+001
29 47 -> 56 fr=91 (0.6500), cf=0.901, gamma=1.136, delta=0.078, M=-1.328e+001
23 25 -> ~55 fr=74 (0.5286), cf=0.937, gamma=1.181, delta=0.081, M=-1.328e+001
23 25 -> 56 fr=74 (0.5286), cf=0.937, gamma=1.181, delta=0.081, M=-1.328e+001
25 34 53 -> ~55 fr=46 (0.3286), cf=1.000, gamma=1.261, delta=0.068, M=-1.327e+001
25 34 53 -> 56 fr=46 (0.3286), cf=1.000, gamma=1.261, delta=0.068, M=-1.327e+001
15 23 -> ~55 fr=65 (0.4643), cf=0.956, gamma=1.206, delta=0.079, M=-1.327e+001
15 23 -> 56 fr=65 (0.4643), cf=0.956, gamma=1.206, delta=0.079, M=-1.327e+001
47 53 -> ~55 fr=64 (0.4571), cf=0.955, gamma=1.205, delta=0.078, M=-1.287e+001
47 53 -> 56 fr=64 (0.4571), cf=0.955, gamma=1.205, delta=0.078, M=-1.287e+001
25 30 -> ~55 fr=77 (0.5500), cf=0.928, gamma=1.170, delta=0.080, M=-1.286e+001
25 30 -> 56 fr=77 (0.5500), cf=0.928, gamma=1.170, delta=0.080, M=-1.286e+001
15 29 -> ~55 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
15 29 -> 56 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
34 53 -> ~55 fr=52 (0.3714), cf=0.981, gamma=1.237, delta=0.071, M=-1.266e+001
34 53 -> 56 fr=52 (0.3714), cf=0.981, gamma=1.237, delta=0.071, M=-1.266e+001
6 12 -> 55 fr=27 (0.1929), cf=0.338, gamma=1.629, delta=0.074, M=-1.260e+001
6 12 -> ~56 fr=27 (0.1929), cf=0.338, gamma=1.629, delta=0.074, M=-1.260e+001
1 25 53 -> ~55 fr=51 (0.3643), cf=0.981, gamma=1.237, delta=0.070, M=-1.229e+001
1 25 53 -> 56 fr=51 (0.3643), cf=0.981, gamma=1.237, delta=0.070, M=-1.229e+001
25 53 -> ~55 fr=57 (0.4071), cf=0.966, gamma=1.219, delta=0.073, M=-1.223e+001
25 53 -> 56 fr=57 (0.4071), cf=0.966, gamma=1.219, delta=0.073, M=-1.223e+001
1 30 53 -> ~55 fr=57 (0.4071), cf=0.966, gamma=1.219, delta=0.073, M=-1.223e+001
1 30 53 -> 56 fr=57 (0.4071), cf=0.966, gamma=1.219, delta=0.073, M=-1.223e+001
12 54 -> 55 fr=20 (0.1429), cf=0.444, gamma=2.146, delta=0.076, M=-1.223e+001
12 54 -> ~56 fr=20 (0.1429), cf=0.444, gamma=2.146, delta=0.076, M=-1.223e+001
15 30 -> ~55 fr=71 (0.5071), cf=0.934, gamma=1.178, delta=0.077, M=-1.202e+001
15 30 -> 56 fr=71 (0.5071), cf=0.934, gamma=1.178, delta=0.077, M=-1.202e+001
30 53 -> ~55 fr=66 (0.4714), cf=0.943, gamma=1.189, delta=0.075, M=-1.179e+001
30 53 -> 56 fr=66 (0.4714), cf=0.943, gamma=1.189, delta=0.075, M=-1.179e+001
15 17 -> ~55 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
15 17 -> 56 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
1 23 29 -> ~55 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
1 23 29 -> 56 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
15 47 -> ~55 fr=70 (0.5000), cf=0.933, gamma=1.177, delta=0.075, M=-1.162e+001
15 47 -> 56 fr=70 (0.5000), cf=0.933, gamma=1.177, delta=0.075, M=-1.162e+001
25 34 -> ~55 fr=59 (0.4214), cf=0.952, gamma=1.200, delta=0.070, M=-1.099e+001
25 34 -> 56 fr=59 (0.4214), cf=0.952, gamma=1.200, delta=0.070, M=-1.099e+001
11 12 24 -> 55 fr=17 (0.1214), cf=0.472, gamma=2.280, delta=0.068, M=-1.083e+001
11 12 24 -> ~56 fr=17 (0.1214), cf=0.472, gamma=2.280, delta=0.068, M=-1.083e+001
17 21 25 -> ~55 fr=53 (0.3786), cf=0.964, gamma=1.215, delta=0.067, M=-1.080e+001
1 39 53 -> ~55 fr=53 (0.3786), cf=0.964, gamma=1.215, delta=0.067, M=-1.080e+001
17 21 25 -> 56 fr=53 (0.3786), cf=0.964, gamma=1.215, delta=0.067, M=-1.080e+001
1 39 53 -> 56 fr=53 (0.3786), cf=0.964, gamma=1.215, delta=0.067, M=-1.080e+001
12 24 -> 55 fr=18 (0.1286), cf=0.450, gamma=2.172, delta=0.069, M=-1.074e+001
23 29 -> ~55 fr=89 (0.6357), cf=0.890, gamma=1.123, delta=0.069, M=-1.074e+001
12 24 -> ~56 fr=18 (0.1286), cf=0.450, gamma=2.172, delta=0.069, M=-1.074e+001
23 29 -> 56 fr=89 (0.6357), cf=0.890, gamma=1.123, delta=0.069, M=-1.074e+001
21 25 -> ~55 fr=58 (0.4143), cf=0.951, gamma=1.199, delta=0.069, M=-1.064e+001
21 25 -> 56 fr=58 (0.4143), cf=0.951, gamma=1.199, delta=0.069, M=-1.064e+001
25 -> ~55 fr=82 (0.5857), cf=0.901, gamma=1.137, delta=0.070, M=-1.041e+001
25 -> 56 fr=82 (0.5857), cf=0.901, gamma=1.137, delta=0.070, M=-1.041e+001
11 14 -> 55 fr=19 (0.1357), cf=0.422, gamma=2.038, delta=0.069, M=-1.031e+001
11 14 -> ~56 fr=19 (0.1357), cf=0.422, gamma=2.038, delta=0.069, M=-1.031e+001
15 -> ~55 fr=78 (0.5571), cf=0.907, gamma=1.144, delta=0.070, M=-1.019e+001
15 -> 56 fr=78 (0.5571), cf=0.907, gamma=1.144, delta=0.070, M=-1.019e+001
6 11 54 -> 55 fr=21 (0.1500), cf=0.389, gamma=1.877, delta=0.070, M=-1.019e+001
6 11 54 -> ~56 fr=21 (0.1500), cf=0.389, gamma=1.877, delta=0.070, M=-1.019e+001
6 54 -> 55 fr=22 (0.1571), cf=0.373, gamma=1.800, delta=0.070, M=-1.007e+001
6 54 -> ~56 fr=22 (0.1571), cf=0.373, gamma=1.800, delta=0.070, M=-1.007e+001
39 53 -> ~55 fr=61 (0.4357), cf=0.938, gamma=1.184, delta=0.068, M=-9.969e+000
1 53 -> ~55 fr=61 (0.4357), cf=0.938, gamma=1.184, delta=0.068, M=-9.969e+000
39 53 -> 56 fr=61 (0.4357), cf=0.938, gamma=1.184, delta=0.068, M=-9.969e+000
1 53 -> 56 fr=61 (0.4357), cf=0.938, gamma=1.184, delta=0.068, M=-9.969e+000
13 29 -> ~55 fr=44 (0.3143), cf=0.978, gamma=1.233, delta=0.059, M=-9.886e+000
13 29 -> 56 fr=44 (0.3143), cf=0.978, gamma=1.233, delta=0.059, M=-9.886e+000
1 47 -> ~55 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
1 29 -> ~55 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
1 47 -> 56 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
1 29 -> 56 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
17 19 53 -> ~55 fr=50 (0.3571), cf=0.962, gamma=1.213, delta=0.063, M=-9.788e+000
17 19 53 -> 56 fr=50 (0.3571), cf=0.962, gamma=1.213, delta=0.063, M=-9.788e+000
47 -> ~55 fr=100 (0.7143), cf=0.862, gamma=1.087, delta=0.057, M=-9.770e+000
9 17 19 29 -> ~55 fr=42 (0.3000), cf=0.977, gamma=1.232, delta=0.056, M=-9.242e+000
9 17 19 29 -> 56 fr=42 (0.3000), cf=0.977, gamma=1.232, delta=0.056, M=-9.242e+000
