25 27 -> ~55 fr=81 (0.5786), cf=0.964, gamma=1.216, delta=0.103, M=-2.099e+001
25 27 -> 56 fr=81 (0.5786), cf=0.964, gamma=1.216, delta=0.103, M=-2.099e+001
6 11 24 -> 55 fr=21 (0.1500), cf=0.568, gamma=2.740, delta=0.095, M=-1.940e+001
6 11 24 -> ~56 fr=21 (0.1500), cf=0.568, gamma=2.740, delta=0.095, M=-1.940e+001
25 29 30 -> ~55 fr=78 (0.5571), cf=0.963, gamma=1.215, delta=0.098, M=-1.931e+001
25 29 30 -> 56 fr=78 (0.5571), cf=0.963, gamma=1.215, delta=0.098, M=-1.931e+001
6 24 -> 55 fr=22 (0.1571), cf=0.537, gamma=2.590, delta=0.096, M=-1.922e+001
6 24 -> ~56 fr=22 (0.1571), cf=0.537, gamma=2.590, delta=0.096, M=-1.922e+001
23 25 29 -> ~55 fr=76 (0.5429), cf=0.962, gamma=1.213, delta=0.095, M=-1.826e+001
23 25 29 -> 56 fr=76 (0.5429), cf=0.962, gamma=1.213, delta=0.095, M=-1.826e+001
27 30 -> ~55 fr=93 (0.6643), cf=0.921, gamma=1.161, delta=0.092, M=-1.797e+001
27 30 -> 56 fr=93 (0.6643), cf=0.921, gamma=1.161, delta=0.092, M=-1.797e+001
6 14 54 -> 55 fr=18 (0.1286), cf=0.621, gamma=2.996, delta=0.086, M=-1.772e+001
6 14 54 -> ~56 fr=18 (0.1286), cf=0.621, gamma=2.996, delta=0.086, M=-1.772e+001
25 29 -> ~55 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
25 29 -> 56 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
25 30 -> ~55 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
25 30 -> 56 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
15 25 -> ~55 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
15 25 -> 56 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
14 54 -> 55 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
14 54 -> ~56 fr=18 (0.1286), cf=0.600, gamma=2.897, delta=0.084, M=-1.690e+001
27 29 39 -> ~55 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
27 29 39 -> 56 fr=84 (0.6000), cf=0.933, gamma=1.177, delta=0.090, M=-1.629e+001
23 25 -> ~55 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
23 25 -> 56 fr=76 (0.5429), cf=0.950, gamma=1.198, delta=0.090, M=-1.610e+001
25 -> ~55 fr=83 (0.5929), cf=0.933, gamma=1.176, delta=0.089, M=-1.575e+001
25 -> 56 fr=83 (0.5929), cf=0.933, gamma=1.176, delta=0.089, M=-1.575e+001
1 27 29 47 -> ~55 fr=79 (0.5643), cf=0.940, gamma=1.186, delta=0.089, M=-1.559e+001
1 27 29 47 -> 56 fr=79 (0.5643), cf=0.940, gamma=1.186, delta=0.089, M=-1.559e+001
6 12 54 -> 55 fr=21 (0.1500), cf=0.488, gamma=2.358, delta=0.086, M=-1.546e+001
6 12 54 -> ~56 fr=21 (0.1500), cf=0.488, gamma=2.358, delta=0.086, M=-1.546e+001
15 17 27 29 -> ~55 fr=70 (0.5000), cf=0.959, gamma=1.209, delta=0.087, M=-1.539e+001
15 17 27 29 -> 56 fr=70 (0.5000), cf=0.959, gamma=1.209, delta=0.087, M=-1.539e+001
23 29 30 -> ~55 fr=81 (0.5786), cf=0.931, gamma=1.174, delta=0.086, M=-1.473e+001
23 29 30 -> 56 fr=81 (0.5786), cf=0.931, gamma=1.174, delta=0.086, M=-1.473e+001
23 27 29 47 -> ~55 fr=77 (0.5500), cf=0.939, gamma=1.184, delta=0.086, M=-1.463e+001
23 27 29 47 -> 56 fr=77 (0.5500), cf=0.939, gamma=1.184, delta=0.086, M=-1.463e+001
23 27 29 -> ~55 fr=84 (0.6000), cf=0.923, gamma=1.164, delta=0.085, M=-1.448e+001
23 27 29 -> 56 fr=84 (0.6000), cf=0.923, gamma=1.164, delta=0.085, M=-1.448e+001
23 27 -> ~55 fr=87 (0.6214), cf=0.916, gamma=1.155, delta=0.083, M=-1.435e+001
23 27 -> 56 fr=87 (0.6214), cf=0.916, gamma=1.155, delta=0.083, M=-1.435e+001
15 23 29 -> ~55 fr=62 (0.4429), cf=0.969, gamma=1.222, delta=0.080, M=-1.417e+001
15 23 29 -> 56 fr=62 (0.4429), cf=0.969, gamma=1.222, delta=0.080, M=-1.417e+001
27 29 47 -> ~55 fr=86 (0.6143), cf=0.915, gamma=1.154, delta=0.082, M=-1.382e+001
1 27 29 -> ~55 fr=86 (0.6143), cf=0.915, gamma=1.154, delta=0.082, M=-1.382e+001
27 29 47 -> 56 fr=86 (0.6143), cf=0.915, gamma=1.154, delta=0.082, M=-1.382e+001
1 27 29 -> 56 fr=86 (0.6143), cf=0.915, gamma=1.154, delta=0.082, M=-1.382e+001
27 39 -> ~55 fr=89 (0.6357), cf=0.908, gamma=1.145, delta=0.081, M=-1.377e+001
27 39 -> 56 fr=89 (0.6357), cf=0.908, gamma=1.145, delta=0.081, M=-1.377e+001
15 27 29 -> ~55 fr=70 (0.5000), cf=0.946, gamma=1.193, delta=0.081, M=-1.339e+001
15 27 29 -> 56 fr=70 (0.5000), cf=0.946, gamma=1.193, delta=0.081, M=-1.339e+001
12 54 -> 55 fr=21 (0.1500), cf=0.447, gamma=2.157, delta=0.080, M=-1.331e+001
12 54 -> ~56 fr=21 (0.1500), cf=0.447, gamma=2.157, delta=0.080, M=-1.331e+001
30 53 -> ~55 fr=65 (0.4643), cf=0.956, gamma=1.206, delta=0.079, M=-1.327e+001
30 53 -> 56 fr=65 (0.4643), cf=0.956, gamma=1.206, delta=0.079, M=-1.327e+001
27 29 -> ~55 fr=96 (0.6857), cf=0.889, gamma=1.121, delta=0.074, M=-1.311e+001
27 29 -> 56 fr=96 (0.6857), cf=0.889, gamma=1.121, delta=0.074, M=-1.311e+001
47 53 -> ~55 fr=64 (0.4571), cf=0.955, gamma=1.205, delta=0.078, M=-1.287e+001
47 53 -> 56 fr=64 (0.4571), cf=0.955, gamma=1.205, delta=0.078, M=-1.287e+001
29 30 -> ~55 fr=93 (0.6643), cf=0.894, gamma=1.128, delta=0.075, M=-1.285e+001
29 30 -> 56 fr=93 (0.6643), cf=0.894, gamma=1.128, delta=0.075, M=-1.285e+001
15 17 27 -> ~55 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
15 17 27 -> 56 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
1 23 29 47 -> ~55 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
1 23 29 47 -> 56 fr=73 (0.5214), cf=0.936, gamma=1.180, delta=0.080, M=-1.285e+001
1 27 47 -> ~55 fr=84 (0.6000), cf=0.913, gamma=1.152, delta=0.079, M=-1.282e+001
1 27 47 -> 56 fr=84 (0.6000), cf=0.913, gamma=1.152, delta=0.079, M=-1.282e+001
27 -> ~55 fr=102 (0.7286), cf=0.872, gamma=1.100, delta=0.066, M=-1.263e+001
23 29 47 -> ~55 fr=80 (0.5714), cf=0.920, gamma=1.160, delta=0.079, M=-1.255e+001
23 29 47 -> 56 fr=80 (0.5714), cf=0.920, gamma=1.160, delta=0.079, M=-1.255e+001
39 53 -> ~55 fr=63 (0.4500), cf=0.955, gamma=1.204, delta=0.076, M=-1.248e+001
15 23 -> ~55 fr=63 (0.4500), cf=0.955, gamma=1.204, delta=0.076, M=-1.248e+001
39 53 -> 56 fr=63 (0.4500), cf=0.955, gamma=1.204, delta=0.076, M=-1.248e+001
15 23 -> 56 fr=63 (0.4500), cf=0.955, gamma=1.204, delta=0.076, M=-1.248e+001
6 12 -> 55 fr=27 (0.1929), cf=0.333, gamma=1.609, delta=0.073, M=-1.223e+001
6 12 -> ~56 fr=27 (0.1929), cf=0.333, gamma=1.609, delta=0.073, M=-1.223e+001
34 53 -> ~55 fr=50 (0.3571), cf=0.980, gamma=1.237, delta=0.068, M=-1.193e+001
34 53 -> 56 fr=50 (0.3571), cf=0.980, gamma=1.237, delta=0.068, M=-1.193e+001
6 14 -> 55 fr=21 (0.1500), cf=0.420, gamma=2.028, delta=0.076, M=-1.188e+001
6 14 -> ~56 fr=21 (0.1500), cf=0.420, gamma=2.028, delta=0.076, M=-1.188e+001
1 29 47 -> ~55 fr=82 (0.5857), cf=0.911, gamma=1.149, delta=0.076, M=-1.188e+001
1 29 47 -> 56 fr=82 (0.5857), cf=0.911, gamma=1.149, delta=0.076, M=-1.188e+001
6 11 54 -> 55 fr=22 (0.1571), cf=0.400, gamma=1.931, delta=0.076, M=-1.168e+001
23 30 47 -> ~55 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
1 23 29 -> ~55 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
6 11 54 -> ~56 fr=22 (0.1571), cf=0.400, gamma=1.931, delta=0.076, M=-1.168e+001
23 30 47 -> 56 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
1 23 29 -> 56 fr=78 (0.5571), cf=0.918, gamma=1.157, delta=0.076, M=-1.168e+001
15 17 29 -> ~55 fr=70 (0.5000), cf=0.933, gamma=1.177, delta=0.075, M=-1.162e+001
15 17 29 -> 56 fr=70 (0.5000), cf=0.933, gamma=1.177, delta=0.075, M=-1.162e+001
6 54 -> 55 fr=23 (0.1643), cf=0.383, gamma=1.851, delta=0.076, M=-1.159e+001
6 54 -> ~56 fr=23 (0.1643), cf=0.383, gamma=1.851, delta=0.076, M=-1.159e+001
30 47 -> ~55 fr=93 (0.6643), cf=0.886, gamma=1.117, delta=0.070, M=-1.136e+001
30 47 -> 56 fr=93 (0.6643), cf=0.886, gamma=1.117, delta=0.070, M=-1.136e+001
23 29 34 52 -> ~55 fr=39 (0.2786), cf=1.000, gamma=1.261, delta=0.058, M=-1.081e+001
23 29 34 52 -> 56 fr=39 (0.2786), cf=1.000, gamma=1.261, delta=0.058, M=-1.081e+001
1 53 -> ~55 fr=63 (0.4500), cf=0.940, gamma=1.186, delta=0.071, M=-1.067e+001
1 53 -> 56 fr=63 (0.4500), cf=0.940, gamma=1.186, delta=0.071, M=-1.067e+001
15 29 47 -> ~55 fr=63 (0.4500), cf=0.940, gamma=1.186, delta=0.071, M=-1.067e+001
15 29 47 -> 56 fr=63 (0.4500), cf=0.940, gamma=1.186, delta=0.071, M=-1.067e+001
15 17 -> ~55 fr=75 (0.5357), cf=0.915, gamma=1.154, delta=0.071, M=-1.046e+001
15 17 -> 56 fr=75 (0.5357), cf=0.915, gamma=1.154, delta=0.071, M=-1.046e+001
15 29 39 -> ~55 fr=62 (0.4429), cf=0.939, gamma=1.185, delta=0.069, M=-1.032e+001
15 29 39 -> 56 fr=62 (0.4429), cf=0.939, gamma=1.185, delta=0.069, M=-1.032e+001
11 54 -> 55 fr=22 (0.1571), cf=0.373, gamma=1.800, delta=0.070, M=-1.007e+001
11 54 -> ~56 fr=22 (0.1571), cf=0.373, gamma=1.800, delta=0.070, M=-1.007e+001
53 -> ~55 fr=70 (0.5000), cf=0.921, gamma=1.162, delta=0.070, M=-1.005e+001
53 -> 56 fr=70 (0.5000), cf=0.921, gamma=1.162, delta=0.070, M=-1.005e+001
15 29 -> ~55 fr=70 (0.5000), cf=0.921, gamma=1.162, delta=0.070, M=-1.005e+001
15 29 -> 56 fr=70 (0.5000), cf=0.921, gamma=1.162, delta=0.070, M=-1.005e+001
29 47 -> ~55 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
29 47 -> 56 fr=90 (0.6429), cf=0.882, gamma=1.113, delta=0.065, M=-9.847e+000
23 29 -> ~55 fr=87 (0.6214), cf=0.888, gamma=1.120, delta=0.066, M=-9.823e+000
23 29 -> 56 fr=87 (0.6214), cf=0.888, gamma=1.120, delta=0.066, M=-9.823e+000
30 -> ~55 fr=100 (0.7143), cf=0.862, gamma=1.087, delta=0.057, M=-9.770e+000
13 29 -> ~55 fr=43 (0.3071), cf=0.977, gamma=1.233, delta=0.058, M=-9.562e+000
13 29 -> 56 fr=43 (0.3071), cf=0.977, gamma=1.233, delta=0.058, M=-9.562e+000
11 14 -> 55 fr=19 (0.1357), cf=0.404, gamma=1.952, delta=0.066, M=-9.462e+000
11 14 -> ~56 fr=19 (0.1357), cf=0.404, gamma=1.952, delta=0.066, M=-9.462e+000
15 47 -> ~55 fr=68 (0.4857), cf=0.919, gamma=1.159, delta=0.067, M=-9.339e+000
15 47 -> 56 fr=68 (0.4857), cf=0.919, gamma=1.159, delta=0.067, M=-9.339e+000
15 -> ~55 fr=75 (0.5357), cf=0.904, gamma=1.140, delta=0.066, M=-9.055e+000
15 -> 56 fr=75 (0.5357), cf=0.904, gamma=1.140, delta=0.066, M=-9.055e+000
11 12 -> 55 fr=25 (0.1786), cf=0.321, gamma=1.547, delta=0.063, M=-8.970e+000
11 12 -> ~56 fr=25 (0.1786), cf=0.321, gamma=1.547, delta=0.063, M=-8.970e+000
23 34 47 52 -> ~55 fr=39 (0.2786), cf=0.975, gamma=1.230, delta=0.052, M=-8.311e+000
23 34 47 52 -> 56 fr=39 (0.2786), cf=0.975, gamma=1.230, delta=0.052, M=-8.311e+000
17 23 47 -> ~55 fr=69 (0.4929), cf=0.908, gamma=1.145, delta=0.062, M=-8.308e+000
17 23 47 -> 56 fr=69 (0.4929), cf=0.908, gamma=1.145, delta=0.062, M=-8.308e+000
13 -> ~55 fr=45 (0.3214), cf=0.957, gamma=1.208, delta=0.055, M=-8.215e+000
13 -> 56 fr=45 (0.3214), cf=0.957, gamma=1.208, delta=0.055, M=-8.215e+000
1 29 -> ~55 fr=89 (0.6357), cf=0.873, gamma=1.101, delta=0.058, M=-8.133e+000
1 29 -> 56 fr=89 (0.6357), cf=0.873, gamma=1.101, delta=0.058, M=-8.133e+000
23 47 -> ~55 fr=82 (0.5857), cf=0.882, gamma=1.112, delta=0.059, M=-7.823e+000
23 47 -> 56 fr=82 (0.5857), cf=0.882, gamma=1.112, delta=0.059, M=-7.823e+000
29 39 -> ~55 fr=88 (0.6286), cf=0.871, gamma=1.099, delta=0.057, M=-7.729e+000
29 39 -> 56 fr=88 (0.6286), cf=0.871, gamma=1.099, delta=0.057, M=-7.729e+000
1 47 -> ~55 fr=90 (0.6429), cf=0.865, gamma=1.091, delta=0.054, M=-7.360e+000
1 47 -> 56 fr=90 (0.6429), cf=0.865, gamma=1.091, delta=0.054, M=-7.360e+000
9 17 19 29 -> ~55 fr=42 (0.3000), cf=0.955, gamma=1.204, delta=0.051, M=-7.333e+000
9 17 19 29 -> 56 fr=42 (0.3000), cf=0.955, gamma=1.204, delta=0.051, M=-7.333e+000
9 17 29 -> ~55 fr=45 (0.3214), cf=0.938, gamma=1.182, delta=0.050, M=-6.619e+000
