1 27 29 30 -> ~55 fr=82 (0.5857), cf=0.953, gamma=1.203, delta=0.099, M=-1.925e+001
1 27 29 30 -> 56 fr=82 (0.5857), cf=0.953, gamma=1.203, delta=0.099, M=-1.925e+001
27 29 30 -> ~55 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
27 29 30 -> 56 fr=91 (0.6500), cf=0.929, gamma=1.171, delta=0.095, M=-1.855e+001
25 27 47 -> ~55 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 47 -> 56 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
15 17 27 29 -> ~55 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
15 17 27 29 -> 56 fr=71 (0.5071), cf=0.973, gamma=1.227, delta=0.094, M=-1.816e+001
25 27 29 -> ~55 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
25 27 29 -> 56 fr=80 (0.5714), cf=0.952, gamma=1.201, delta=0.096, M=-1.814e+001
23 29 30 -> ~55 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
23 29 30 -> 56 fr=83 (0.5929), cf=0.943, gamma=1.190, delta=0.094, M=-1.769e+001
25 29 30 -> ~55 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
25 29 30 -> 56 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
1 27 29 47 -> ~55 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
1 27 29 47 -> 56 fr=78 (0.5571), cf=0.951, gamma=1.200, delta=0.093, M=-1.709e+001
15 25 27 -> ~55 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
15 25 29 -> ~55 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
15 25 27 -> 56 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
15 25 29 -> 56 fr=63 (0.4500), cf=0.984, gamma=1.242, delta=0.088, M=-1.709e+001
1 27 30 -> ~55 fr=85 (0.6071), cf=0.934, gamma=1.178, delta=0.092, M=-1.684e+001
1 27 30 -> 56 fr=85 (0.6071), cf=0.934, gamma=1.178, delta=0.092, M=-1.684e+001
27 30 -> ~55 fr=94 (0.6714), cf=0.913, gamma=1.151, delta=0.088, M=-1.681e+001
27 30 -> 56 fr=94 (0.6714), cf=0.913, gamma=1.151, delta=0.088, M=-1.681e+001
25 27 34 -> ~55 fr=55 (0.3929), cf=1.000, gamma=1.261, delta=0.081, M=-1.677e+001
