1 -> ~85 fr=171 (0.5166), cf=0.872, gamma=1.382, delta=0.143, M=-6.470e+001
1 -> 84 fr=171 (0.5166), cf=0.872, gamma=1.382, delta=0.143, M=-6.470e+001
38 -> 85 fr=36 (0.1088), cf=0.837, gamma=2.271, delta=0.061, M=-2.478e+001
65 -> 84 fr=44 (0.1329), cf=0.957, gamma=1.515, delta=0.045, M=-1.683e+001
3 49 71 -> ~85 fr=53 (0.1601), cf=0.914, gamma=1.447, delta=0.049, M=-1.589e+001
3 49 71 -> 84 fr=53 (0.1601), cf=0.914, gamma=1.447, delta=0.049, M=-1.589e+001
3 49 -> ~85 fr=62 (0.1873), cf=0.886, gamma=1.403, delta=0.054, M=-1.581e+001
3 49 -> 84 fr=62 (0.1873), cf=0.886, gamma=1.403, delta=0.054, M=-1.581e+001
3 16 72 -> ~85 fr=89 (0.2689), cf=0.824, gamma=1.305, delta=0.063, M=-1.557e+001
3 16 72 -> 84 fr=89 (0.2689), cf=0.824, gamma=1.305, delta=0.063, M=-1.557e+001
5 49 71 -> ~85 fr=52 (0.1571), cf=0.912, gamma=1.445, delta=0.048, M=-1.542e+001
5 49 71 -> 84 fr=52 (0.1571), cf=0.912, gamma=1.445, delta=0.048, M=-1.542e+001
5 25 29 -> 85 fr=38 (0.1148), cf=0.679, gamma=1.841, delta=0.052, M=-1.528e+001
5 25 29 -> ~84 fr=38 (0.1148), cf=0.679, gamma=1.841, delta=0.052, M=-1.528e+001
5 25 -> 85 fr=66 (0.1994), cf=0.550, gamma=1.492, delta=0.066, M=-1.517e+001
5 25 -> ~84 fr=66 (0.1994), cf=0.550, gamma=1.492, delta=0.066, M=-1.517e+001
5 49 -> ~85 fr=60 (0.1813), cf=0.882, gamma=1.397, delta=0.052, M=-1.491e+001
5 49 -> 84 fr=60 (0.1813), cf=0.882, gamma=1.397, delta=0.052, M=-1.491e+001
16 -> ~85 fr=142 (0.4290), cf=0.747, gamma=1.184, delta=0.067, M=-1.489e+001
16 -> 84 fr=142 (0.4290), cf=0.747, gamma=1.184, delta=0.067, M=-1.489e+001
49 -> 84 fr=64 (0.1934), cf=0.865, gamma=1.370, delta=0.052, M=-1.424e+001
5 29 -> 85 fr=46 (0.1390), cf=0.605, gamma=1.642, delta=0.054, M=-1.342e+001
5 29 -> ~84 fr=46 (0.1390), cf=0.605, gamma=1.642, delta=0.054, M=-1.342e+001
3 25 35 -> 85 fr=60 (0.1813), cf=0.550, gamma=1.493, delta=0.060, M=-1.332e+001
3 25 35 -> ~84 fr=60 (0.1813), cf=0.550, gamma=1.493, delta=0.060, M=-1.332e+001
25 35 -> 85 fr=62 (0.1873), cf=0.544, gamma=1.476, delta=0.060, M=-1.328e+001
25 35 -> ~84 fr=62 (0.1873), cf=0.544, gamma=1.476, delta=0.060, M=-1.328e+001
3 25 29 -> 85 fr=38 (0.1148), cf=0.644, gamma=1.747, delta=0.049, M=-1.313e+001
3 25 29 -> ~84 fr=38 (0.1148), cf=0.644, gamma=1.747, delta=0.049, M=-1.313e+001
3 25 -> 85 fr=67 (0.2024), cf=0.528, gamma=1.431, delta=0.061, M=-1.307e+001
3 25 -> ~84 fr=67 (0.2024), cf=0.528, gamma=1.431, delta=0.061, M=-1.307e+001
3 27 -> ~85 fr=80 (0.2417), cf=0.816, gamma=1.293, delta=0.055, M=-1.278e+001
3 27 -> 84 fr=80 (0.2417), cf=0.816, gamma=1.293, delta=0.055, M=-1.278e+001
27 -> 84 fr=84 (0.2538), cf=0.808, gamma=1.279, delta=0.055, M=-1.260e+001
3 61 71 72 -> ~85 fr=45 (0.1360), cf=0.900, gamma=1.425, delta=0.041, M=-1.225e+001
3 61 71 72 -> 84 fr=45 (0.1360), cf=0.900, gamma=1.425, delta=0.041, M=-1.225e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.648, gamma=1.759, delta=0.046, M=-1.224e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.648, gamma=1.759, delta=0.046, M=-1.224e+001
3 71 79 -> ~85 fr=40 (0.1208), cf=0.909, gamma=1.440, delta=0.037, M=-1.147e+001
3 71 79 -> 84 fr=40 (0.1208), cf=0.909, gamma=1.440, delta=0.037, M=-1.147e+001
79 -> 84 fr=49 (0.1480), cf=0.875, gamma=1.386, delta=0.041, M=-1.141e+001
5 61 71 72 -> ~85 fr=43 (0.1299), cf=0.896, gamma=1.419, delta=0.038, M=-1.139e+001
5 61 71 72 -> 84 fr=43 (0.1299), cf=0.896, gamma=1.419, delta=0.038, M=-1.139e+001
61 71 72 -> ~85 fr=46 (0.1390), cf=0.885, gamma=1.401, delta=0.040, M=-1.137e+001
61 71 72 -> 84 fr=46 (0.1390), cf=0.885, gamma=1.401, delta=0.040, M=-1.137e+001
3 29 -> 85 fr=46 (0.1390), cf=0.575, gamma=1.560, delta=0.050, M=-1.126e+001
3 29 -> ~84 fr=46 (0.1390), cf=0.575, gamma=1.560, delta=0.050, M=-1.126e+001
3 46 71 -> ~85 fr=59 (0.1782), cf=0.843, gamma=1.335, delta=0.045, M=-1.111e+001
3 46 71 -> 84 fr=59 (0.1782), cf=0.843, gamma=1.335, delta=0.045, M=-1.111e+001
29 -> 85 fr=47 (0.1420), cf=0.566, gamma=1.536, delta=0.050, M=-1.092e+001
5 47 -> 85 fr=47 (0.1420), cf=0.566, gamma=1.536, delta=0.050, M=-1.092e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.566, gamma=1.536, delta=0.050, M=-1.092e+001
46 71 -> ~85 fr=61 (0.1843), cf=0.836, gamma=1.323, delta=0.045, M=-1.091e+001
46 71 -> 84 fr=61 (0.1843), cf=0.836, gamma=1.323, delta=0.045, M=-1.091e+001
3 61 71 -> ~85 fr=58 (0.1752), cf=0.841, gamma=1.331, delta=0.044, M=-1.072e+001
3 61 71 -> 84 fr=58 (0.1752), cf=0.841, gamma=1.331, delta=0.044, M=-1.072e+001
3 66 -> ~85 fr=70 (0.2115), cf=0.814, gamma=1.289, delta=0.047, M=-1.070e+001
3 66 -> 84 fr=70 (0.2115), cf=0.814, gamma=1.289, delta=0.047, M=-1.070e+001
61 71 -> ~85 fr=60 (0.1813), cf=0.833, gamma=1.320, delta=0.044, M=-1.053e+001
61 71 -> 84 fr=60 (0.1813), cf=0.833, gamma=1.320, delta=0.044, M=-1.053e+001
5 15 -> 85 fr=35 (0.1057), cf=0.614, gamma=1.666, delta=0.042, M=-1.038e+001
5 15 -> ~84 fr=35 (0.1057), cf=0.614, gamma=1.666, delta=0.042, M=-1.038e+001
46 -> 84 fr=68 (0.2054), cf=0.810, gamma=1.282, delta=0.045, M=-9.978e+000
5 66 -> ~85 fr=68 (0.2054), cf=0.810, gamma=1.282, delta=0.045, M=-9.978e+000
