2 16 -> ~157 fr=193 (0.6127), cf=0.865, gamma=1.350, delta=0.159, M=-8.951e+001
2 16 -> 156 fr=193 (0.6127), cf=0.865, gamma=1.350, delta=0.159, M=-8.951e+001
11 16 -> ~157 fr=179 (0.5683), cf=0.904, gamma=1.410, delta=0.165, M=-8.666e+001
11 16 -> 156 fr=179 (0.5683), cf=0.904, gamma=1.410, delta=0.165, M=-8.666e+001
16 124 -> ~157 fr=176 (0.5587), cf=0.903, gamma=1.407, delta=0.162, M=-8.227e+001
16 124 -> 156 fr=176 (0.5587), cf=0.903, gamma=1.407, delta=0.162, M=-8.227e+001
16 121 -> ~157 fr=150 (0.4762), cf=0.938, gamma=1.462, delta=0.150, M=-7.094e+001
16 121 -> 156 fr=150 (0.4762), cf=0.938, gamma=1.462, delta=0.150, M=-7.094e+001
13 -> 157 fr=63 (0.2000), cf=0.955, gamma=2.661, delta=0.125, M=-6.968e+001
16 131 -> ~157 fr=143 (0.4540), cf=0.929, gamma=1.448, delta=0.140, M=-6.190e+001
16 131 -> 156 fr=143 (0.4540), cf=0.929, gamma=1.448, delta=0.140, M=-6.190e+001
7 11 -> ~157 fr=153 (0.4857), cf=0.905, gamma=1.412, delta=0.142, M=-6.131e+001
7 11 -> 156 fr=153 (0.4857), cf=0.905, gamma=1.412, delta=0.142, M=-6.131e+001
16 -> ~157 fr=193 (0.6127), cf=0.804, gamma=1.254, delta=0.124, M=-6.098e+001
121 131 141 -> ~157 fr=137 (0.4349), cf=0.938, gamma=1.463, delta=0.138, M=-6.086e+001
121 131 141 -> 156 fr=137 (0.4349), cf=0.938, gamma=1.463, delta=0.138, M=-6.086e+001
121 141 150 -> ~157 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
121 141 150 -> 156 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
2 11 124 141 150 -> ~157 fr=139 (0.4413), cf=0.933, gamma=1.455, delta=0.138, M=-6.042e+001
