2 11 16 -> ~157 fr=176 (0.5552), cf=0.912, gamma=1.424, delta=0.165, M=-8.620e+001
2 11 16 -> 156 fr=176 (0.5552), cf=0.912, gamma=1.424, delta=0.165, M=-8.620e+001
16 124 -> ~157 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
16 124 -> 156 fr=177 (0.5584), cf=0.908, gamma=1.417, delta=0.164, M=-8.549e+001
2 16 -> ~157 fr=192 (0.6057), cf=0.861, gamma=1.344, delta=0.155, M=-8.477e+001
2 16 -> 156 fr=192 (0.6057), cf=0.861, gamma=1.344, delta=0.155, M=-8.477e+001
11 16 -> ~157 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
11 16 -> 156 fr=176 (0.5552), cf=0.903, gamma=1.409, delta=0.161, M=-8.199e+001
13 -> 157 fr=65 (0.2050), cf=0.942, gamma=2.620, delta=0.127, M=-6.981e+001
16 121 -> ~157 fr=148 (0.4669), cf=0.937, gamma=1.463, delta=0.148, M=-6.891e+001
16 121 -> 156 fr=148 (0.4669), cf=0.937, gamma=1.463, delta=0.148, M=-6.891e+001
11 124 141 150 -> ~157 fr=139 (0.4385), cf=0.939, gamma=1.467, delta=0.140, M=-6.268e+001
11 124 141 150 -> 156 fr=139 (0.4385), cf=0.939, gamma=1.467, delta=0.140, M=-6.268e+001
11 124 141 -> ~157 fr=146 (0.4606), cf=0.924, gamma=1.443, delta=0.141, M=-6.258e+001
11 124 141 -> 156 fr=146 (0.4606), cf=0.924, gamma=1.443, delta=0.141, M=-6.258e+001
16 131 -> ~157 fr=141 (0.4448), cf=0.934, gamma=1.458, delta=0.140, M=-6.225e+001
16 131 -> 156 fr=141 (0.4448), cf=0.934, gamma=1.458, delta=0.140, M=-6.225e+001
121 131 141 -> ~157 fr=138 (0.4353), cf=0.939, gamma=1.466, delta=0.138, M=-6.178e+001
121 131 141 -> 156 fr=138 (0.4353), cf=0.939, gamma=1.466, delta=0.138, M=-6.178e+001
2 11 141 -> ~157 fr=153 (0.4826), cf=0.905, gamma=1.414, delta=0.141, M=-6.128e+001
2 11 141 -> 156 fr=153 (0.4826), cf=0.905, gamma=1.414, delta=0.141, M=-6.128e+001
121 141 -> ~157 fr=146 (0.4606), cf=0.918, gamma=1.434, delta=0.139, M=-6.052e+001
121 141 -> 156 fr=146 (0.4606), cf=0.918, gamma=1.434, delta=0.139, M=-6.052e+001
7 11 -> ~157 fr=148 (0.4669), cf=0.914, gamma=1.427, delta=0.140, M=-6.038e+001
7 11 -> 156 fr=148 (0.4669), cf=0.914, gamma=1.427, delta=0.140, M=-6.038e+001
131 141 -> ~157 fr=145 (0.4574), cf=0.918, gamma=1.433, delta=0.138, M=-5.959e+001
131 141 -> 156 fr=145 (0.4574), cf=0.918, gamma=1.433, delta=0.138, M=-5.959e+001
124 141 -> ~157 fr=160 (0.5047), cf=0.884, gamma=1.380, delta=0.139, M=-5.911e+001
124 141 -> 156 fr=160 (0.5047), cf=0.884, gamma=1.380, delta=0.139, M=-5.911e+001
22 -> 157 fr=56 (0.1767), cf=0.949, gamma=2.639, delta=0.110, M=-5.892e+001
121 131 -> ~157 fr=141 (0.4448), cf=0.922, gamma=1.439, delta=0.136, M=-5.801e+001
121 131 -> 156 fr=141 (0.4448), cf=0.922, gamma=1.439, delta=0.136, M=-5.801e+001
16 -> ~157 fr=192 (0.6057), cf=0.800, gamma=1.249, delta=0.121, M=-5.708e+001
11 25 34 -> ~157 fr=132 (0.4164), cf=0.936, gamma=1.462, delta=0.132, M=-5.658e+001
11 25 34 -> 156 fr=132 (0.4164), cf=0.936, gamma=1.462, delta=0.132, M=-5.658e+001
7 124 -> ~157 fr=145 (0.4574), cf=0.906, gamma=1.415, delta=0.134, M=-5.570e+001
7 124 -> 156 fr=145 (0.4574), cf=0.906, gamma=1.415, delta=0.134, M=-5.570e+001
131 -> ~157 fr=148 (0.4669), cf=0.897, gamma=1.401, delta=0.134, M=-5.471e+001
131 -> 156 fr=148 (0.4669), cf=0.897, gamma=1.401, delta=0.134, M=-5.471e+001
102 111 121 -> ~157 fr=127 (0.4006), cf=0.941, gamma=1.469, delta=0.128, M=-5.467e+001
102 111 121 -> 156 fr=127 (0.4006), cf=0.941, gamma=1.469, delta=0.128, M=-5.467e+001
102 111 -> ~157 fr=132 (0.4164), cf=0.930, gamma=1.452, delta=0.130, M=-5.444e+001
102 111 -> 156 fr=132 (0.4164), cf=0.930, gamma=1.452, delta=0.130, M=-5.444e+001
11 141 -> ~157 fr=153 (0.4826), cf=0.884, gamma=1.381, delta=0.133, M=-5.402e+001
11 141 -> 156 fr=153 (0.4826), cf=0.884, gamma=1.381, delta=0.133, M=-5.402e+001
2 11 124 -> ~157 fr=172 (0.5426), cf=0.843, gamma=1.317, delta=0.130, M=-5.396e+001
2 11 124 -> 156 fr=172 (0.5426), cf=0.843, gamma=1.317, delta=0.130, M=-5.396e+001
11 124 -> ~157 fr=172 (0.5426), cf=0.839, gamma=1.310, delta=0.128, M=-5.245e+001
11 124 -> 156 fr=172 (0.5426), cf=0.839, gamma=1.310, delta=0.128, M=-5.245e+001
2 11 25 -> ~157 fr=134 (0.4227), cf=0.918, gamma=1.433, delta=0.128, M=-5.204e+001
2 11 25 -> 156 fr=134 (0.4227), cf=0.918, gamma=1.433, delta=0.128, M=-5.204e+001
102 121 -> ~157 fr=138 (0.4353), cf=0.908, gamma=1.418, delta=0.128, M=-5.154e+001
102 121 -> 156 fr=138 (0.4353), cf=0.908, gamma=1.418, delta=0.128, M=-5.154e+001
122 -> 157 fr=70 (0.2208), cf=0.787, gamma=2.187, delta=0.120, M=-5.093e+001
2 11 34 -> ~157 fr=157 (0.4953), cf=0.863, gamma=1.347, delta=0.128, M=-4.957e+001
2 11 34 -> 156 fr=157 (0.4953), cf=0.863, gamma=1.347, delta=0.128, M=-4.957e+001
2 124 -> ~157 fr=188 (0.5931), cf=0.793, gamma=1.239, delta=0.114, M=-4.948e+001
2 124 -> 156 fr=188 (0.5931), cf=0.793, gamma=1.239, delta=0.114, M=-4.948e+001
2 11 -> ~157 fr=186 (0.5868), cf=0.798, gamma=1.247, delta=0.116, M=-4.944e+001
2 11 -> 156 fr=186 (0.5868), cf=0.798, gamma=1.247, delta=0.116, M=-4.944e+001
