23 -> 90 fr=3421 (0.4678), cf=1.000, gamma=2.075, delta=0.242, M=-4.583e+003
22 -> ~90 fr=3788 (0.5180), cf=0.973, gamma=1.879, delta=0.242, M=-4.583e+003
21 26 63 -> 90 fr=2865 (0.3918), cf=0.952, gamma=1.975, delta=0.193, M=-2.645e+003
21 26 63 -> ~89 fr=2865 (0.3918), cf=0.952, gamma=1.975, delta=0.193, M=-2.645e+003
21 25 26 66 -> 90 fr=2835 (0.3877), cf=0.956, gamma=1.984, delta=0.192, M=-2.634e+003
21 25 26 66 -> ~89 fr=2835 (0.3877), cf=0.956, gamma=1.984, delta=0.192, M=-2.634e+003
21 25 26 -> 90 fr=2849 (0.3896), cf=0.952, gamma=1.975, delta=0.192, M=-2.616e+003
21 25 26 -> ~89 fr=2849 (0.3896), cf=0.952, gamma=1.975, delta=0.192, M=-2.616e+003
28 47 -> ~90 fr=3029 (0.4142), cf=0.942, gamma=1.818, delta=0.186, M=-2.388e+003
28 47 -> 89 fr=3029 (0.4142), cf=0.942, gamma=1.818, delta=0.186, M=-2.388e+003
21 26 -> 90 fr=2865 (0.3918), cf=0.901, gamma=1.870, delta=0.182, M=-2.227e+003
21 26 -> ~89 fr=2865 (0.3918), cf=0.901, gamma=1.870, delta=0.182, M=-2.227e+003
28 51 -> ~90 fr=2867 (0.3920), cf=0.937, gamma=1.808, delta=0.175, M=-2.122e+003
28 51 -> 89 fr=2867 (0.3920), cf=0.937, gamma=1.808, delta=0.175, M=-2.122e+003
26 46 -> 90 fr=1995 (0.2728), cf=1.000, gamma=2.075, delta=0.141, M=-1.873e+003
26 46 -> ~89 fr=1995 (0.2728), cf=1.000, gamma=2.075, delta=0.141, M=-1.873e+003
46 66 -> 90 fr=1965 (0.2687), cf=1.000, gamma=2.075, delta=0.139, M=-1.836e+003
46 66 -> ~89 fr=1965 (0.2687), cf=1.000, gamma=2.075, delta=0.139, M=-1.836e+003
26 50 -> 90 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
50 66 -> 90 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
26 50 -> ~89 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
50 66 -> ~89 fr=1935 (0.2646), cf=1.000, gamma=2.075, delta=0.137, M=-1.799e+003
21 25 80 -> 90 fr=2242 (0.3066), cf=0.953, gamma=1.977, delta=0.151, M=-1.784e+003
21 63 80 -> 90 fr=2242 (0.3066), cf=0.953, gamma=1.977, delta=0.151, M=-1.784e+003
21 25 80 -> ~89 fr=2242 (0.3066), cf=0.953, gamma=1.977, delta=0.151, M=-1.784e+003
21 63 80 -> ~89 fr=2242 (0.3066), cf=0.953, gamma=1.977, delta=0.151, M=-1.784e+003
28 71 -> ~90 fr=2669 (0.3650), cf=0.893, gamma=1.724, delta=0.153, M=-1.580e+003
28 71 -> 89 fr=2669 (0.3650), cf=0.893, gamma=1.724, delta=0.153, M=-1.580e+003
21 80 -> 90 fr=2242 (0.3066), cf=0.918, gamma=1.905, delta=0.146, M=-1.569e+003
21 80 -> ~89 fr=2242 (0.3066), cf=0.918, gamma=1.905, delta=0.146, M=-1.569e+003
21 25 66 -> 90 fr=2932 (0.4009), cf=0.774, gamma=1.605, delta=0.151, M=-1.444e+003
21 25 66 -> ~89 fr=2932 (0.4009), cf=0.774, gamma=1.605, delta=0.151, M=-1.444e+003
21 63 66 -> 90 fr=2926 (0.4001), cf=0.773, gamma=1.604, delta=0.151, M=-1.435e+003
21 63 66 -> ~89 fr=2926 (0.4001), cf=0.773, gamma=1.604, delta=0.151, M=-1.435e+003
46 -> 90 fr=1995 (0.2728), cf=0.938, gamma=1.945, delta=0.133, M=-1.424e+003
26 29 76 -> 90 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 29 76 -> ~89 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 66 76 -> 90 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 66 76 -> ~89 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 29 68 -> 90 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 29 68 -> ~89 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 68 80 -> 90 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 66 68 -> 90 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 68 80 -> ~89 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
26 66 68 -> ~89 fr=1584 (0.2166), cf=1.000, gamma=2.075, delta=0.112, M=-1.396e+003
32 -> 90 fr=1574 (0.2152), cf=1.000, gamma=2.075, delta=0.111, M=-1.385e+003
40 76 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
40 76 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
29 40 68 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
29 40 68 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
21 29 40 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
26 29 40 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
21 29 40 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
26 29 40 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
40 68 80 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
26 40 68 -> 90 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
40 68 80 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
26 40 68 -> ~89 fr=1554 (0.2125), cf=1.000, gamma=2.075, delta=0.110, M=-1.364e+003
50 -> 90 fr=1935 (0.2646), cf=0.937, gamma=1.944, delta=0.128, M=-1.363e+003
26 29 -> 90 fr=1911 (0.2613), cf=0.937, gamma=1.943, delta=0.127, M=-1.338e+003
26 29 -> ~89 fr=1911 (0.2613), cf=0.937, gamma=1.943, delta=0.127, M=-1.338e+003
26 76 80 -> 90 fr=1584 (0.2166), cf=0.991, gamma=2.056, delta=0.111, M=-1.324e+003
26 76 80 -> ~89 fr=1584 (0.2166), cf=0.991, gamma=2.056, delta=0.111, M=-1.324e+003
20 88 -> ~90 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
20 88 -> 89 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
40 41 88 -> ~90 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
40 41 88 -> 89 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
40 71 88 -> ~90 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
40 71 88 -> 89 fr=1643 (0.2247), cf=1.000, gamma=1.931, delta=0.108, M=-1.304e+003
41 75 -> 90 fr=1481 (0.2025), cf=1.000, gamma=2.075, delta=0.105, M=-1.286e+003
41 75 -> ~89 fr=1481 (0.2025), cf=1.000, gamma=2.075, delta=0.105, M=-1.286e+003
28 75 -> 90 fr=1481 (0.2025), cf=1.000, gamma=2.075, delta=0.105, M=-1.286e+003
28 75 -> ~89 fr=1481 (0.2025), cf=1.000, gamma=2.075, delta=0.105, M=-1.286e+003
20 28 -> ~90 fr=2400 (0.3282), cf=0.883, gamma=1.704, delta=0.136, M=-1.270e+003
20 28 -> 89 fr=2400 (0.3282), cf=0.883, gamma=1.704, delta=0.136, M=-1.270e+003
21 66 -> 90 fr=2932 (0.4009), cf=0.740, gamma=1.536, delta=0.140, M=-1.236e+003
21 66 -> ~89 fr=2932 (0.4009), cf=0.740, gamma=1.536, delta=0.140, M=-1.236e+003
29 76 -> 90 fr=1596 (0.2182), cf=0.973, gamma=2.019, delta=0.110, M=-1.228e+003
29 76 -> ~89 fr=1596 (0.2182), cf=0.973, gamma=2.019, delta=0.110, M=-1.228e+003
66 76 -> 90 fr=1596 (0.2182), cf=0.973, gamma=2.019, delta=0.110, M=-1.228e+003
66 76 -> ~89 fr=1596 (0.2182), cf=0.973, gamma=2.019, delta=0.110, M=-1.228e+003
29 68 -> 90 fr=1590 (0.2174), cf=0.973, gamma=2.019, delta=0.110, M=-1.221e+003
