1 10 15 19 28 35 -> 42 fr=4358 (0.8842), cf=0.945, gamma=1.053, delta=0.045, M=-4.903e+002
1 15 19 28 35 -> 42 fr=4358 (0.8842), cf=0.945, gamma=1.053, delta=0.044, M=-4.876e+002
10 15 19 28 35 -> 42 fr=4358 (0.8842), cf=0.944, gamma=1.053, delta=0.044, M=-4.850e+002
15 19 28 35 -> 42 fr=4358 (0.8842), cf=0.944, gamma=1.052, delta=0.044, M=-4.823e+002
1 10 15 19 28 31 -> 42 fr=4358 (0.8842), cf=0.943, gamma=1.052, delta=0.043, M=-4.744e+002
1 15 19 28 31 -> 42 fr=4358 (0.8842), cf=0.943, gamma=1.051, delta=0.043, M=-4.717e+002
10 15 19 28 31 -> 42 fr=4358 (0.8842), cf=0.943, gamma=1.051, delta=0.043, M=-4.691e+002
15 19 28 31 -> 42 fr=4358 (0.8842), cf=0.943, gamma=1.051, delta=0.043, M=-4.665e+002
1 10 15 19 28 -> 42 fr=4361 (0.8848), cf=0.943, gamma=1.051, delta=0.043, M=-4.657e+002
1 10 15 19 35 -> 42 fr=4363 (0.8852), cf=0.942, gamma=1.050, delta=0.042, M=-4.610e+002
1 15 19 35 -> 42 fr=4363 (0.8852), cf=0.942, gamma=1.050, delta=0.042, M=-4.583e+002
10 15 19 28 38 -> 42 fr=4361 (0.8848), cf=0.942, gamma=1.050, delta=0.042, M=-4.579e+002
10 15 19 28 -> 42 fr=4361 (0.8848), cf=0.942, gamma=1.050, delta=0.042, M=-4.553e+002
10 15 19 35 -> 42 fr=4363 (0.8852), cf=0.941, gamma=1.049, delta=0.042, M=-4.531e+002
1 15 19 28 -> 42 fr=4361 (0.8848), cf=0.941, gamma=1.049, delta=0.041, M=-4.501e+002
15 19 35 -> 42 fr=4363 (0.8852), cf=0.941, gamma=1.049, delta=0.041, M=-4.479e+002
1 10 15 19 31 -> 42 fr=4363 (0.8852), cf=0.941, gamma=1.049, delta=0.041, M=-4.453e+002
1 15 19 31 -> 42 fr=4363 (0.8852), cf=0.941, gamma=1.048, delta=0.041, M=-4.427e+002
15 19 28 38 -> 42 fr=4361 (0.8848), cf=0.940, gamma=1.048, delta=0.041, M=-4.397e+002
10 15 19 31 -> 42 fr=4363 (0.8852), cf=0.940, gamma=1.048, delta=0.040, M=-4.375e+002
15 19 28 -> 42 fr=4361 (0.8848), cf=0.940, gamma=1.048, delta=0.041, M=-4.371e+002
1 10 15 19 -> 42 fr=4366 (0.8858), cf=0.940, gamma=1.047, delta=0.040, M=-4.369e+002
