1 15 19 28 35 -> 42 fr=4358 (0.8849), cf=0.946, gamma=1.053, delta=0.045, M=-4.928e+002
15 19 28 35 -> 42 fr=4358 (0.8849), cf=0.945, gamma=1.053, delta=0.044, M=-4.874e+002
1 10 15 19 28 31 -> 42 fr=4359 (0.8851), cf=0.945, gamma=1.052, delta=0.044, M=-4.809e+002
1 15 19 28 31 -> 42 fr=4359 (0.8851), cf=0.944, gamma=1.052, delta=0.044, M=-4.783e+002
10 15 19 28 31 -> 42 fr=4359 (0.8851), cf=0.944, gamma=1.052, delta=0.043, M=-4.756e+002
1 10 15 19 28 -> 42 fr=4361 (0.8855), cf=0.944, gamma=1.051, delta=0.043, M=-4.734e+002
15 19 28 31 -> 42 fr=4359 (0.8851), cf=0.944, gamma=1.051, delta=0.043, M=-4.730e+002
10 15 19 28 38 -> 42 fr=4361 (0.8855), cf=0.943, gamma=1.050, delta=0.042, M=-4.654e+002
10 15 19 28 -> 42 fr=4361 (0.8855), cf=0.943, gamma=1.050, delta=0.042, M=-4.628e+002
1 15 19 35 -> 42 fr=4362 (0.8857), cf=0.943, gamma=1.050, delta=0.042, M=-4.617e+002
1 15 19 28 -> 42 fr=4361 (0.8855), cf=0.943, gamma=1.050, delta=0.042, M=-4.602e+002
10 15 19 35 -> 42 fr=4362 (0.8857), cf=0.942, gamma=1.049, delta=0.042, M=-4.538e+002
15 19 35 -> 42 fr=4362 (0.8857), cf=0.942, gamma=1.049, delta=0.041, M=-4.512e+002
1 10 15 19 31 -> 42 fr=4363 (0.8859), cf=0.942, gamma=1.049, delta=0.041, M=-4.501e+002
15 19 28 38 -> 42 fr=4361 (0.8855), cf=0.942, gamma=1.049, delta=0.041, M=-4.497e+002
1 15 19 31 -> 42 fr=4363 (0.8859), cf=0.942, gamma=1.049, delta=0.041, M=-4.475e+002
15 19 28 -> 42 fr=4361 (0.8855), cf=0.942, gamma=1.049, delta=0.041, M=-4.471e+002
1 10 15 19 -> 42 fr=4365 (0.8863), cf=0.941, gamma=1.048, delta=0.041, M=-4.428e+002
10 15 19 31 -> 42 fr=4363 (0.8859), cf=0.941, gamma=1.048, delta=0.041, M=-4.423e+002
15 19 31 38 -> 42 fr=4363 (0.8859), cf=0.941, gamma=1.048, delta=0.040, M=-4.371e+002
15 19 31 -> 42 fr=4363 (0.8859), cf=0.941, gamma=1.047, delta=0.040, M=-4.345e+002
10 15 19 38 -> 42 fr=4365 (0.8863), cf=0.940, gamma=1.047, delta=0.040, M=-4.324e+002
1 15 19 -> 42 fr=4365 (0.8863), cf=0.940, gamma=1.047, delta=0.040, M=-4.298e+002
10 15 19 -> 42 fr=4365 (0.8863), cf=0.940, gamma=1.047, delta=0.040, M=-4.298e+002
15 19 38 -> 42 fr=4365 (0.8863), cf=0.939, gamma=1.045, delta=0.039, M=-4.143e+002
15 19 -> 42 fr=4365 (0.8863), cf=0.938, gamma=1.045, delta=0.038, M=-4.041e+002
1 19 28 35 -> 42 fr=4369 (0.8871), cf=0.937, gamma=1.043, delta=0.037, M=-3.924e+002
19 28 35 -> 42 fr=4369 (0.8871), cf=0.936, gamma=1.043, delta=0.036, M=-3.874e+002
1 10 19 28 31 -> 42 fr=4370 (0.8873), cf=0.936, gamma=1.042, delta=0.036, M=-3.813e+002
1 19 28 31 -> 42 fr=4370 (0.8873), cf=0.935, gamma=1.042, delta=0.036, M=-3.788e+002
10 19 28 31 -> 42 fr=4370 (0.8873), cf=0.935, gamma=1.042, delta=0.035, M=-3.763e+002
1 10 19 28 -> 42 fr=4372 (0.8877), cf=0.935, gamma=1.041, delta=0.035, M=-3.743e+002
19 28 31 -> 42 fr=4370 (0.8873), cf=0.935, gamma=1.041, delta=0.035, M=-3.738e+002
10 19 28 38 -> 42 fr=4372 (0.8877), cf=0.934, gamma=1.040, delta=0.035, M=-3.668e+002
10 19 28 -> 42 fr=4372 (0.8877), cf=0.934, gamma=1.040, delta=0.034, M=-3.643e+002
1 19 35 -> 42 fr=4373 (0.8879), cf=0.934, gamma=1.040, delta=0.034, M=-3.634e+002
1 19 28 -> 42 fr=4372 (0.8877), cf=0.934, gamma=1.040, delta=0.034, M=-3.619e+002
10 19 35 -> 42 fr=4373 (0.8879), cf=0.933, gamma=1.039, delta=0.034, M=-3.559e+002
19 35 -> 42 fr=4373 (0.8879), cf=0.933, gamma=1.039, delta=0.033, M=-3.535e+002
1 10 19 31 -> 42 fr=4374 (0.8881), cf=0.933, gamma=1.039, delta=0.033, M=-3.525e+002
19 28 38 -> 42 fr=4372 (0.8877), cf=0.933, gamma=1.039, delta=0.033, M=-3.520e+002
1 19 31 -> 42 fr=4374 (0.8881), cf=0.933, gamma=1.039, delta=0.033, M=-3.500e+002
19 28 -> 42 fr=4372 (0.8877), cf=0.933, gamma=1.039, delta=0.033, M=-3.495e+002
1 10 19 -> 42 fr=4376 (0.8885), cf=0.932, gamma=1.038, delta=0.033, M=-3.457e+002
10 19 31 -> 42 fr=4374 (0.8881), cf=0.932, gamma=1.038, delta=0.033, M=-3.451e+002
19 31 38 -> 42 fr=4374 (0.8881), cf=0.932, gamma=1.038, delta=0.032, M=-3.402e+002
19 31 -> 42 fr=4374 (0.8881), cf=0.932, gamma=1.038, delta=0.032, M=-3.377e+002
10 19 38 -> 42 fr=4376 (0.8885), cf=0.931, gamma=1.037, delta=0.032, M=-3.358e+002
1 19 -> 42 fr=4376 (0.8885), cf=0.931, gamma=1.037, delta=0.032, M=-3.334e+002
10 19 -> 42 fr=4376 (0.8885), cf=0.931, gamma=1.037, delta=0.032, M=-3.334e+002
19 38 -> 42 fr=4376 (0.8885), cf=0.930, gamma=1.036, delta=0.031, M=-3.188e+002
15 19 28 -> ~43 fr=4495 (0.9127), cf=0.971, gamma=1.033, delta=0.029, M=-3.054e+002
15 19 -> ~43 fr=4513 (0.9163), cf=0.970, gamma=1.032, delta=0.028, M=-3.049e+002
6 19 28 -> ~43 fr=4415 (0.8964), cf=0.968, gamma=1.030, delta=0.026, M=-2.343e+002
6 19 -> ~43 fr=4433 (0.9001), cf=0.967, gamma=1.029, delta=0.026, M=-2.307e+002
1 15 28 31 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.150e+002
1 15 28 35 -> 42 fr=4404 (0.8942), cf=0.918, gamma=1.023, delta=0.020, M=-2.145e+002
15 28 31 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.103e+002
15 28 35 -> 42 fr=4404 (0.8942), cf=0.918, gamma=1.022, delta=0.019, M=-2.098e+002
1 10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.022, delta=0.019, M=-2.069e+002
1 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.021, delta=0.019, M=-2.046e+002
10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.021, delta=0.019, M=-2.023e+002
15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.021, delta=0.018, M=-1.999e+002
1 10 15 28 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.021, delta=0.018, M=-1.990e+002
19 28 -> ~43 fr=4506 (0.9149), cf=0.961, gamma=1.023, delta=0.020, M=-1.906e+002
1 15 31 35 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.020, delta=0.017, M=-1.897e+002
10 15 28 38 -> 42 fr=4407 (0.8948), cf=0.916, gamma=1.020, delta=0.017, M=-1.897e+002
