5 23 -> ~38 fr=390 (0.5636), cf=0.778, gamma=1.197, delta=0.093, M=-6.641e+001
5 23 -> 37 fr=390 (0.5636), cf=0.778, gamma=1.197, delta=0.093, M=-6.641e+001
1 5 9 19 27 -> ~38 fr=338 (0.4884), cf=0.811, gamma=1.246, delta=0.097, M=-6.203e+001
1 5 9 19 27 -> 37 fr=338 (0.4884), cf=0.811, gamma=1.246, delta=0.097, M=-6.203e+001
1 5 9 19 -> ~38 fr=357 (0.5159), cf=0.797, gamma=1.225, delta=0.095, M=-6.203e+001
1 5 9 19 -> 37 fr=357 (0.5159), cf=0.797, gamma=1.225, delta=0.095, M=-6.203e+001
1 5 19 -> ~38 fr=365 (0.5275), cf=0.790, gamma=1.215, delta=0.093, M=-6.137e+001
1 5 19 -> 37 fr=365 (0.5275), cf=0.790, gamma=1.215, delta=0.093, M=-6.137e+001
1 5 9 -> ~38 fr=359 (0.5188), cf=0.794, gamma=1.221, delta=0.094, M=-6.128e+001
1 5 9 -> 37 fr=359 (0.5188), cf=0.794, gamma=1.221, delta=0.094, M=-6.128e+001
1 5 -> ~38 fr=367 (0.5303), cf=0.788, gamma=1.211, delta=0.092, M=-6.070e+001
1 5 -> 37 fr=367 (0.5303), cf=0.788, gamma=1.211, delta=0.092, M=-6.070e+001
5 -> ~38 fr=397 (0.5737), cf=0.765, gamma=1.176, delta=0.086, M=-6.061e+001
8 -> 38 fr=96 (0.1387), cf=0.762, gamma=2.179, delta=0.075, M=-5.781e+001
1 19 23 27 -> ~38 fr=374 (0.5405), cf=0.719, gamma=1.106, delta=0.052, M=-2.337e+001
1 19 23 27 -> 37 fr=374 (0.5405), cf=0.719, gamma=1.106, delta=0.052, M=-2.337e+001
1 14 19 23 32 -> ~38 fr=330 (0.4769), cf=0.735, gamma=1.130, delta=0.055, M=-2.212e+001
1 14 19 23 32 -> 37 fr=330 (0.4769), cf=0.735, gamma=1.130, delta=0.055, M=-2.212e+001
1 23 27 32 -> ~38 fr=343 (0.4957), cf=0.727, gamma=1.117, delta=0.052, M=-2.090e+001
1 23 27 32 -> 37 fr=343 (0.4957), cf=0.727, gamma=1.117, delta=0.052, M=-2.090e+001
1 14 19 23 -> ~38 fr=367 (0.5303), cf=0.717, gamma=1.102, delta=0.049, M=-2.077e+001
1 14 19 23 -> 37 fr=367 (0.5303), cf=0.717, gamma=1.102, delta=0.049, M=-2.077e+001
1 19 23 32 -> ~38 fr=358 (0.5173), cf=0.720, gamma=1.108, delta=0.050, M=-2.073e+001
1 19 23 32 -> 37 fr=358 (0.5173), cf=0.720, gamma=1.108, delta=0.050, M=-2.073e+001
1 19 23 -> ~38 fr=396 (0.5723), cf=0.703, gamma=1.082, delta=0.043, M=-2.007e+001
1 19 23 -> 37 fr=396 (0.5723), cf=0.703, gamma=1.082, delta=0.043, M=-2.007e+001
1 14 19 27 32 -> ~38 fr=314 (0.4538), cf=0.735, gamma=1.131, delta=0.052, M=-1.981e+001
1 14 19 27 32 -> 37 fr=314 (0.4538), cf=0.735, gamma=1.131, delta=0.052, M=-1.981e+001
1 14 19 27 -> ~38 fr=352 (0.5087), cf=0.720, gamma=1.107, delta=0.049, M=-1.951e+001
1 14 19 27 -> 37 fr=352 (0.5087), cf=0.720, gamma=1.107, delta=0.049, M=-1.951e+001
1 14 23 32 -> ~38 fr=334 (0.4827), cf=0.726, gamma=1.117, delta=0.050, M=-1.925e+001
1 14 19 32 -> ~38 fr=334 (0.4827), cf=0.726, gamma=1.117, delta=0.050, M=-1.925e+001
1 14 23 32 -> 37 fr=334 (0.4827), cf=0.726, gamma=1.117, delta=0.050, M=-1.925e+001
1 14 19 32 -> 37 fr=334 (0.4827), cf=0.726, gamma=1.117, delta=0.050, M=-1.925e+001
1 14 19 -> ~38 fr=373 (0.5390), cf=0.710, gamma=1.093, delta=0.046, M=-1.894e+001
1 14 19 -> 37 fr=373 (0.5390), cf=0.710, gamma=1.093, delta=0.046, M=-1.894e+001
1 23 27 -> ~38 fr=381 (0.5506), cf=0.707, gamma=1.087, delta=0.044, M=-1.870e+001
1 23 27 -> 37 fr=381 (0.5506), cf=0.707, gamma=1.087, delta=0.044, M=-1.870e+001
1 9 19 27 -> ~38 fr=373 (0.5390), cf=0.709, gamma=1.090, delta=0.045, M=-1.831e+001
1 9 19 27 -> 37 fr=373 (0.5390), cf=0.709, gamma=1.090, delta=0.045, M=-1.831e+001
1 23 32 -> ~38 fr=366 (0.5289), cf=0.711, gamma=1.093, delta=0.045, M=-1.783e+001
1 23 32 -> 37 fr=366 (0.5289), cf=0.711, gamma=1.093, delta=0.045, M=-1.783e+001
1 19 27 -> ~38 fr=382 (0.5520), cf=0.703, gamma=1.082, delta=0.042, M=-1.727e+001
1 19 27 -> 37 fr=382 (0.5520), cf=0.703, gamma=1.082, delta=0.042, M=-1.727e+001
1 14 27 32 -> ~38 fr=318 (0.4595), cf=0.726, gamma=1.116, delta=0.048, M=-1.706e+001
1 14 27 32 -> 37 fr=318 (0.4595), cf=0.726, gamma=1.116, delta=0.048, M=-1.706e+001
1 14 32 -> ~38 fr=339 (0.4899), cf=0.717, gamma=1.102, delta=0.045, M=-1.638e+001
1 14 32 -> 37 fr=339 (0.4899), cf=0.717, gamma=1.102, delta=0.045, M=-1.638e+001
1 14 23 -> ~38 fr=371 (0.5361), cf=0.705, gamma=1.085, delta=0.042, M=-1.628e+001
1 14 23 -> 37 fr=371 (0.5361), cf=0.705, gamma=1.085, delta=0.042, M=-1.628e+001
9 19 23 27 32 -> ~38 fr=349 (0.5043), cf=0.712, gamma=1.095, delta=0.044, M=-1.599e+001
9 19 23 27 32 -> 37 fr=349 (0.5043), cf=0.712, gamma=1.095, delta=0.044, M=-1.599e+001
19 23 27 32 -> ~38 fr=355 (0.5130), cf=0.710, gamma=1.092, delta=0.043, M=-1.591e+001
19 23 27 32 -> 37 fr=355 (0.5130), cf=0.710, gamma=1.092, delta=0.043, M=-1.591e+001
19 23 27 -> ~38 fr=404 (0.5838), cf=0.692, gamma=1.064, delta=0.035, M=-1.558e+001
19 23 27 -> 37 fr=404 (0.5838), cf=0.692, gamma=1.064, delta=0.035, M=-1.558e+001
1 9 27 32 -> ~38 fr=344 (0.4971), cf=0.712, gamma=1.095, delta=0.043, M=-1.534e+001
1 9 27 32 -> 37 fr=344 (0.4971), cf=0.712, gamma=1.095, delta=0.043, M=-1.534e+001
1 14 27 -> ~38 fr=356 (0.5145), cf=0.708, gamma=1.088, delta=0.042, M=-1.516e+001
1 14 27 -> 37 fr=356 (0.5145), cf=0.708, gamma=1.088, delta=0.042, M=-1.516e+001
1 9 19 -> ~38 fr=395 (0.5708), cf=0.694, gamma=1.068, delta=0.036, M=-1.508e+001
1 9 19 -> 37 fr=395 (0.5708), cf=0.694, gamma=1.068, delta=0.036, M=-1.508e+001
1 23 -> ~38 fr=404 (0.5838), cf=0.691, gamma=1.062, delta=0.034, M=-1.495e+001
1 23 -> 37 fr=404 (0.5838), cf=0.691, gamma=1.062, delta=0.034, M=-1.495e+001
14 19 23 32 -> ~38 fr=349 (0.5043), cf=0.709, gamma=1.091, delta=0.042, M=-1.488e+001
14 19 23 32 -> 37 fr=349 (0.5043), cf=0.709, gamma=1.091, delta=0.042, M=-1.488e+001
1 19 -> ~38 fr=406 (0.5867), cf=0.689, gamma=1.060, delta=0.033, M=-1.467e+001
1 19 -> 37 fr=406 (0.5867), cf=0.689, gamma=1.060, delta=0.033, M=-1.467e+001
1 27 32 -> ~38 fr=351 (0.5072), cf=0.708, gamma=1.088, delta=0.041, M=-1.449e+001
1 27 32 -> 37 fr=351 (0.5072), cf=0.708, gamma=1.088, delta=0.041, M=-1.449e+001
1 14 -> ~38 fr=378 (0.5462), cf=0.699, gamma=1.074, delta=0.038, M=-1.443e+001
1 14 -> 37 fr=378 (0.5462), cf=0.699, gamma=1.074, delta=0.038, M=-1.443e+001
9 23 27 32 -> ~38 fr=357 (0.5159), cf=0.706, gamma=1.085, delta=0.040, M=-1.442e+001
9 23 27 32 -> 37 fr=357 (0.5159), cf=0.706, gamma=1.085, delta=0.040, M=-1.442e+001
23 27 32 -> ~38 fr=363 (0.5246), cf=0.703, gamma=1.082, delta=0.040, M=-1.438e+001
