1 5 23 27 -> ~38 fr=347 (0.5022), cf=0.828, gamma=1.272, delta=0.107, M=-7.656e+001
1 5 23 27 -> 37 fr=347 (0.5022), cf=0.828, gamma=1.272, delta=0.107, M=-7.656e+001
5 23 27 -> ~38 fr=373 (0.5398), cf=0.800, gamma=1.229, delta=0.101, M=-7.176e+001
5 23 27 -> 37 fr=373 (0.5398), cf=0.800, gamma=1.229, delta=0.101, M=-7.176e+001
1 5 9 19 27 -> ~38 fr=343 (0.4964), cf=0.823, gamma=1.263, delta=0.103, M=-7.099e+001
1 5 9 19 27 -> 37 fr=343 (0.4964), cf=0.823, gamma=1.263, delta=0.103, M=-7.099e+001
1 5 19 27 -> ~38 fr=350 (0.5065), cf=0.816, gamma=1.253, delta=0.102, M=-7.015e+001
1 5 19 27 -> 37 fr=350 (0.5065), cf=0.816, gamma=1.253, delta=0.102, M=-7.015e+001
1 5 9 27 -> ~38 fr=345 (0.4993), cf=0.819, gamma=1.258, delta=0.103, M=-7.003e+001
1 5 9 27 -> 37 fr=345 (0.4993), cf=0.819, gamma=1.258, delta=0.103, M=-7.003e+001
1 5 23 -> ~38 fr=362 (0.5239), cf=0.806, gamma=1.238, delta=0.101, M=-6.987e+001
1 5 23 -> 37 fr=362 (0.5239), cf=0.806, gamma=1.238, delta=0.101, M=-6.987e+001
1 5 27 -> ~38 fr=352 (0.5094), cf=0.813, gamma=1.248, delta=0.101, M=-6.926e+001
1 5 27 -> 37 fr=352 (0.5094), cf=0.813, gamma=1.248, delta=0.101, M=-6.926e+001
5 23 -> ~38 fr=390 (0.5644), cf=0.780, gamma=1.198, delta=0.093, M=-6.687e+001
5 23 -> 37 fr=390 (0.5644), cf=0.780, gamma=1.198, delta=0.093, M=-6.687e+001
1 5 9 19 -> ~38 fr=359 (0.5195), cf=0.803, gamma=1.233, delta=0.098, M=-6.636e+001
1 5 9 19 -> 37 fr=359 (0.5195), cf=0.803, gamma=1.233, delta=0.098, M=-6.636e+001
1 5 19 -> ~38 fr=367 (0.5311), cf=0.796, gamma=1.222, delta=0.097, M=-6.568e+001
1 5 19 -> 37 fr=367 (0.5311), cf=0.796, gamma=1.222, delta=0.097, M=-6.568e+001
1 5 9 -> ~38 fr=361 (0.5224), cf=0.800, gamma=1.229, delta=0.097, M=-6.559e+001
1 5 9 -> 37 fr=361 (0.5224), cf=0.800, gamma=1.229, delta=0.097, M=-6.559e+001
1 5 -> ~38 fr=369 (0.5340), cf=0.794, gamma=1.219, delta=0.096, M=-6.499e+001
1 5 -> 37 fr=369 (0.5340), cf=0.794, gamma=1.219, delta=0.096, M=-6.499e+001
5 27 -> ~38 fr=379 (0.5485), cf=0.785, gamma=1.205, delta=0.093, M=-6.410e+001
5 27 -> 37 fr=379 (0.5485), cf=0.785, gamma=1.205, delta=0.093, M=-6.410e+001
5 -> ~38 fr=398 (0.5760), cf=0.765, gamma=1.175, delta=0.086, M=-6.084e+001
8 -> 38 fr=93 (0.1346), cf=0.775, gamma=2.222, delta=0.074, M=-5.830e+001
1 19 23 27 32 -> ~38 fr=345 (0.4993), cf=0.747, gamma=1.147, delta=0.064, M=-2.980e+001
1 19 23 27 32 -> 37 fr=345 (0.4993), cf=0.747, gamma=1.147, delta=0.064, M=-2.980e+001
1 23 27 32 -> ~38 fr=352 (0.5094), cf=0.741, gamma=1.138, delta=0.062, M=-2.869e+001
1 23 27 32 -> 37 fr=352 (0.5094), cf=0.741, gamma=1.138, delta=0.062, M=-2.869e+001
1 19 23 27 -> ~38 fr=380 (0.5499), cf=0.727, gamma=1.116, delta=0.057, M=-2.821e+001
1 19 23 27 -> 37 fr=380 (0.5499), cf=0.727, gamma=1.116, delta=0.057, M=-2.821e+001
1 23 27 -> ~38 fr=387 (0.5601), cf=0.718, gamma=1.103, delta=0.052, M=-2.534e+001
