1 5 19 23 27 -> ~38 fr=341 (0.4935), cf=0.814, gamma=1.250, delta=0.099, M=-6.474e+001
1 5 19 23 27 -> 37 fr=341 (0.4935), cf=0.814, gamma=1.250, delta=0.099, M=-6.474e+001
1 5 23 27 -> ~38 fr=342 (0.4949), cf=0.812, gamma=1.247, delta=0.098, M=-6.428e+001
1 5 23 27 -> 37 fr=342 (0.4949), cf=0.812, gamma=1.247, delta=0.098, M=-6.428e+001
5 23 27 -> ~38 fr=369 (0.5340), cf=0.788, gamma=1.211, delta=0.093, M=-6.163e+001
5 23 27 -> 37 fr=369 (0.5340), cf=0.788, gamma=1.211, delta=0.093, M=-6.163e+001
1 5 19 23 -> ~38 fr=360 (0.5210), cf=0.795, gamma=1.220, delta=0.094, M=-6.145e+001
1 5 19 23 -> 37 fr=360 (0.5210), cf=0.795, gamma=1.220, delta=0.094, M=-6.145e+001
5 23 -> ~38 fr=390 (0.5644), cf=0.772, gamma=1.186, delta=0.088, M=-6.130e+001
5 23 -> 37 fr=390 (0.5644), cf=0.772, gamma=1.186, delta=0.088, M=-6.130e+001
1 5 9 19 27 -> ~38 fr=338 (0.4891), cf=0.809, gamma=1.242, delta=0.095, M=-6.037e+001
1 5 9 19 27 -> 37 fr=338 (0.4891), cf=0.809, gamma=1.242, delta=0.095, M=-6.037e+001
1 5 9 27 -> ~38 fr=339 (0.4906), cf=0.807, gamma=1.239, delta=0.095, M=-5.992e+001
1 5 9 27 -> 37 fr=339 (0.4906), cf=0.807, gamma=1.239, delta=0.095, M=-5.992e+001
1 5 19 27 -> ~38 fr=346 (0.5007), cf=0.801, gamma=1.230, delta=0.094, M=-5.916e+001
1 5 19 27 -> 37 fr=346 (0.5007), cf=0.801, gamma=1.230, delta=0.094, M=-5.916e+001
1 5 27 -> ~38 fr=347 (0.5022), cf=0.800, gamma=1.228, delta=0.093, M=-5.876e+001
1 5 27 -> 37 fr=347 (0.5022), cf=0.800, gamma=1.228, delta=0.093, M=-5.876e+001
1 5 19 -> ~38 fr=367 (0.5311), cf=0.784, gamma=1.204, delta=0.090, M=-5.794e+001
1 5 19 -> 37 fr=367 (0.5311), cf=0.784, gamma=1.204, delta=0.090, M=-5.794e+001
1 5 -> ~38 fr=368 (0.5326), cf=0.783, gamma=1.202, delta=0.090, M=-5.762e+001
1 5 -> 37 fr=368 (0.5326), cf=0.783, gamma=1.202, delta=0.090, M=-5.762e+001
5 -> ~38 fr=397 (0.5745), cf=0.761, gamma=1.168, delta=0.083, M=-5.672e+001
8 -> 38 fr=92 (0.1331), cf=0.760, gamma=2.180, delta=0.072, M=-5.492e+001
1 19 23 27 32 -> ~38 fr=341 (0.4935), cf=0.740, gamma=1.136, delta=0.059, M=-2.571e+001
1 19 23 27 32 -> 37 fr=341 (0.4935), cf=0.740, gamma=1.136, delta=0.059, M=-2.571e+001
1 19 23 27 -> ~38 fr=377 (0.5456), cf=0.719, gamma=1.105, delta=0.052, M=-2.369e+001
1 19 23 27 -> 37 fr=377 (0.5456), cf=0.719, gamma=1.105, delta=0.052, M=-2.369e+001
1 23 27 32 -> ~38 fr=347 (0.5022), cf=0.732, gamma=1.124, delta=0.055, M=-2.350e+001
1 23 27 32 -> 37 fr=347 (0.5022), cf=0.732, gamma=1.124, delta=0.055, M=-2.350e+001
1 19 23 32 -> ~38 fr=362 (0.5239), cf=0.721, gamma=1.107, delta=0.051, M=-2.140e+001
1 19 23 32 -> 37 fr=362 (0.5239), cf=0.721, gamma=1.107, delta=0.051, M=-2.140e+001
1 9 14 19 27 32 -> ~38 fr=310 (0.4486), cf=0.740, gamma=1.136, delta=0.054, M=-2.051e+001
1 9 14 19 27 32 -> 37 fr=310 (0.4486), cf=0.740, gamma=1.136, delta=0.054, M=-2.051e+001
1 14 19 27 32 -> ~38 fr=317 (0.4588), cf=0.735, gamma=1.129, delta=0.053, M=-1.995e+001
1 14 19 27 32 -> 37 fr=317 (0.4588), cf=0.735, gamma=1.129, delta=0.053, M=-1.995e+001
1 23 27 -> ~38 fr=383 (0.5543), cf=0.709, gamma=1.089, delta=0.045, M=-1.981e+001
1 23 27 -> 37 fr=383 (0.5543), cf=0.709, gamma=1.089, delta=0.045, M=-1.981e+001
1 9 19 27 32 -> ~38 fr=339 (0.4906), cf=0.726, gamma=1.115, delta=0.050, M=-1.956e+001
1 9 19 27 32 -> 37 fr=339 (0.4906), cf=0.726, gamma=1.115, delta=0.050, M=-1.956e+001
1 14 23 32 -> ~38 fr=338 (0.4891), cf=0.725, gamma=1.114, delta=0.050, M=-1.918e+001
1 14 23 32 -> 37 fr=338 (0.4891), cf=0.725, gamma=1.114, delta=0.050, M=-1.918e+001
1 9 14 27 32 -> ~38 fr=314 (0.4544), cf=0.734, gamma=1.127, delta=0.051, M=-1.887e+001
