5 23 27 -> ~38 fr=368 (0.5326), cf=0.795, gamma=1.220, delta=0.096, M=-6.533e+001
5 23 27 -> 37 fr=368 (0.5326), cf=0.795, gamma=1.220, delta=0.096, M=-6.533e+001
5 23 -> ~38 fr=391 (0.5658), cf=0.776, gamma=1.191, delta=0.091, M=-6.439e+001
5 23 -> 37 fr=391 (0.5658), cf=0.776, gamma=1.191, delta=0.091, M=-6.439e+001
1 5 9 19 27 -> ~38 fr=336 (0.4863), cf=0.812, gamma=1.246, delta=0.096, M=-6.127e+001
1 5 9 19 27 -> 37 fr=336 (0.4863), cf=0.812, gamma=1.246, delta=0.096, M=-6.127e+001
1 5 19 27 -> ~38 fr=344 (0.4978), cf=0.806, gamma=1.237, delta=0.095, M=-6.111e+001
1 5 19 27 -> 37 fr=344 (0.4978), cf=0.806, gamma=1.237, delta=0.095, M=-6.111e+001
5 -> ~38 fr=399 (0.5774), cf=0.764, gamma=1.174, delta=0.085, M=-6.067e+001
8 -> 38 fr=95 (0.1375), cf=0.766, gamma=2.197, delta=0.075, M=-5.816e+001
1 19 23 27 32 -> ~38 fr=338 (0.4891), cf=0.733, gamma=1.126, delta=0.055, M=-2.236e+001
1 19 23 27 32 -> 37 fr=338 (0.4891), cf=0.733, gamma=1.126, delta=0.055, M=-2.236e+001
1 23 27 32 -> ~38 fr=345 (0.4993), cf=0.726, gamma=1.115, delta=0.052, M=-2.068e+001
1 23 27 32 -> 37 fr=345 (0.4993), cf=0.726, gamma=1.115, delta=0.052, M=-2.068e+001
1 19 23 27 -> ~38 fr=374 (0.5412), cf=0.712, gamma=1.094, delta=0.046, M=-1.957e+001
1 19 23 27 -> 37 fr=374 (0.5412), cf=0.712, gamma=1.094, delta=0.046, M=-1.957e+001
1 14 19 23 32 -> ~38 fr=333 (0.4819), cf=0.727, gamma=1.116, delta=0.050, M=-1.912e+001
1 14 19 23 32 -> 37 fr=333 (0.4819), cf=0.727, gamma=1.116, delta=0.050, M=-1.912e+001
1 19 23 32 -> ~38 fr=361 (0.5224), cf=0.716, gamma=1.100, delta=0.047, M=-1.905e+001
