27 52 56 -> ~96 fr=16604 (0.3777), cf=0.965, gamma=1.269, delta=0.080, M=-3.963e+003
27 52 56 -> 97 fr=16604 (0.3777), cf=0.965, gamma=1.269, delta=0.080, M=-3.963e+003
27 52 -> ~96 fr=16772 (0.3815), cf=0.963, gamma=1.265, delta=0.080, M=-3.902e+003
27 52 -> 97 fr=16772 (0.3815), cf=0.963, gamma=1.265, delta=0.080, M=-3.902e+003
43 51 -> 96 fr=7959 (0.1811), cf=0.449, gamma=1.876, delta=0.085, M=-3.611e+003
43 51 -> ~97 fr=7959 (0.1811), cf=0.449, gamma=1.876, delta=0.085, M=-3.611e+003
27 56 -> ~96 fr=16753 (0.3811), cf=0.951, gamma=1.250, delta=0.076, M=-3.432e+003
27 56 -> 97 fr=16753 (0.3811), cf=0.951, gamma=1.250, delta=0.076, M=-3.432e+003
27 -> ~96 fr=16921 (0.3849), cf=0.948, gamma=1.247, delta=0.076, M=-3.387e+003
27 -> 97 fr=16921 (0.3849), cf=0.948, gamma=1.247, delta=0.076, M=-3.387e+003
23 52 56 -> ~96 fr=26110 (0.5940), cf=0.876, gamma=1.151, delta=0.078, M=-3.213e+003
23 52 56 -> 97 fr=26110 (0.5940), cf=0.876, gamma=1.151, delta=0.078, M=-3.213e+003
42 52 56 -> ~96 fr=12206 (0.2777), cf=0.979, gamma=1.287, delta=0.062, M=-3.044e+003
42 52 56 -> 97 fr=12206 (0.2777), cf=0.979, gamma=1.287, delta=0.062, M=-3.044e+003
42 52 -> ~96 fr=12273 (0.2792), cf=0.977, gamma=1.284, delta=0.062, M=-2.989e+003
42 52 -> 97 fr=12273 (0.2792), cf=0.977, gamma=1.284, delta=0.062, M=-2.989e+003
52 56 -> ~96 fr=32619 (0.7420), cf=0.815, gamma=1.071, delta=0.049, M=-2.975e+003
52 56 -> 97 fr=32619 (0.7420), cf=0.815, gamma=1.071, delta=0.049, M=-2.975e+003
23 52 -> ~96 fr=26396 (0.6005), cf=0.866, gamma=1.139, delta=0.073, M=-2.870e+003
23 52 -> 97 fr=26396 (0.6005), cf=0.866, gamma=1.139, delta=0.073, M=-2.870e+003
42 56 -> ~96 fr=12296 (0.2797), cf=0.969, gamma=1.274, delta=0.060, M=-2.760e+003
42 56 -> 97 fr=12296 (0.2797), cf=0.969, gamma=1.274, delta=0.060, M=-2.760e+003
42 -> ~96 fr=12363 (0.2812), cf=0.967, gamma=1.272, delta=0.060, M=-2.715e+003
42 -> 97 fr=12363 (0.2812), cf=0.967, gamma=1.272, delta=0.060, M=-2.715e+003
24 51 -> 96 fr=4678 (0.1064), cf=0.546, gamma=2.281, delta=0.060, M=-2.436e+003
24 51 -> ~97 fr=4678 (0.1064), cf=0.546, gamma=2.281, delta=0.060, M=-2.436e+003
23 56 -> ~96 fr=26412 (0.6008), cf=0.853, gamma=1.121, delta=0.065, M=-2.307e+003
23 56 -> 97 fr=26412 (0.6008), cf=0.853, gamma=1.121, delta=0.065, M=-2.307e+003
52 -> ~96 fr=33008 (0.7509), cf=0.797, gamma=1.048, delta=0.035, M=-2.167e+003
23 -> ~96 fr=26698 (0.6074), cf=0.844, gamma=1.110, delta=0.060, M=-2.023e+003
23 -> 97 fr=26698 (0.6074), cf=0.844, gamma=1.110, delta=0.060, M=-2.023e+003
50 56 -> ~96 fr=12864 (0.2926), cf=0.897, gamma=1.180, delta=0.045, M=-1.220e+003
50 56 -> 97 fr=12864 (0.2926), cf=0.897, gamma=1.180, delta=0.045, M=-1.220e+003
50 -> ~96 fr=12977 (0.2952), cf=0.890, gamma=1.170, delta=0.043, M=-1.114e+003
50 -> 97 fr=12977 (0.2952), cf=0.890, gamma=1.170, delta=0.043, M=-1.114e+003
31 56 -> ~96 fr=6163 (0.1402), cf=0.956, gamma=1.256, delta=0.029, M=-1.038e+003
31 56 -> 97 fr=6163 (0.1402), cf=0.956, gamma=1.256, delta=0.029, M=-1.038e+003
31 61 -> ~96 fr=6149 (0.1399), cf=0.954, gamma=1.254, delta=0.028, M=-1.013e+003
31 61 -> 97 fr=6149 (0.1399), cf=0.954, gamma=1.254, delta=0.028, M=-1.013e+003
31 -> 97 fr=6203 (0.1411), cf=0.953, gamma=1.252, delta=0.028, M=-1.011e+003
44 56 61 -> ~96 fr=9927 (0.2258), cf=0.904, gamma=1.188, delta=0.036, M=-9.500e+002
44 56 61 -> 97 fr=9927 (0.2258), cf=0.904, gamma=1.188, delta=0.036, M=-9.500e+002
44 56 -> ~96 fr=10035 (0.2283), cf=0.903, gamma=1.187, delta=0.036, M=-9.472e+002
44 56 -> 97 fr=10035 (0.2283), cf=0.903, gamma=1.187, delta=0.036, M=-9.472e+002
44 61 -> ~96 fr=10088 (0.2295), cf=0.901, gamma=1.184, delta=0.036, M=-9.265e+002
44 61 -> 97 fr=10088 (0.2295), cf=0.901, gamma=1.184, delta=0.036, M=-9.265e+002
44 -> ~96 fr=10198 (0.2320), cf=0.899, gamma=1.182, delta=0.036, M=-9.215e+002
44 -> 97 fr=10198 (0.2320), cf=0.899, gamma=1.182, delta=0.036, M=-9.215e+002
16 56 61 -> ~96 fr=5328 (0.1212), cf=0.948, gamma=1.246, delta=0.024, M=-8.062e+002
16 56 61 -> 97 fr=5328 (0.1212), cf=0.948, gamma=1.246, delta=0.024, M=-8.062e+002
16 56 -> ~96 fr=5395 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.008e+002
16 56 -> 97 fr=5395 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.008e+002
16 61 -> ~96 fr=5376 (0.1223), cf=0.944, gamma=1.241, delta=0.024, M=-7.801e+002
16 61 -> 97 fr=5376 (0.1223), cf=0.944, gamma=1.241, delta=0.024, M=-7.801e+002
16 -> 97 fr=5443 (0.1238), cf=0.942, gamma=1.239, delta=0.024, M=-7.722e+002
56 -> ~96 fr=33051 (0.7519), cf=0.776, gamma=1.020, delta=0.014, M=-6.968e+002
26 61 -> ~96 fr=5304 (0.1207), cf=0.903, gamma=1.187, delta=0.019, M=-4.477e+002
26 61 -> 97 fr=5304 (0.1207), cf=0.903, gamma=1.187, delta=0.019, M=-4.477e+002
26 -> 97 fr=5365 (0.1220), cf=0.902, gamma=1.185, delta=0.019, M=-4.451e+002
17 61 -> ~96 fr=11750 (0.2673), cf=0.841, gamma=1.106, delta=0.026, M=-3.892e+002
17 61 -> 97 fr=11750 (0.2673), cf=0.841, gamma=1.106, delta=0.026, M=-3.892e+002
17 -> ~96 fr=11889 (0.2705), cf=0.840, gamma=1.104, delta=0.026, M=-3.836e+002
17 -> 97 fr=11889 (0.2705), cf=0.840, gamma=1.104, delta=0.026, M=-3.836e+002
45 66 -> 96 fr=8974 (0.2041), cf=0.259, gamma=1.084, delta=0.016, M=-1.962e+002
45 66 -> ~97 fr=8974 (0.2041), cf=0.259, gamma=1.084, delta=0.016, M=-1.962e+002
45 -> ~97 fr=9542 (0.2171), cf=0.254, gamma=1.062, delta=0.013, M=-1.715e+002
2 61 -> ~96 fr=23661 (0.5383), cf=0.784, gamma=1.030, delta=0.016, M=-1.397e+002
2 61 -> 97 fr=23661 (0.5383), cf=0.784, gamma=1.030, delta=0.016, M=-1.397e+002
2 -> ~96 fr=23830 (0.5421), cf=0.782, gamma=1.028, delta=0.015, M=-1.243e+002
2 -> 97 fr=23830 (0.5421), cf=0.782, gamma=1.028, delta=0.015, M=-1.243e+002
15 61 -> ~96 fr=7904 (0.1798), cf=0.814, gamma=1.070, delta=0.012, M=-1.040e+002
