2 16 -> ~157 fr=191 (0.6044), cf=0.860, gamma=1.339, delta=0.153, M=-8.196e+001
2 16 -> 156 fr=191 (0.6044), cf=0.860, gamma=1.339, delta=0.153, M=-8.196e+001
11 16 -> ~157 fr=175 (0.5538), cf=0.897, gamma=1.397, delta=0.157, M=-7.783e+001
11 16 -> 156 fr=175 (0.5538), cf=0.897, gamma=1.397, delta=0.157, M=-7.783e+001
16 124 -> ~157 fr=173 (0.5475), cf=0.901, gamma=1.403, delta=0.157, M=-7.718e+001
16 124 -> 156 fr=173 (0.5475), cf=0.901, gamma=1.403, delta=0.157, M=-7.718e+001
16 121 -> ~157 fr=154 (0.4873), cf=0.939, gamma=1.462, delta=0.154, M=-7.445e+001
16 121 -> 156 fr=154 (0.4873), cf=0.939, gamma=1.462, delta=0.154, M=-7.445e+001
121 131 141 -> ~157 fr=144 (0.4557), cf=0.941, gamma=1.465, delta=0.145, M=-6.675e+001
121 131 141 -> 156 fr=144 (0.4557), cf=0.941, gamma=1.465, delta=0.145, M=-6.675e+001
13 -> 157 fr=62 (0.1962), cf=0.939, gamma=2.627, delta=0.122, M=-6.577e+001
121 141 150 -> ~157 fr=145 (0.4589), cf=0.935, gamma=1.456, delta=0.144, M=-6.541e+001
121 141 150 -> 156 fr=145 (0.4589), cf=0.935, gamma=1.456, delta=0.144, M=-6.541e+001
121 131 -> ~157 fr=149 (0.4715), cf=0.925, gamma=1.441, delta=0.144, M=-6.487e+001
121 131 -> 156 fr=149 (0.4715), cf=0.925, gamma=1.441, delta=0.144, M=-6.487e+001
16 131 -> ~157 fr=146 (0.4620), cf=0.930, gamma=1.448, delta=0.143, M=-6.414e+001
16 131 -> 156 fr=146 (0.4620), cf=0.930, gamma=1.448, delta=0.143, M=-6.414e+001
131 141 -> ~157 fr=149 (0.4715), cf=0.920, gamma=1.432, delta=0.142, M=-6.277e+001
131 141 -> 156 fr=149 (0.4715), cf=0.920, gamma=1.432, delta=0.142, M=-6.277e+001
121 141 -> ~157 fr=151 (0.4778), cf=0.915, gamma=1.425, delta=0.142, M=-6.266e+001
121 141 -> 156 fr=151 (0.4778), cf=0.915, gamma=1.425, delta=0.142, M=-6.266e+001
131 -> ~157 fr=154 (0.4873), cf=0.906, gamma=1.410, delta=0.142, M=-6.165e+001
131 -> 156 fr=154 (0.4873), cf=0.906, gamma=1.410, delta=0.142, M=-6.165e+001
22 -> 157 fr=57 (0.1804), cf=0.950, gamma=2.657, delta=0.112, M=-6.085e+001
7 11 -> ~157 fr=149 (0.4715), cf=0.914, gamma=1.423, delta=0.140, M=-6.074e+001
7 11 -> 156 fr=149 (0.4715), cf=0.914, gamma=1.423, delta=0.140, M=-6.074e+001
102 111 121 -> ~157 fr=133 (0.4209), cf=0.943, gamma=1.468, delta=0.134, M=-5.917e+001
102 111 121 -> 156 fr=133 (0.4209), cf=0.943, gamma=1.468, delta=0.134, M=-5.917e+001
2 11 124 141 150 -> ~157 fr=138 (0.4367), cf=0.932, gamma=1.451, delta=0.136, M=-5.902e+001
2 11 124 141 150 -> 156 fr=138 (0.4367), cf=0.932, gamma=1.451, delta=0.136, M=-5.902e+001
2 11 141 150 -> ~157 fr=146 (0.4620), cf=0.913, gamma=1.420, delta=0.137, M=-5.795e+001
2 11 141 150 -> 156 fr=146 (0.4620), cf=0.913, gamma=1.420, delta=0.137, M=-5.795e+001
2 124 141 150 -> ~157 fr=153 (0.4842), cf=0.895, gamma=1.393, delta=0.137, M=-5.695e+001
2 124 141 150 -> 156 fr=153 (0.4842), cf=0.895, gamma=1.393, delta=0.137, M=-5.695e+001
16 111 -> ~157 fr=133 (0.4209), cf=0.937, gamma=1.458, delta=0.132, M=-5.691e+001
16 111 -> 156 fr=133 (0.4209), cf=0.937, gamma=1.458, delta=0.132, M=-5.691e+001
11 124 141 150 -> ~157 fr=138 (0.4367), cf=0.926, gamma=1.442, delta=0.134, M=-5.690e+001
11 124 141 150 -> 156 fr=138 (0.4367), cf=0.926, gamma=1.442, delta=0.134, M=-5.690e+001
2 11 124 141 -> ~157 fr=144 (0.4557), cf=0.911, gamma=1.419, delta=0.134, M=-5.615e+001
2 11 124 141 -> 156 fr=144 (0.4557), cf=0.911, gamma=1.419, delta=0.134, M=-5.615e+001
102 111 -> ~157 fr=137 (0.4335), cf=0.926, gamma=1.441, delta=0.133, M=-5.604e+001
102 111 -> 156 fr=137 (0.4335), cf=0.926, gamma=1.441, delta=0.133, M=-5.604e+001
102 121 -> ~157 fr=146 (0.4620), cf=0.907, gamma=1.412, delta=0.135, M=-5.603e+001
102 121 -> 156 fr=146 (0.4620), cf=0.907, gamma=1.412, delta=0.135, M=-5.603e+001
2 11 141 -> ~157 fr=152 (0.4810), cf=0.894, gamma=1.392, delta=0.135, M=-5.600e+001
2 11 141 -> 156 fr=152 (0.4810), cf=0.894, gamma=1.392, delta=0.135, M=-5.600e+001
2 124 141 -> ~157 fr=159 (0.5032), cf=0.878, gamma=1.367, delta=0.135, M=-5.574e+001
2 124 141 -> 156 fr=159 (0.5032), cf=0.878, gamma=1.367, delta=0.135, M=-5.574e+001
124 141 150 -> ~157 fr=153 (0.4842), cf=0.890, gamma=1.385, delta=0.135, M=-5.516e+001
124 141 150 -> 156 fr=153 (0.4842), cf=0.890, gamma=1.385, delta=0.135, M=-5.516e+001
16 -> ~157 fr=191 (0.6044), cf=0.799, gamma=1.244, delta=0.119, M=-5.457e+001
7 124 -> ~157 fr=144 (0.4557), cf=0.906, gamma=1.410, delta=0.132, M=-5.426e+001
7 124 -> 156 fr=144 (0.4557), cf=0.906, gamma=1.410, delta=0.132, M=-5.426e+001
11 124 141 -> ~157 fr=144 (0.4557), cf=0.906, gamma=1.410, delta=0.132, M=-5.426e+001
11 124 141 -> 156 fr=144 (0.4557), cf=0.906, gamma=1.410, delta=0.132, M=-5.426e+001
124 141 -> ~157 fr=159 (0.5032), cf=0.874, gamma=1.360, delta=0.133, M=-5.406e+001
124 141 -> 156 fr=159 (0.5032), cf=0.874, gamma=1.360, delta=0.133, M=-5.406e+001
11 25 34 -> ~157 fr=132 (0.4177), cf=0.930, gamma=1.447, delta=0.129, M=-5.394e+001
11 25 34 -> 156 fr=132 (0.4177), cf=0.930, gamma=1.447, delta=0.129, M=-5.394e+001
122 -> 157 fr=66 (0.2089), cf=0.825, gamma=2.307, delta=0.118, M=-5.289e+001
111 141 -> ~157 fr=135 (0.4272), cf=0.918, gamma=1.430, delta=0.128, M=-5.235e+001
111 141 -> 156 fr=135 (0.4272), cf=0.918, gamma=1.430, delta=0.128, M=-5.235e+001
92 111 121 -> ~157 fr=118 (0.3734), cf=0.952, gamma=1.481, delta=0.121, M=-5.175e+001
92 111 121 -> 156 fr=118 (0.3734), cf=0.952, gamma=1.481, delta=0.121, M=-5.175e+001
111 121 -> ~157 fr=138 (0.4367), cf=0.908, gamma=1.413, delta=0.128, M=-5.101e+001
111 121 -> 156 fr=138 (0.4367), cf=0.908, gamma=1.413, delta=0.128, M=-5.101e+001
92 102 -> ~157 fr=130 (0.4114), cf=0.922, gamma=1.435, delta=0.125, M=-5.029e+001
92 102 -> 156 fr=130 (0.4114), cf=0.922, gamma=1.435, delta=0.125, M=-5.029e+001
2 11 124 -> ~157 fr=169 (0.5348), cf=0.841, gamma=1.309, delta=0.126, M=-5.004e+001
2 11 124 -> 156 fr=169 (0.5348), cf=0.841, gamma=1.309, delta=0.126, M=-5.004e+001
2 11 -> ~157 fr=186 (0.5886), cf=0.802, gamma=1.248, delta=0.117, M=-5.002e+001
2 11 -> 156 fr=186 (0.5886), cf=0.802, gamma=1.248, delta=0.117, M=-5.002e+001
92 121 -> ~157 fr=127 (0.4019), cf=0.927, gamma=1.443, delta=0.123, M=-4.994e+001
92 121 -> 156 fr=127 (0.4019), cf=0.927, gamma=1.443, delta=0.123, M=-4.994e+001
7 121 150 -> ~157 fr=115 (0.3639), cf=0.950, gamma=1.479, delta=0.118, M=-4.949e+001
7 121 150 -> 156 fr=115 (0.3639), cf=0.950, gamma=1.479, delta=0.118, M=-4.949e+001
11 141 150 -> ~157 fr=146 (0.4620), cf=0.885, gamma=1.377, delta=0.127, M=-4.892e+001
11 141 150 -> 156 fr=146 (0.4620), cf=0.885, gamma=1.377, delta=0.127, M=-4.892e+001
11 141 -> ~157 fr=152 (0.4810), cf=0.869, gamma=1.352, delta=0.125, M=-4.761e+001
11 141 -> 156 fr=152 (0.4810), cf=0.869, gamma=1.352, delta=0.125, M=-4.761e+001
2 7 -> ~157 fr=162 (0.5127), cf=0.848, gamma=1.320, delta=0.124, M=-4.755e+001
2 7 -> 156 fr=162 (0.5127), cf=0.848, gamma=1.320, delta=0.124, M=-4.755e+001
2 141 150 -> ~157 fr=162 (0.5127), cf=0.848, gamma=1.320, delta=0.124, M=-4.755e+001
2 141 150 -> 156 fr=162 (0.5127), cf=0.848, gamma=1.320, delta=0.124, M=-4.755e+001
92 111 -> ~157 fr=118 (0.3734), cf=0.937, gamma=1.458, delta=0.117, M=-4.726e+001
92 111 -> 156 fr=118 (0.3734), cf=0.937, gamma=1.458, delta=0.117, M=-4.726e+001
7 121 -> ~157 fr=126 (0.3987), cf=0.920, gamma=1.432, delta=0.120, M=-4.719e+001
7 121 -> 156 fr=126 (0.3987), cf=0.920, gamma=1.432, delta=0.120, M=-4.719e+001
11 124 -> ~157 fr=169 (0.5348), cf=0.833, gamma=1.296, delta=0.122, M=-4.714e+001
11 124 -> 156 fr=169 (0.5348), cf=0.833, gamma=1.296, delta=0.122, M=-4.714e+001
2 141 -> ~157 fr=168 (0.5316), cf=0.832, gamma=1.295, delta=0.121, M=-4.614e+001
2 141 -> 156 fr=168 (0.5316), cf=0.832, gamma=1.295, delta=0.121, M=-4.614e+001
121 150 -> ~157 fr=152 (0.4810), cf=0.864, gamma=1.344, delta=0.123, M=-4.606e+001
