1 10 15 19 28 35 -> 42 fr=4352 (0.8838), cf=0.945, gamma=1.053, delta=0.044, M=-4.825e+002
10 15 19 28 35 -> 42 fr=4352 (0.8838), cf=0.945, gamma=1.053, delta=0.044, M=-4.799e+002
1 15 19 28 35 -> 42 fr=4352 (0.8838), cf=0.945, gamma=1.053, delta=0.044, M=-4.799e+002
15 19 28 35 -> 42 fr=4352 (0.8838), cf=0.945, gamma=1.052, delta=0.044, M=-4.772e+002
1 10 15 19 28 31 -> 42 fr=4352 (0.8838), cf=0.944, gamma=1.052, delta=0.043, M=-4.693e+002
10 15 19 28 31 -> 42 fr=4352 (0.8838), cf=0.944, gamma=1.051, delta=0.043, M=-4.667e+002
1 15 19 28 31 -> 42 fr=4352 (0.8838), cf=0.944, gamma=1.051, delta=0.043, M=-4.667e+002
15 19 28 31 -> 42 fr=4352 (0.8838), cf=0.944, gamma=1.051, delta=0.043, M=-4.640e+002
1 10 15 19 28 -> 42 fr=4355 (0.8844), cf=0.943, gamma=1.051, delta=0.043, M=-4.605e+002
10 15 19 28 -> 42 fr=4355 (0.8844), cf=0.943, gamma=1.050, delta=0.042, M=-4.553e+002
1 10 15 19 35 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.050, delta=0.042, M=-4.530e+002
1 15 19 35 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.049, delta=0.042, M=-4.504e+002
10 15 19 35 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.049, delta=0.042, M=-4.478e+002
1 15 19 28 -> 42 fr=4355 (0.8844), cf=0.942, gamma=1.049, delta=0.041, M=-4.448e+002
15 19 35 -> 42 fr=4357 (0.8848), cf=0.942, gamma=1.049, delta=0.041, M=-4.426e+002
1 10 15 19 31 -> 42 fr=4357 (0.8848), cf=0.941, gamma=1.049, delta=0.041, M=-4.400e+002
1 15 19 31 -> 42 fr=4357 (0.8848), cf=0.941, gamma=1.048, delta=0.041, M=-4.374e+002
15 19 28 -> 42 fr=4355 (0.8844), cf=0.941, gamma=1.049, delta=0.041, M=-4.371e+002
10 15 19 31 -> 42 fr=4357 (0.8848), cf=0.941, gamma=1.048, delta=0.041, M=-4.348e+002
1 10 15 19 -> 42 fr=4360 (0.8855), cf=0.940, gamma=1.047, delta=0.040, M=-4.315e+002
15 19 31 38 -> 42 fr=4357 (0.8848), cf=0.941, gamma=1.048, delta=0.040, M=-4.296e+002
15 19 31 -> 42 fr=4357 (0.8848), cf=0.940, gamma=1.047, delta=0.040, M=-4.271e+002
10 15 19 -> 42 fr=4360 (0.8855), cf=0.940, gamma=1.047, delta=0.040, M=-4.237e+002
1 15 19 -> 42 fr=4360 (0.8855), cf=0.939, gamma=1.046, delta=0.039, M=-4.160e+002
15 19 38 -> 42 fr=4360 (0.8855), cf=0.938, gamma=1.045, delta=0.038, M=-4.033e+002
15 19 -> 42 fr=4360 (0.8855), cf=0.938, gamma=1.044, delta=0.038, M=-3.957e+002
1 10 19 28 35 -> 42 fr=4363 (0.8861), cf=0.936, gamma=1.042, delta=0.036, M=-3.775e+002
10 19 28 35 -> 42 fr=4363 (0.8861), cf=0.936, gamma=1.042, delta=0.036, M=-3.750e+002
1 19 28 35 -> 42 fr=4363 (0.8861), cf=0.936, gamma=1.042, delta=0.036, M=-3.750e+002
19 28 35 -> 42 fr=4363 (0.8861), cf=0.935, gamma=1.042, delta=0.036, M=-3.725e+002
1 10 19 28 31 -> 42 fr=4363 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.650e+002
10 19 28 31 -> 42 fr=4363 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.626e+002
1 19 28 31 -> 42 fr=4363 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.626e+002
19 28 31 -> 42 fr=4363 (0.8861), cf=0.934, gamma=1.041, delta=0.035, M=-3.601e+002
1 10 19 28 -> 42 fr=4366 (0.8867), cf=0.934, gamma=1.040, delta=0.034, M=-3.570e+002
10 19 28 -> 42 fr=4366 (0.8867), cf=0.934, gamma=1.040, delta=0.034, M=-3.520e+002
1 10 19 35 -> 42 fr=4368 (0.8871), cf=0.933, gamma=1.039, delta=0.034, M=-3.500e+002
1 19 35 -> 42 fr=4368 (0.8871), cf=0.933, gamma=1.039, delta=0.033, M=-3.475e+002
