1 5 23 27 -> ~38 fr=339 (0.4906), cf=0.819, gamma=1.257, delta=0.100, M=-6.686e+001
1 5 23 27 -> 37 fr=339 (0.4906), cf=0.819, gamma=1.257, delta=0.100, M=-6.686e+001
5 23 27 -> ~38 fr=367 (0.5311), cf=0.794, gamma=1.220, delta=0.096, M=-6.454e+001
5 23 27 -> 37 fr=367 (0.5311), cf=0.794, gamma=1.220, delta=0.096, M=-6.454e+001
1 5 9 19 27 -> ~38 fr=335 (0.4848), cf=0.815, gamma=1.252, delta=0.097, M=-6.289e+001
1 5 9 19 27 -> 37 fr=335 (0.4848), cf=0.815, gamma=1.252, delta=0.097, M=-6.289e+001
1 5 23 -> ~38 fr=358 (0.5181), cf=0.797, gamma=1.224, delta=0.095, M=-6.219e+001
1 5 23 -> 37 fr=358 (0.5181), cf=0.797, gamma=1.224, delta=0.095, M=-6.219e+001
1 5 9 27 -> ~38 fr=337 (0.4877), cf=0.812, gamma=1.247, delta=0.097, M=-6.195e+001
1 5 9 27 -> 37 fr=337 (0.4877), cf=0.812, gamma=1.247, delta=0.097, M=-6.195e+001
5 23 -> ~38 fr=388 (0.5615), cf=0.774, gamma=1.189, delta=0.089, M=-6.176e+001
5 23 -> 37 fr=388 (0.5615), cf=0.774, gamma=1.189, delta=0.089, M=-6.176e+001
1 5 19 27 -> ~38 fr=343 (0.4964), cf=0.807, gamma=1.239, delta=0.096, M=-6.155e+001
1 5 19 27 -> 37 fr=343 (0.4964), cf=0.807, gamma=1.239, delta=0.096, M=-6.155e+001
1 5 27 -> ~38 fr=345 (0.4993), cf=0.804, gamma=1.235, delta=0.095, M=-6.069e+001
1 5 27 -> 37 fr=345 (0.4993), cf=0.804, gamma=1.235, delta=0.095, M=-6.069e+001
1 5 9 19 -> ~38 fr=355 (0.5137), cf=0.796, gamma=1.222, delta=0.093, M=-6.000e+001
1 5 9 19 -> 37 fr=355 (0.5137), cf=0.796, gamma=1.222, delta=0.093, M=-6.000e+001
5 9 19 27 -> ~38 fr=362 (0.5239), cf=0.790, gamma=1.214, delta=0.092, M=-5.963e+001
5 9 19 27 -> 37 fr=362 (0.5239), cf=0.790, gamma=1.214, delta=0.092, M=-5.963e+001
5 19 27 -> ~38 fr=372 (0.5384), cf=0.783, gamma=1.203, delta=0.091, M=-5.959e+001
5 19 27 -> 37 fr=372 (0.5384), cf=0.783, gamma=1.203, delta=0.091, M=-5.959e+001
1 5 9 -> ~38 fr=357 (0.5166), cf=0.793, gamma=1.218, delta=0.093, M=-5.925e+001
1 5 9 -> 37 fr=357 (0.5166), cf=0.793, gamma=1.218, delta=0.093, M=-5.925e+001
5 27 -> ~38 fr=374 (0.5412), cf=0.781, gamma=1.199, delta=0.090, M=-5.898e+001
5 27 -> 37 fr=374 (0.5412), cf=0.781, gamma=1.199, delta=0.090, M=-5.898e+001
1 5 19 -> ~38 fr=364 (0.5268), cf=0.788, gamma=1.210, delta=0.091, M=-5.894e+001
1 5 19 -> 37 fr=364 (0.5268), cf=0.788, gamma=1.210, delta=0.091, M=-5.894e+001
1 5 -> ~38 fr=366 (0.5297), cf=0.785, gamma=1.206, delta=0.090, M=-5.827e+001
1 5 -> 37 fr=366 (0.5297), cf=0.785, gamma=1.206, delta=0.090, M=-5.827e+001
5 19 -> ~38 fr=395 (0.5716), cf=0.764, gamma=1.173, delta=0.084, M=-5.814e+001
5 19 -> 37 fr=395 (0.5716), cf=0.764, gamma=1.173, delta=0.084, M=-5.814e+001
5 -> ~38 fr=397 (0.5745), cf=0.762, gamma=1.170, delta=0.084, M=-5.778e+001
8 -> 38 fr=89 (0.1288), cf=0.742, gamma=2.127, delta=0.068, M=-4.963e+001
1 19 23 27 32 -> ~38 fr=338 (0.4891), cf=0.743, gamma=1.141, delta=0.060, M=-2.651e+001
1 19 23 27 32 -> 37 fr=338 (0.4891), cf=0.743, gamma=1.141, delta=0.060, M=-2.651e+001
1 23 27 32 -> ~38 fr=346 (0.5007), cf=0.735, gamma=1.128, delta=0.057, M=-2.444e+001
1 23 27 32 -> 37 fr=346 (0.5007), cf=0.735, gamma=1.128, delta=0.057, M=-2.444e+001
1 14 19 23 32 -> ~38 fr=335 (0.4848), cf=0.738, gamma=1.133, delta=0.057, M=-2.379e+001
1 14 19 23 32 -> 37 fr=335 (0.4848), cf=0.738, gamma=1.133, delta=0.057, M=-2.379e+001
1 9 14 19 27 32 -> ~38 fr=312 (0.4515), cf=0.746, gamma=1.146, delta=0.058, M=-2.323e+001
1 9 14 19 27 32 -> 37 fr=312 (0.4515), cf=0.746, gamma=1.146, delta=0.058, M=-2.323e+001
